,,,GPVeh,GPVeh,GPVeh,GPVeh,GPVeh,GPVeh,GPVeh,GPVeh,MLVeh,MLVeh,MLVeh,MLVeh,MLVeh,MLVeh,MLVeh,MLVeh,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,TollLights,TollLights,TollLights,TollLights,TollLights,TollLights,TollLights,TollLights,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights
Period,,,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late
Year,Direction,Segment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2032,NB,1,1326.2934343589432,5541.709621988216,7426.689327224676,4935.920721434178,4624.197301896805,4632.719252652827,4569.511399785743,3953.5779769686756,266.60656564105693,674.090378011784,782.8406727753236,625.9792785658229,593.0026981031966,625.8807473471732,654.1336002142573,614.6220230313247,161.03512421116693,598.8635853042391,1533.2242376525815,1355.7488078862132,1343.0333884697802,2053.998155834334,1828.6080486580481,1056.4889206435373,0.5911851001188854,1.09370654198479,2.3935324814983185,2.5288139308842967,2.5207326288903875,3.8378016114329223,3.3512194458787783,2.054479185883279,0.21463216696505202,0.1360994276817682,0.11945450583360655,0.1409144199281836,0.14249212972863273,0.14906738919759704,0.15685091851813826,0.1692238434182564
2032,NB,10,1074.254885832701,4957.846571942321,7255.273526720074,5350.305513487603,4589.800012448462,5142.597100430328,5547.3673587712,2886.8084051659516,103.545114167299,604.8534280576779,710.1314732799261,550.6944865123969,476.49998755153774,572.1028995696727,689.8426412288014,468.7915948340482,403.50541328244196,5294.262830033197,8012.699213744964,3334.0868243534273,2446.9534690314977,2818.0449661092352,8057.832731088595,2291.9484272779728,0.5704063208000795,1.655622505960515,2.1153485360394875,1.0422553608782956,0.8540039073575543,0.8764717628449152,2.138374059178745,0.883548713931919,0.11307286105302958,0.13674929579667405,0.11178536070196628,0.11715959836056407,0.11811276152344806,0.12540765269318224,0.13872176816106366,0.1755458363032839
2032,NB,2,1296.091216185248,4587.371096749547,6654.037535792011,5695.873869819434,5780.6669694472175,5855.902572415881,5824.981003046999,4169.009350432711,0.2087838147519714,611.228903250453,1484.3024642079884,638.126130180566,661.3330305527821,852.0974275841182,742.768996953001,599.0906495672898,1.1478086905059883,1206.7859908437533,8165.645039467428,3491.419264094694,3826.7465033217163,4840.52879249619,3456.957658687246,321.6274692692128,7.198080272785555,2.564993372861678,7.1999921952171295,6.9221601956988765,7.199907479573638,7.1999530893827615,6.032736155420481,0.7021426202220404,0.00022406611862818974,0.147368209818626,0.22818544854173087,0.12603794175291738,0.12853412090878089,0.15910523035811044,0.14149848102849466,0.15738850112383415
2032,NB,3,1071.411718727685,3563.361353485328,3905.800684655438,3329.0270289155164,3870.521598994583,4010.297316359351,3730.9033024400146,2783.4617050992483,0.08828127231492477,551.1386465146718,568.3543153445627,512.2729710844835,532.0784010054169,618.302683640649,607.4866975599857,438.3382949007519,0.43315918752444293,467.98619026374683,702.0415456518792,472.5498565910089,768.6813441818442,765.4204196423576,695.6503218016351,140.7583307703189,7.185636640830823,1.4624395108528097,2.132830326252507,1.4729385825360106,2.2877244927984206,2.0784265784589704,1.945053401842591,0.5403379684649,0.00011401671271440074,0.16825529199129768,0.1592123910463724,0.16702551799545406,0.15154889552408288,0.16720835254164565,0.17529995673094198,0.17125358275129485
2032,NB,4,1140.9721368480825,6136.169641675775,8069.209050099369,6232.31578327575,5852.017013670297,5822.9182133059985,6085.7569240026705,3160.956205011818,187.42786315191762,713.430358324225,846.2359499006328,700.1842167242503,666.1829863297027,1024.2817866940002,883.0930759973303,524.8437949881816,221.42960120468703,2924.993182744588,5601.321277287744,4290.418083147371,3876.518727313827,14037.270221225017,11733.789545897513,1018.4903705962314,0.5000012036280918,2.25498044744494,3.7057011164800318,3.1712352627594482,2.8645113128742015,7.19999848729238,7.1999825753521876,1.0132886057129984,0.18353814431541285,0.13073931805167613,0.11897106899308353,0.126479433211456,0.1281918114377973,0.1873304896024494,0.1587040742189874,0.17957064205252046
2032,NB,5,1215.8562392619424,6634.941650098447,8084.453421491143,6531.927218363734,6153.246886696843,5974.539235197496,6275.642648410837,3354.2426177111947,171.64376073805755,680.9583499015536,787.4165785088567,709.9727816362661,666.9531133031569,1297.7607648025053,1147.1223515891634,527.2573822888049,251.17459644186266,1851.0930127751494,4182.234837238206,4371.737418926514,3216.3061395232944,22365.610665428823,19218.670981182866,1419.433886514306,0.5000111189658982,1.2084272998378482,2.359939590016712,2.514630783926374,1.8877238252274078,7.1999999993588775,7.1999999612307946,1.1280787629757576,0.16039250781502062,0.11679102966029331,0.1112363276386421,0.12294976563701047,0.12276039541075982,0.22352204611470589,0.19358880304482476,0.17136177675478517
2032,NB,6,1241.850105522487,6653.075371062163,7816.169461963354,6303.826655273736,5975.506331620833,5862.968304443107,6183.634876202564,3317.0613120188927,175.34989447751326,737.7246289378375,822.9155380366462,690.4733447262655,661.093668379167,1072.931695556894,1073.545123797437,523.1386879811073,454.6016859347434,10066.974837886792,14959.955230041918,12009.363739426963,11574.578692992898,33367.10819129707,32621.30734195503,2443.3188169394266,0.5000017534114132,3.3784284839532384,4.501601879213361,3.9630897688565514,3.821008626223988,7.199999424928148,7.19999935725505,1.0896910028739961,0.15931941287301774,0.12528368256460914,0.11940927178610994,0.1238866480863734,0.12512032331999856,0.19386800915391247,0.18539215842723678,0.17149666111455758
2032,NB,7,1203.9880773801128,6188.689413272114,6260.380001768456,5311.241922918459,5450.968822201149,5877.614983741409,6183.197030163208,3262.427832386696,166.31192261988718,702.6105867278861,703.9549982315447,614.3580770815411,622.9311777988493,725.7850162585913,1056.6579698367927,517.2721676133043,350.5327831898748,5277.350851522881,6980.691586069786,5225.821556983274,5437.523079280454,8683.327500275518,25831.00982910487,1910.7386607864064,0.500001846181195,2.270588981225003,2.9429980678467755,2.325815549006911,2.327298978302579,3.4016111035339547,7.199999155134817,1.0654998428838496,0.1576382229120467,0.12794564401101508,0.12665357961886323,0.1301471001303738,0.12881115497296408,0.13769512811322548,0.18288767453340243,0.1725379993441488
2032,NB,8,1187.1257588415713,6067.80316473672,6065.847125646183,4671.415546382468,4869.881324757904,5171.530868915148,5973.3320683936745,3054.681659087792,158.27424115842888,696.1968352632795,688.1728743538183,566.0844536175327,577.9186752420961,666.669131084852,845.0529316063255,492.5183409122077,437.8488052153799,6982.696002243653,8708.4356676403,5653.823897128771,6007.953081223466,7945.701124907313,27352.271889906002,2118.5886760360545,0.5000000493442316,2.3406148699591127,2.8467517450430235,2.0880495304441955,2.100444499417109,2.5497804445357133,7.199998314246217,0.9418307157430078,0.15117787206193517,0.12915738673107513,0.12769348950820403,0.13561283704097205,0.13321515423665284,0.1431085284061889,0.15553999125952617,0.1747155083647503
2032,NB,9,1123.5684725807141,5362.31082098771,5951.13245220029,4616.797235366251,4212.71446070897,4537.00549304855,5241.457269054824,2792.551300499845,42.13152741928567,643.3891790122888,681.4025477997105,564.6027646337488,526.5855392910297,612.7945069514502,668.1527309451775,456.94869950015453,183.20208146682998,4999.836922765779,7019.433167785213,4435.381663708665,3930.2405204854003,5275.691319790853,13469.215390159148,1578.8885794525966,0.879004356177965,2.0165164717888895,2.6148576139955813,1.8432220944983366,1.664848321549293,2.026486373129142,4.904605774446403,0.829517982863436,0.046342539309221685,0.1345501960669055,0.12888291805026947,0.13683822570365345,0.13954108298762505,0.14914004991883587,0.1418704846252772,0.1765807287858451
2032,SB,1,1687.5920001413429,3101.490214903293,4399.862401209187,4255.164952143495,5117.891334715154,4964.205392054874,4432.969177503137,4825.073435199731,306.0079998586571,481.5097850967073,565.5875987908142,532.2350478565054,709.508665284847,642.7946079451254,647.455822496864,658.8265648002687,178.69333460034218,652.6986307790589,1793.3544659668523,1658.078375636413,4619.158226088187,2699.8854667441256,1646.2382975437476,482.5085614261404,0.6068664227515219,1.459936189005501,3.6159672179857374,3.4626624723622106,7.1999983437531245,4.954316731847728,3.046474206936904,0.8891230442360731,0.1954485903638981,0.16983920807844455,0.14299035314301906,0.1395202399524951,0.15267889461286624,0.14351049997272164,0.15943532977211522,0.1509469469428846
