,Year,SegDir,Segment,Direction,Period,Hours/Day,Peak,4Periods,Length,Speed GP,Capacity GP,Alpha GP,Beta GP,Speed ML,Capacity ML,Alpha ML,Beta ML,MinToll,MinCapture,AADT Lights,AADT Medium A,AADT Medium B,AADT Heavy A,AADT Heavy B,GrowthFactor,MaxToll,Soft Cap,MaxCapture,MaxCap_aux,B1,B2,TotalLights,TotalMediumA,TotalMediumB,TotalHeavyA,TotalHeavyB,TotalVeh,Corridor PCE pre-fix,Suppressed ratio ref,Suppressed ratio,Corridor PCE,Suppressed Demand,PCE ratio,HOV3,InScopeLights,InScopeMediumA,InScopeMediumB,InScopeHeavyA,InScopeHeavyB,InScopeVeh,TollLights,TollMediumA,TollMediumB,TollHeavyA,TollHeavyB,CaptureRateLights,CaptureRateMediumA,CaptureRateMediumB,CaptureRateHeavyA,VOT Lights,VOT MediumA,VOT MediumB,VOT HeavyA,Speed GP Real,Speed ML Real,Bounus Seg,Time ML,Time GP,Time Savings,BonusRel,MLVeh_Lights,GPVeh_Lights,MLVeh_MediumA,GPVeh_MediumA,MLVeh_MediumB,GPVeh_MediumB,MLVeh_HeavyA,GPVeh_HeavyA,MLVeh,GPVeh,GPVehDay,ML PCE,GP PCE,TollLightsPerSeg,TollMediumAPerSeg,TollMediumBPerSeg,TollHeavyAPerSeg,TollBlend,RevenuePerHour,RevenuePerHourLights,RevenuePerHourMediumA,RevenuePerHourMediumB,RevenuePerHourHeavyA,RevenuePerDay,RevenuePerDayLights,RevenuePerDayMediumA,RevenuePerDayMediumB,RevenuePerDayHeavyA,TransactionsDay_Lights,TransactionsDay_MediumA,TransactionsDay_MediumB,TransactionsDay_HeavyA,TransactionsDay,TotalVeh_hours
0,2032,1NB,1,NB,Night,6,OP,NT,0.7,55,6254.8511651611725,1,6,70,3600,1,5,0.5,0,1195.9,41.4,6.1,309.3,40.2,1.2178462144642461,3.6,1.8,0.45662790077524257,0.45662790077524257,3.402,0.708,1195.9,41.4,6.1,309.3,40.2,1592.9,2386.9,1.2,0.29836250000000003,2386.9,0.0,1.0,0.0,956.7200000000001,33.12,4.88,247.44000000000003,32.160000000000004,1274.3200000000002,0.5911851001188854,1.773555300356656,1.773555300356656,1.773555300356656,1.773555300356656,0.21463216696505202,0.21462292882794695,0.2146220153487563,0.21462985784258334,52.54470913285,157.63412739855,157.63412739855,157.63412739855,54.941673246126896,69.99896706119914,0.23665813468595853,0.6000088538918007,0.7644470493617662,-0.16443819546996552,0.0005674800077818668,205.3428867788046,990.5571132211956,7.108311402781602,34.291688597218396,1.0473554349019307,5.052644565098069,53.10801202456883,256.1919879754312,266.60656564105693,1326.2934343589432,7957.760606153659,389.1339233655617,1997.7660766344384,0.41382957008321974,1.241488710249659,1.241488710249659,1.241488710249659,0.8628826409108393,161.03512421116693,84.97695855531997,8.824888355492275,1.3002799480493688,65.93299735230534,966.2107452670016,509.8617513319198,52.94933013295365,7.801679688296213,395.597984113832,1232.0573206728277,42.649868416689614,6.284132609411584,318.64807214741296,1599.6393938463416,9557.400000000001
1,2032,1NB,1,NB,AM-Early,1,OP,AM,0.7,55,10400.0,1,6,70,3600,1,5,0.5,0,5694.6,85.2,56.0,355.6,24.4,1.2178462144642461,3.6,1.8,0.3214285714285714,0.3214285714285714,3.246,0.715,5694.6,85.2,56.0,355.6,24.4,6215.8,7258.200000000001,1.2,0.907275,7258.200000000001,0.0,1.0,0.0,4555.68,68.16000000000001,44.800000000000004,284.48,19.52,4972.64,1.09370654198479,3.28111962595437,3.28111962595437,3.28111962595437,3.28111962595437,0.1360994276817682,0.13602515799900342,0.13602396138569825,0.13603623829870246,56.33600827742408,169.00802483227224,169.00802483227224,169.00802483227224,51.970376118849494,69.96611398253984,0.45405579163241866,0.6002905922498593,0.8081527042242577,-0.2078621119743984,0.031161438411525896,620.0254407012777,5074.574559298722,9.271474769212075,75.92852523078793,6.0938734700792825,49.90612652992072,38.699589071214874,316.90041092878516,674.090378011784,5541.709621988216,5541.709621988216,782.2202526327965,6475.979747367203,0.7655945793893529,2.2967837381680587,2.2967837381680587,2.2967837381680587,1.2691464460608706,598.8635853042391,474.6881164843929,21.294572478761747,13.996309488531853,88.88458685255264,598.8635853042391,474.6881164843929,21.294572478761747,13.996309488531853,88.88458685255264,620.0254407012777,9.271474769212075,6.0938734700792825,38.699589071214874,674.090378011784,6215.8
2,2032,1NB,1,NB,AM-Peak,1,Peak,AM,0.7,55,10400.0,1,6,70,3600,1,5,0.5,0,7142.7,204.6,107.2,348.3,15.8,1.2178462144642461,3.6,1.8,0.3214285714285714,0.3214285714285714,3.246,0.715,7499.835,214.83,112.56,365.71500000000003,16.59,8209.53,9170.4,1.2,1.1462999999999999,9170.4,0.0,1.0,0.0,5999.868,171.86400000000003,90.048,292.57200000000006,13.272,6567.624000000001,2.3935324814983185,7.180597444494955,7.180597444494955,7.180597444494955,7.180597444494955,0.11945450583360655,0.11925753302749141,0.11924871545060547,0.11927054121146678,59.67073202673966,179.01219608021896,179.01219608021896,179.01219608021896,43.99478587447628,69.92578931735333,0.944273040447391,0.6006367666353528,0.9546585843111568,-0.354021817675804,0.13371555447235522,716.7112670068693,6783.123732993131,20.496076656236788,194.33392334376322,10.738108328896121,101.82189167110388,34.895220783321264,330.81977921667874,782.8406727753236,7426.689327224676,7426.689327224676,915.0994843122318,8713.82051568777,1.675472737048823,5.026418211146468,5.026418211146468,5.026418211146468,2.7979133119624113,1533.2242376525815,1200.830188205729,103.0218529619626,53.97422325762703,175.39797322726272,1533.2242376525815,1200.830188205729,103.0218529619626,53.97422325762703,175.39797322726272,716.7112670068693,20.496076656236788,10.738108328896121,34.895220783321264,782.8406727753236,8209.53
3,2032,1NB,1,NB,AM-Shoulder,3,OP,AM,0.7,55,6722.4641675502235,1,6,70,3600,1,5,0.5,0,4932.3,190.0,47.5,383.6,8.5,1.2178462144642461,3.6,1.8,0.4359424190733675,0.4359424190733675,3.246,0.715,4932.3,190.0,47.5,383.6,8.5,5561.900000000001,6821.1,1.2,0.8526375,6821.1,0.0,1.0,0.0,3945.84,152.0,38.0,306.88000000000005,6.800000000000001,4449.52,2.5288139308842967,7.58644179265289,7.58644179265289,7.58644179265289,7.58644179265289,0.1409144199281836,0.1407751388440403,0.14076148777332312,0.14079368546897303,55.478812448576384,166.43643734572916,166.43643734572916,166.43643734572916,35.85211982903121,69.9695057552332,0.770556602671548,0.6002614931556625,1.1714788470050397,-0.5712173538493772,0.28548973835807323,556.025754729424,4376.274245270576,21.397821104294128,168.60217889570586,5.348936535386279,42.15106346461372,43.20676619671845,340.3932338032816,625.9792785658229,4935.920721434178,14807.762164302534,765.8863262386205,6055.21367376138,1.7701697516190076,5.310509254857022,5.310509254857022,5.310509254857022,3.094006587092423,1355.7488078862132,984.2599721431557,113.63332700812887,28.405576974811687,229.44993176011687,4067.2464236586393,2952.779916429467,340.89998102438665,85.21673092443507,688.3497952803506,1668.0772641882718,64.19346331288239,16.046809606158835,129.62029859015536,1877.9378356974685,16685.7
4,2032,1NB,1,NB,MD,4,OP,MD,0.7,55,6606.808870043984,1,6,70,3600,1,5,0.5,0,4464.6,176.6,49.9,511.5,14.6,1.2178462144642461,3.6,1.8,0.44088216574791295,0.44088216574791295,3.249,0.708,4464.6,176.6,49.9,511.5,14.6,5217.200000000001,6722.400000000001,1.2,0.8403,6722.400000000001,0.0,1.0,0.0,3571.6800000000003,141.28,39.92,409.20000000000005,11.68,4173.760000000001,2.5207326288903875,7.5621978866711625,7.5621978866711625,7.5621978866711625,7.5621978866711625,0.14249212972863273,0.14236769063860988,0.14235566850346823,0.1423994686557973,54.95035459486206,164.8510637845862,164.8510637845862,164.8510637845862,35.72333552907995,69.97043948264697,0.7737682558046602,0.6002534829071099,1.1757020831890306,-0.5754486002819207,0.28844600368686685,508.936289909163,3955.6637100908374,20.113707333422802,156.48629266657719,5.682838286658452,44.21716171334155,58.26986257395227,453.23013742604775,593.0026981031966,4624.197301896805,18496.78920758722,761.1355144912636,5961.2644855087365,1.764512840223271,5.293538520669814,5.293538520669814,5.293538520669814,3.2354306861037503,1343.0333884697802,898.0246184003113,106.47268456295252,30.08232337716376,308.45376212935264,5372.133553879121,3592.098473601245,425.8907382518101,120.32929350865504,1233.8150485174106,2035.745159636652,80.45482933369121,22.731353146633808,233.07945029580907,2372.0107924127865,20868.800000000003
5,2032,1NB,1,NB,PM-Shoulder,2,OP,PM,0.7,55,5600.0,1,6,70,3600,1,5,0.5,0,4666.8,146.1,39.0,397.0,9.7,1.2178462144642461,3.6,1.8,0.4891304347826087,0.4891304347826087,3.399,0.592,4666.8,146.1,39.0,397.0,9.7,5258.6,6442.200000000001,1.2,0.8052750000000001,6442.200000000001,0.0,1.0,0.0,3733.4400000000005,116.88,31.200000000000003,317.6,7.76,4206.88,3.8378016114329223,11.513404834298766,11.513404834298766,11.513404834298766,11.513404834298766,0.14906738919759704,0.14889459069171698,0.1488814574827318,0.14892535449555183,55.447013686352996,166.341041059059,166.341041059059,166.341041059059,26.364900686867816,69.96976601731554,0.8976577665607864,0.6002592604012166,1.593027051337232,-0.9927677909360154,0.5805734813906079,556.5341535258768,4110.2658464741235,17.40279976004788,128.6972002399521,4.645101473461232,34.35489852653877,47.298692587787265,349.7013074122127,625.8807473471732,4632.719252652827,9265.438505305654,764.573934989766,5677.626065010235,2.6864611280030455,8.059383384009136,8.059383384009136,8.059383384009136,4.688246270875786,2053.998155834334,1495.107369853347,140.25583522136807,37.43665363224981,381.1982971273688,4107.996311668668,2990.214739706694,280.51167044273615,74.87330726449962,762.3965942547376,1113.0683070517537,34.80559952009576,9.290202946922465,94.59738517557453,1251.7614946943463,10517.2
6,2032,1NB,1,NB,PM-Peak,2,Peak,PM,0.7,55,5600.0,1,6,70,3600,1,5,0.5,0,4489.0,90.1,26.8,359.3,9.7,1.2178462144642461,3.6,1.8,0.4891304347826087,0.4891304347826087,3.399,0.592,4713.45,94.605,28.14,377.26500000000004,10.185,5223.645,5946.700000000001,1.2,0.7433375000000001,5946.700000000001,0.0,1.0,0.0,3770.76,75.68400000000001,22.512,301.81200000000007,8.148000000000001,4178.916,3.3512194458787783,10.053658337636335,10.053658337636335,10.053658337636335,10.053658337636335,0.15685091851813826,0.15669013760344372,0.15668289594878812,0.1567209023326577,54.37219545818784,163.1165863745635,163.1165863745635,163.1165863745635,34.01016730346395,69.96669745153831,1.235821228567472,0.6002855862832579,1.2349248277800233,-0.6346392414967654,0.3299019249005618,591.4471695114551,4122.0028304885445,11.858936374379036,82.74606362562096,3.527245353599118,24.612754646400884,47.3002489748241,329.96475102517593,654.1336002142573,4569.511399785743,9139.022799571487,779.5064616198617,5464.528538380138,2.3458536121151448,7.037560836345434,7.037560836345434,7.037560836345434,3.9935224417657174,1828.6080486580481,1387.448478973725,83.45798618904222,24.823203760670555,332.87837973461035,3657.2160973160962,2774.89695794745,166.91597237808443,49.64640752134111,665.7567594692207,1182.8943390229101,23.717872748758072,7.054490707198236,94.6004979496482,1308.2672004285146,10447.29
7,2032,1NB,1,NB,PM-Late,5,OP,PM,0.7,55,5600.0,1,6,70,3600,1,5,0.5,0,4096.8,79.2,12.2,352.0,28.0,1.2178462144642461,3.6,1.8,0.4891304347826087,0.4891304347826087,3.399,0.592,4096.8,79.2,12.2,352.0,28.0,4568.2,5511.000000000001,1.2,0.6888750000000001,5511.000000000001,0.0,1.0,0.0,3277.4400000000005,63.36000000000001,9.76,281.6,22.400000000000002,3654.56,2.054479185883279,6.1634375576498375,6.1634375576498375,6.1634375576498375,6.1634375576498375,0.1692238434182564,0.16913567727836262,0.16913108358512943,0.16915438128709687,52.767944127890466,158.3038323836714,158.3038323836714,158.3038323836714,39.71113774690677,69.97523959771273,0.7267254690218711,0.6002123071168854,1.057637790880759,-0.4574254837638736,0.20580099907107677,554.6209933727303,3542.1790066272697,10.716436512357056,68.48356348764295,1.6507193757908631,10.549280624209135,47.633873770446485,304.3661262295535,614.6220230313247,3953.5779769686756,19767.88988484338,734.6240823485135,4776.375917651487,1.4381354301182954,4.314406290354886,4.314406290354886,4.314406290354886,2.455606584335986,1056.4889206435373,797.6201008567276,46.235061099102055,7.121874058522791,205.51188462918492,5282.444603217687,3988.100504283638,231.17530549551026,35.60937029261395,1027.5594231459245,2773.1049668636515,53.58218256178528,8.253596878954315,238.16936885223242,3073.1101151566236,22841.0
8,2032,1SB,1,SB,Night,6,OP,NT,0.7,55,7424.484805932848,1,6,70,3600,1,5,0.5,0,1590.5,39.0,15.8,311.8,36.5,1.2178462144642461,3.6,1.8,0.4081823395119849,0.4081823395119849,3.402,0.708,1590.5,39.0,15.8,311.8,36.5,1993.6,2799.8,1.2,0.34997500000000004,2799.8,0.0,1.0,0.0,1272.4,31.200000000000003,12.64,249.44000000000003,29.200000000000003,1594.88,0.6068664227515219,1.8205992682545658,1.8205992682545658,1.8205992682545658,1.8205992682545658,0.1954485903638981,0.1954360379995136,0.19543544408272873,0.19544301267175543,55.11890057915433,165.35670173746297,165.35670173746297,165.35670173746297,54.94051196496852,69.99847537829663,0.2280328160903569,0.6000130684706642,0.7644632075285406,-0.16445013905787642,0.0005787907245239435,248.68878637902398,1341.811213620976,6.097604385584825,32.90239561441518,2.4703040132056913,13.32969598679431,48.75130508084268,263.04869491915736,306.0079998586571,1687.5920001413429,10125.552000848056,420.64642681792355,2379.153573182077,0.42480649592606534,1.274419487778196,1.274419487778196,1.274419487778196,0.8342141133699555,178.69333460034218,105.64461191777899,7.770905857751094,3.148203575166019,62.12961324964609,1072.1600076020532,633.8676715066739,46.62543514650656,18.889221450996114,372.77767949787653,1492.1327182741438,36.58562631350895,14.821824079234148,292.50783048505605,1836.047999151943,11961.599999999999
9,2032,1SB,1,SB,AM-Early,1,OP,AM,0.7,55,5600.0,1,6,70,3600,1,5,0.5,0,2965.5,120.6,51.1,406.8,39.0,1.2178462144642461,3.6,1.8,0.4891304347826087,0.4891304347826087,3.246,0.715,2965.5,120.6,51.1,406.8,39.0,3583.0,4818.0,1.2,0.60225,4818.0,0.0,1.0,0.0,2372.4,96.48,40.88,325.44000000000005,31.200000000000003,2866.4,1.459936189005501,4.379808567016503,4.379808567016503,4.379808567016503,4.379808567016503,0.16983920807844455,0.1697881009441198,0.16978399986368406,0.1698049470190798,50.848326516658375,152.54497954997512,152.54497954997512,152.54497954997512,46.89688654815618,69.98769977220904,0.6371654564802463,0.6001054490531708,0.8955818411713152,-0.29547639211814447,0.09236183427446609,402.92653724530186,2562.573462754698,16.38115597908868,104.21884402091132,6.940769914427404,44.159230085572595,55.26132195788934,351.5386780421107,481.5097850967073,3101.490214903293,3101.490214903293,638.6762807995182,4179.323719200482,1.0219553323038506,3.0658659969115516,3.0658659969115516,3.0658659969115516,1.9364645210925164,652.6986307790589,411.7729232645623,50.22242910639233,21.27947047302968,169.42380793507462,652.6986307790589,411.7729232645623,50.22242910639233,21.27947047302968,169.42380793507462,402.92653724530186,16.38115597908868,6.940769914427404,55.26132195788934,481.5097850967073,3583.0
