,Year,SegDir,Segment,Direction,Period,Hours/Day,Peak,4Periods,Length,Speed GP,Capacity GP,Alpha GP,Beta GP,Speed ML,Capacity ML,Alpha ML,Beta ML,MinToll,MinCapture,AADT Lights,AADT Medium A,AADT Medium B,AADT Heavy A,AADT Heavy B,GrowthFactor,MaxToll,Soft Cap,Capture factor,MaxCapture,MaxCap_aux,B1,B2,TotalLights,TotalMediumA,TotalMediumB,TotalHeavyA,TotalHeavyB,TotalVeh,Corridor PCE pre-fix,Suppressed ratio ref,Suppressed ratio,Corridor PCE,Max VC,Suppressed Demand,PCE ratio,BonusPeak,BonusOffPeak,HOV3,InScopeLights,InScopeMediumA,InScopeMediumB,InScopeHeavyA,InScopeHeavyB,InScopeVeh,TollLights,TollMediumA,TollMediumB,TollHeavyA,TollHeavyB,CaptureLights,CaptureRateLights,CaptureRateMediumA,CaptureRateMediumB,CaptureRateHeavyA,baseToll,devTollShare,tdotTollShare,devTollMediumA,devTollMediumB,devTollHeavyA,tdotTollMediumA,tdotTollMediumB,tdotTollHeavyA,baseTollMediumA,baseTollMediumB,baseTollHeavyA,VOT Lights,VOT MediumA,VOT MediumB,VOT HeavyA,Speed GP Real,Speed ML Real,Bonus Seg,Time ML,Time GP,Time Savings,BonusRel,Reliability %,Bonus %,Time Savings %,MLVeh_Lights,GPVeh_Lights,MLVeh_MediumA,GPVeh_MediumA,MLVeh_MediumB,GPVeh_MediumB,MLVeh_HeavyA,GPVeh_HeavyA,MLVeh,GPVeh,GPVehDay,ML PCE,ML V/C,ML Volume,ML PCE Total,GP PCE,GP Volume,GP PCE Total,Highway PCE,Highway Volume,Highway PCE Total,Highway V/C,TollLightsPerSeg,TollMediumAPerSeg,TollMediumBPerSeg,TollHeavyAPerSeg,TollBlend,RevenuePerHour,DevRevenuePerDay,TDOTRevenuePerDay,BaseRevenuePerDay,RevenuePerHourLights,RevenuePerHourMediumA,RevenuePerHourMediumB,RevenuePerHourHeavyA,RevenuePerDay,RevenuePerDayLights,RevenuePerDayMediumA,RevenuePerDayMediumB,RevenuePerDayHeavyA,TransactionsDay_Lights,TransactionsDay_MediumA,TransactionsDay_MediumB,TransactionsDay_HeavyA,TransactionsDay,GPDay_Lights,GPDay_MediumA,GPDay_MediumB,GPDay_HeavyA,GPDay_HeavyB,TransactionsLightsLength,TransactionsMediumALength,TransactionsMediumBLength,TransactionsHeavyALength,TotalVeh_hours,GPDayLength_Lights,GPDayLength_MediumA,GPDayLength_MediumB,GPDayLength_HeavyA,GPDayLength_HeavyB,Difference in Travel Time,Implied Min VOT
160,2025,11NB,11,NB,Night,7,OP,NT,2.4,60,8000.0,1,6,60,3600,1.6,6.3,0.2,0.05370569280343716,1397.0,37.0,10.0,248.0,30.0,1.0,3.2,1.6,0.9,0.10741138560687433,0.10741138560687433,3.286,0.708,1397.0,37.0,10.0,248.0,30.0,1722.0,2348.5,0.9,0.2935625,2348.5,1.2,0.0,1.0,3.0,1.6,0.0,1300.607,34.447,9.31,230.888,27.93,1603.182,0.2,0.8,0.8,1.0,0.6000000000000001,0.06534554340236776,0.06534554340236776,0.06534554340236776,0.06534554342670383,0.06534554342824445,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,1.0,13459.89160293858,53839.56641175432,53839.56641175432,67299.4580146929,59.9732657225959,59.99999988860243,0.0,2.4000000044559027,2.401069847789624,-0.0010698433337212876,0.0007488934527365987,0.4117657147052706,0.0,0.5882342852947294,84.98887116792332,1312.0111288320768,2.250957933581362,34.74904206641864,0.6083670093026127,9.391632990697387,15.087501831060504,232.9124981689395,102.9356979418678,1619.0643020581324,11333.450114406927,137.39968901831475,0.03816658028286521,961.7978231282032,2308.3147755076875,2211.1003109816857,15477.7021768718,37146.48522449232,2348.5000000000005,16439.500000000004,39454.8,0.29356250000000006,0.48,1.92,1.92,2.4,0.33392434992148307,82.49456644548563,0.0,0.0,577.4619651183995,40.79465816060319,4.321839232476215,1.1680646578610163,36.21000439454521,577.4619651183995,285.5626071242223,30.252874627333505,8.176452605027114,253.47003076181647,594.9220981754632,15.756705535069536,4.258569065118289,105.61251281742352,720.5498855930746,9184.077901824538,243.24329446493047,65.7414309348817,1630.3874871825765,210.0,1427.8130356211118,37.81609328416688,10.220565756283893,253.47003076181645,12054.0,22041.78696437889,583.7839067158332,157.77943424371608,3912.9299692381833,504.0,-0.000445569434269546,26919.829373356537
161,2025,11NB,11,NB,AM-Early,1,OP,AM,2.4,60,7387.2250855943,1,6,60,3600,1.6,6.3,0.2,0.05,5278.0,151.0,79.0,257.0,12.0,1.0,3.2,1.6,0.9,0.37038408829956665,0.37038408829956665,3.13,0.715,5278.0,151.0,79.0,257.0,12.0,5777.0,6660.0,1.0,0.9015563926686829,6660.0,1.2,0.0,1.0,3.0,1.6,0.0,4913.818,140.58100000000002,73.549,239.26700000000002,11.172,5378.387000000001,0.8,3.2,3.2,4.0,2.4000000000000004,0.20470474543771722,0.20470474543771722,0.10986092991589666,0.10986075153379077,0.09756914280614434,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,3.2,4.0,41.25713243360162,165.02852973440648,165.02852973440648,206.2856621680081,51.06040107321293,59.93348757110135,1.6617493336914666,2.402663449697757,2.8201893634467474,-0.4175259137489906,0.29413255441272346,0.12392836754942063,0.7001533122095395,0.17591832024103998,1005.8818628172728,4272.118137182727,15.44435938850667,135.55564061149332,8.080148414558778,70.91985158544122,23.34507609179774,233.65492390820225,1052.751446712136,4724.248553287864,4724.248553287864,1134.7283606003296,0.31520232238898044,1134.7283606003296,2723.348065440791,5525.271639399671,5525.271639399671,13260.65193455921,6660.0,6660.0,15984.0,0.9015563926686829,1.92,7.68,7.68,9.6,0.9245907214193316,2336.074127017965,0.0,0.0,2336.074127017965,1931.2931766091638,118.61268010373122,62.055539823811415,224.1127304812583,2336.074127017965,1931.2931766091638,118.61268010373122,62.055539823811415,224.1127304812583,1005.8818628172728,15.44435938850667,8.080148414558778,23.34507609179774,1052.751446712136,4272.118137182727,135.55564061149332,70.91985158544122,233.65492390820225,12.0,2414.116470761455,37.06646253241601,19.392356194941065,56.028182620314574,5777.0,10253.083529238544,325.33353746758394,170.20764380505892,560.7718173796853,28.799999999999997,-0.14804889315613312,275.9110182302511
162,2025,11NB,11,NB,AM-Peak,3,Peak,AM,2.4,60,7999.999999999998,1,6,60,3600,1.6,6.3,0.2,0.05,5478.0,214.0,53.0,432.0,10.0,1.0,3.2,1.6,0.9,0.37038408829956665,0.37038408829956665,3.13,0.715,6138.030242931221,239.78431398088378,59.38583477096655,484.0505777558028,11.204874485088027,6932.455843923963,8371.721971533518,1.2,1.04646524644169,8371.721971533518,1.2,0.0,1.0,3.0,1.6,0.0,5714.506156168967,223.23919631620282,55.28821217176986,450.65108789065243,10.431738145616954,6454.11639069321,1.599999559306651,6.399998237226604,6.399998237226604,7.999997796533255,4.799998677919953,0.21831033817328446,0.21831033817328446,0.11949651633470329,0.11956640987453904,0.10628941261001476,1.599999559306651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.399998237226604,6.399998237226604,7.999997796533255,39.801426868871104,159.20570747548442,159.20570747548442,199.00713434435553,42.53210596228697,59.65530483912069,3.258640749221604,2.413867473954602,3.385677636740682,-0.9718101627860798,0.6899743457184773,0.14022656774128703,0.6622681127215202,0.19750531953719283,1247.535771446563,4890.494471484659,26.676306269145165,213.10800771173862,6.610613037760313,52.77522173320624,47.89943942396158,436.15113833184125,1328.7221301774302,5603.733713746533,16811.2011412396,1474.4513879857116,0.409569829996031,4423.354163957135,10616.049993497123,6897.270583547809,20691.81175064343,49660.34820154423,8371.721971533521,25115.165914600562,60276.39819504135,1.0464652464416904,3.839998942335962,15.359995769343849,15.359995769343849,19.19999471167981,1.9509634560849785,6221.491966242128,0.0,0.0,18664.47589872639,4790.536042881081,409.7479514357905,101.5389882927677,919.6689836324898,18664.475898726385,14371.608128643242,1229.2438543073715,304.61696487830307,2759.0069508974693,3742.6073143396893,80.0289188074355,19.83183911328094,143.69831827188474,3986.1663905322903,14671.483414453976,639.3240231352158,158.3256651996187,1308.4534149955239,33.61462345526408,8982.257554415253,192.0694051378452,47.596413871874255,344.8759638525234,20797.367531771888,35211.56019468954,1534.3776555245179,379.9815964790849,3140.288195989257,80.6750962926338,-0.2870356445753118,237.08327548214234
163,2025,11NB,11,NB,AM-Shoulder,1,OP,AM,2.4,60,8065.271296004081,1,6,60,3600,1.6,6.3,0.2,0.05,5124.0,227.0,63.0,599.0,18.0,1.0,3.2,1.6,0.9,0.37038408829956665,0.37038408829956665,3.13,0.715,5124.0,227.0,63.0,599.0,18.0,6031.0,7700.0,1.02,0.9547106002267954,7700.0,1.2,0.0,1.0,3.0,1.6,0.0,4770.444,211.33700000000002,58.653000000000006,557.669,16.758000000000003,5614.861,0.8,3.2,3.2,4.0,2.4000000000000004,0.22849218136104002,0.22849218136104002,0.12587374984426625,0.12587183525775764,0.11230075994307726,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,3.2,4.0,38.932115313449835,155.72846125379934,155.72846125379934,194.66057656724917,48.57060249834657,59.78959138451035,1.5635074232407693,2.408445963009307,2.964756305110731,-0.5563103421014239,0.3953294135775115,0.1571794354186906,0.6216365532582154,0.221184011323094,1090.0091556206853,4033.9908443793147,26.601780670837698,200.39821932916232,7.382760753373259,55.61723924662674,62.62665249669595,536.3733475033041,1186.6203495415923,4844.379650458408,4844.379650458408,1362.8504666713006,0.3785695740753613,1362.8504666713006,3270.8411200111213,6337.1495333287,6337.1495333287,15209.15887998888,7700.000000000001,7700.000000000001,18480.0,0.9547106002267955,1.92,7.68,7.68,9.6,1.0376229158015549,2955.034720897937,0.0,0.0,2955.034720897937,2092.8175787917157,204.30167555203352,56.699602585906625,601.215863968281,2955.034720897937,2092.8175787917157,204.30167555203352,56.699602585906625,601.215863968281,1090.0091556206853,26.601780670837698,7.382760753373259,62.62665249669595,1186.6203495415923,4033.9908443793147,200.39821932916232,55.61723924662674,536.3733475033041,18.0,2616.0219734896446,63.844273610010475,17.718625808095823,150.30396599207026,6031.0,9681.578026510355,480.95572638998954,133.48137419190417,1287.2960340079298,43.199999999999996,-0.18764117008282954,207.07865966474745
164,2025,11NB,11,NB,MD,5,OP,MD,2.4,60,5535.189725999085,1,6,60,3600,1.6,6.3,0.2,0.05,3734.0,132.0,36.0,380.0,11.0,1.0,3.2,1.6,0.9,0.37038408829956665,0.37038408829956665,3.133,0.708,3734.0,132.0,36.0,380.0,11.0,4293.0,5327.0,1.02,0.9623879692829306,5327.0,1.2,0.0,1.0,3.0,1.6,0.0,3476.3540000000003,122.89200000000001,33.516000000000005,353.78000000000003,10.241,3996.7830000000004,0.8,3.2,3.2,4.0,2.4000000000000004,0.25244671633965216,0.25244671633965216,0.1415881251075504,0.14160922973571585,0.12671568314488313,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,3.2,4.0,36.78529081856268,147.14116327425072,147.14116327425072,183.92645409281337,49.682158489095904,59.954728759498906,1.816423622713174,2.401812216975219,2.8984247943173544,-0.49661257734213526,0.3488973560221481,0.1310691452931201,0.682370008284429,0.18656084642245097,877.5941521342152,2856.405847865785,17.400047870717085,114.59995212928291,4.746174943822253,31.253825056177746,44.82947438299676,335.17052561700325,944.5698493317512,3348.4301506682486,16742.150753341244,1067.4481323195537,0.29651337008876494,5337.240661597769,12809.377587834644,4259.551867680447,21297.759338402233,51114.62241216536,5327.0,26635.0,63924.0,0.9623879692829306,1.92,7.68,7.68,9.6,1.0081426301290213,2285.426717390124,0.0,0.0,11427.13358695062,1684.980772097693,133.6323676471072,36.4506235685549,430.36295407676886,11427.13358695062,8424.903860488464,668.161838235536,182.25311784277451,2151.8147703838445,4387.970760671076,87.00023935358543,23.730874719111267,224.14737191498378,4722.849246658756,14282.029239328924,572.9997606464145,156.26912528088872,1675.8526280850162,55.0,10531.129825610582,208.80057444860503,56.95409932586704,537.953692595961,21465.0,34276.87017438941,1375.1994255513948,375.0459006741329,4022.046307404039,132.0,-0.17133878316104417,231.97157151465848
165,2025,11NB,11,NB,PM-Shoulder,1,OP,PM,2.4,60,7176.264136473113,1,6,60,3600,1.6,6.3,0.2,0.05,4721.0,116.0,39.0,424.0,11.0,1.0,3.2,1.6,0.9,0.37038408829956665,0.37038408829956665,3.283,0.592,5388.122842138513,132.39191901886622,44.5110762218602,483.9152902068904,12.554406113858006,6061.495533699987,7375.525,1.02,1.0277666568199673,7319.789419202575,1.2,55.73558079742452,0.9924431710559689,3.0,1.6,0.0,5016.342366030956,123.25687660656446,41.43981196255185,450.525135182615,11.688152092001804,5643.252341874689,0.9599978842946608,3.8399915371786433,3.8399915371786433,4.799989421473304,2.8799936528839822,0.2434808803775971,0.2434808803775971,0.11878341159061838,0.11880698272944444,0.10320818519813407,0.9599978842946608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8399915371786433,3.8399915371786433,4.799989421473304,40.22582990122199,160.90331960488797,160.90331960488797,201.12914950611,45.7321933997374,59.73977674636105,1.6586528900349944,2.4104542708852943,3.148766531736632,-0.7383122608513375,0.5241365722156422,0.1794311263008847,0.5678175727046023,0.252751300994513,1221.3834555566557,4166.739386581858,14.640872305331609,117.7510467135346,4.923339024146323,39.58773719771388,46.49788158834171,437.4174086185487,1287.4455484744753,4774.0499852255125,4774.0499852255125,1409.7876286453757,0.3916076746237155,1409.7876286453757,3383.4903087489015,5910.0017905571995,5910.0017905571995,14184.004297337278,7319.789419202575,7319.789419202575,17567.49460608618,1.02,2.303994922307186,9.215979689228744,9.215979689228744,11.51997461153593,1.1424493103195348,3530.019069428687,0.0,0.0,3530.019069428687,2814.061279792539,134.92998179852773,45.37339244971977,535.6544153879005,3530.019069428687,2814.061279792539,134.92998179852773,45.37339244971977,535.6544153879005,1221.3834555566557,14.640872305331609,4.923339024146323,46.49788158834171,1287.4455484744753,4166.739386581858,117.7510467135346,39.58773719771388,437.4174086185487,12.554406113858006,2931.3202933359735,35.13809353279586,11.816013657951174,111.5949158120201,6061.495533699987,10000.174527796458,282.60251211248305,95.0105692745133,1049.8017806845169,30.13057467325921,-0.2344766604350745,187.23743687938884
166,2025,11NB,11,NB,PM-Peak,3,Peak,PM,2.4,60,8000.0,1,6,60,3600,1.6,6.3,0.2,0.05,5642.0,105.0,23.0,411.0,14.0,1.0,3.2,1.6,0.9,0.37038408829956665,0.37038408829956665,3.283,0.592,6082.0130588187285,113.18882863806567,24.79374341595724,443.0534149547142,15.091843818408755,6678.140889645874,7801.405265273154,1.2,0.9751756581591443,7801.405265273154,1.2,0.0,1.0,3.0,1.6,0.0,5662.354157760236,105.37879946203914,23.082975120256194,412.4827293228389,14.050506594938552,6217.349168260309,1.3599999728016383,5.439999891206553,5.439999891206553,6.799999864008192,4.079999918404915,0.22313575115355205,0.22313575115355205,0.10608331977683048,0.10609206812978414,0.091758561934252,1.3599999728016383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.439999891206553,5.439999891206553,6.799999864008192,41.84128562055498,167.3651424822199,167.3651424822199,209.2064281027749,47.62763090753127,59.73826545486807,2.9291044692247463,2.4105152518830866,3.0234550250793504,-0.6129397731962638,0.43641851755554517,0.10969526268938029,0.7362402631216303,0.15406447418898947,1263.473648289269,4818.53941052946,11.17893288102999,102.00989575703568,2.4489205690963325,22.344822846860907,37.84882206537902,405.2045928893352,1314.9503238047744,5363.1905658411,16089.571697523299,1411.0897481107218,0.39196937447520047,4233.269244332165,10159.846186397195,6390.315517162433,19170.9465514873,46010.27172356952,7801.405265273155,23404.215795819466,56170.11790996672,0.9751756581591444,3.2639999347239317,13.055999738895727,13.055999738895727,16.31999967361966,1.5588662144752146,4919.595920382015,0.0,0.0,14758.787761146044,4123.977905541582,145.9521447758604,31.973106310698093,617.6927637538741,14758.787761146044,12371.933716624746,437.8564343275812,95.91931893209428,1853.0782912616223,3790.420944867807,33.536798643089966,7.346761707288998,113.54646619613706,3944.850971414323,14455.61823158838,306.02968727110704,67.03446854058272,1215.6137786680056,45.275531455226265,9097.010267682737,80.48831674341592,17.632228097493595,272.51151887072893,20034.422668937623,34693.48375581211,734.4712494506568,160.88272449739853,2917.473068803213,108.66127549254303,-0.20272825893289986,319.50936233457276
167,2025,11NB,11,NB,PM-Late,3,OP,PM,2.4,60,5987.397816858395,1,6,60,3600,1.6,6.3,0.2,0.05,2727.0,51.0,5.0,265.0,29.0,1.0,3.2,1.6,0.9,0.37038408829956665,0.37038408829956665,3.283,0.592,2727.0,51.0,5.0,265.0,29.0,3077.0,3749.0,0.95,0.6261484729550025,3749.0,1.2,0.0,1.0,3.0,1.6,0.0,2538.837,47.481,4.655,246.715,26.999000000000002,2864.6870000000004,0.5865909418128185,2.346363767251274,2.346363767251274,2.9329547090640924,1.7597728254384553,0.18568474461761694,0.18568474461761694,0.08388390738840637,0.08388936577469935,0.07186154717928361,0.5865909418128185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.346363767251274,2.346363767251274,2.9329547090640924,45.23659743714437,180.94638974857747,180.94638974857747,226.18298718572183,58.59945073442874,59.99941254502218,1.4896923390840349,2.4000234984291837,2.4573609171288044,-0.057337418699620724,0.040152641990163135,0.02529806403844012,0.9385766496001489,0.036125286361411005,471.4232999707567,2255.5767000292435,3.982891806708923,47.01710819329108,0.3905049976812255,4.609495002318774,17.729321612336957,247.27067838766305,493.5260183874838,2583.4739816125166,7750.42194483755,535.5447568187429,0.14876243244965082,1606.634270456229,3855.922249094949,3213.455243181257,9640.365729543772,23136.877750905052,3749.0,11247.0,26992.800000000003,0.6261484729550025,1.4078182603507643,5.631273041403057,5.631273041403057,7.039091301753822,0.6864754886527663,813.1044351249649,0.0,0.0,2439.3133053748948,663.6783300536472,22.428751257945073,2.1990402659754484,124.79831354739711,2439.3133053748948,1991.0349901609416,67.28625377383523,6.597120797926346,374.39494064219133,1414.2698999122701,11.948675420126769,1.1715149930436763,53.18796483701087,1480.5780551624516,6766.7301000877305,141.05132457987324,13.828485006956324,741.8120351629891,87.0,3394.247759789448,28.676821008304245,2.8116359833048232,127.65111560882607,9231.0,16240.152240210553,338.5231789916958,33.188364016695175,1780.348884391174,208.79999999999998,-0.023332925293942625,1473.1932050091505
168,2025,11SB,11,SB,Night,7,OP,NT,2.4,60,8000.0,1,6,60,3600,1.6,6.3,0.2,0.05186721991701245,1357.0,39.0,16.0,250.0,28.0,1.0,3.2,1.6,0.9,0.1037344398340249,0.1037344398340249,3.286,0.708,1357.0,39.0,16.0,250.0,28.0,1690.0,2328.5,0.9,0.2910625,2328.5,1.2,0.0,1.0,3.0,1.6,0.0,1308.148,37.596,15.424,241.0,26.991999999999997,1629.1599999999999,0.2,0.8,0.8,1.0,0.6000000000000001,0.06311396354536276,0.06311396354536276,0.06311396354536276,0.06311396354536276,0.06311396354135493,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,1.0,14181.421056862384,56725.684227449536,56725.684227449536,70907.10528431191,59.97462534647864,59.999999892824704,0.0,2.400000004287012,2.4010154155711594,-0.001015411284147394,0.0007107908998117473,0.411765728497405,0.0,0.588234271502595,82.5624051839392,1274.4375948160607,2.372832573451458,36.62716742654854,0.9734697737236753,15.026530226276325,15.210465213466538,234.78953478653347,101.11917274458088,1588.880827255419,11122.165790787933,136.55955669227666,0.037933210192299074,955.9168968459367,2294.200552430248,2191.9404433077234,15343.583103154064,36824.59944756975,2328.5,16299.5,39118.8,0.2910625,0.48,1.92,1.92,2.4,0.3401925391032042,82.55997150718676,0.0,0.0,577.9198005503074,39.629954488290814,4.5558385410268,1.8690619655494565,36.50511651231969,577.9198005503073,277.4096814180357,31.890869787187597,13.083433758846196,255.53581558623782,577.9368362875745,16.609828014160207,6.814288416065727,106.47325649426577,707.8342092120663,8921.063163712424,256.39017198583974,105.18571158393428,1643.5267435057342,196.0,1387.0484070901787,39.8635872339845,16.354292198557744,255.53581558623785,11830.0,21410.55159290982,615.3364127660153,252.44570780144227,3944.464184413762,470.4,-0.0004229091065231022,28362.891421068234
169,2025,11SB,11,SB,AM-Early,1,OP,AM,2.4,60,7321.281952734838,1,6,60,3600,1.6,6.3,0.2,0.05,3040.0,119.0,53.0,268.0,14.0,1.0,3.2,1.6,0.9,0.35770496494491344,0.35770496494491344,3.13,0.715,3040.0,119.0,53.0,268.0,14.0,3494.0,4316.0,1.0,0.589514244617744,4316.0,1.2,0.0,1.0,3.0,1.6,0.0,2930.56,114.716,51.092,258.352,13.495999999999999,3368.216,0.5975034174045734,2.3900136696182934,2.3900136696182934,2.9875170870228667,1.7925102522137202,0.1488824988341818,0.1488824988341818,0.07450011067971696,0.0745078804449883,0.06532948479277352,0.5975034174045734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3900136696182934,2.3900136696182934,2.9875170870228667,48.13661734191567,192.54646936766267,192.54646936766267,240.68308670957836,58.85265899853718,59.999524752662595,1.4397882906723478,2.400019010044071,2.4467883431329622,-0.04676933308889142,0.03275184019307354,0.021557056656403756,0.9476596604124383,0.030783282931157875,436.30909578349986,2603.6909042165003,8.54635469673441,110.45364530326559,3.806756627695342,49.19324337230466,16.878003055182624,251.12199694481737,465.5402101631122,3028.459789836888,3028.459789836888,517.8258832601222,0.1438405231278117,517.8258832601222,1242.7821198242932,3798.1741167398777,3798.1741167398777,9115.617880175707,4316.0,4316.0,10358.4,0.589514244617744,1.434008201770976,5.736032807083904,5.736032807083904,7.17004100885488,0.7317168222823853,817.5446477405434,0.0,0.0,817.544647740543,625.6708218608172,49.022170921444186,21.83568090504457,121.01597405323737,817.5446477405434,625.6708218608172,49.022170921444186,21.83568090504457,121.01597405323737,436.30909578349986,8.54635469673441,3.806756627695342,16.878003055182624,465.5402101631122,2603.6909042165003,110.45364530326559,49.19324337230466,251.12199694481737,14.0,1047.1418298803997,20.511251272162582,9.13621590646882,40.5072073324383,3494.0,6248.858170119601,265.0887487278374,118.06378409353117,602.6927926675617,33.6,-0.019114580637982832,1839.6775498749794
