,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),TDOT Revenues,Var TDOT Revenues (%),Total Transactions,Var Total Transactions (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Capture,Var Capture (%),Corridor PCE,Var Corridor PCE (%)
0,2025,56204250.2,,56204250.2,,0,,0,,32502330.63,,27579.698,,1.074,,0.164,,215869.468,
1,2026,63306016.07,0.126,63306016.03,0.126,0,,0,,33975134.7,0.045,29009.7,0.052,1.15,0.071,0.169,0.03,220892.364,0.023
2,2027,71305135.41,0.126,71305135.32,0.126,0,,0,,35514677.12,0.045,30513.847,0.052,1.231,0.07,0.173,0.024,226032.135,0.023
3,2028,80314994.55,0.126,80314994.4,0.126,0,,0,,37123982.05,0.045,32095.984,0.052,1.318,0.071,0.178,0.029,231291.498,0.023
4,2029,90463306.92,0.126,90463306.69,0.126,0,,0,,38806210.71,0.045,33760.155,0.052,1.412,0.071,0.183,0.028,236673.238,0.023
5,2030,101893923.4,0.126,101893923,0.126,0,,0,,40564667.53,0.045,35510.612,0.052,1.512,0.071,0.188,0.027,242180.201,0.023
6,2031,114768871.2,0.126,114768870.7,0.126,0,,0,,42402806.72,0.045,37351.831,0.052,1.619,0.071,0.193,0.027,247815.301,0.023
7,2032,129270650.8,0.126,129270650.3,0.126,0.286,inf,0.286,inf,44324238.97,0.045,39288.516,0.052,1.734,0.071,0.199,0.031,253581.52,0.023
8,2033,141408870.1,0.094,139133128.2,0.076,2.66,8.301,2.66,8.301,45258474.56,0.021,40072.343,0.02,1.859,0.072,0.201,0.01,256424.518,0.011
9,2034,154686840.4,0.094,149748046.7,0.076,24.768,8.311,24.768,8.311,46212401.31,0.021,40871.807,0.02,1.994,0.073,0.202,0.005,259299.39,0.011
10,2035,169211581.9,0.094,161172811.8,0.076,230.596,8.31,230.596,8.31,47186434.27,0.021,41687.221,0.02,2.139,0.073,0.204,0.01,262206.493,0.011
11,2036,185100163.4,0.094,173469209.4,0.076,2146.905,8.31,2146.905,8.31,48180997.22,0.021,42518.903,0.02,2.294,0.072,0.206,0.01,265146.189,0.011
12,2037,202480646.6,0.094,186703739.1,0.076,19988.229,8.31,19988.229,8.31,49196522.88,0.021,43367.178,0.02,2.46,0.072,0.208,0.01,268118.843,0.011
13,2038,221493117.4,0.094,200947974,0.076,186095.442,8.31,186095.442,8.31,50233453.09,0.021,44232.376,0.02,2.638,0.072,0.209,0.005,271124.824,0.011
14,2039,242290815.9,0.094,216278948,0.076,1732595.42,8.31,1732595.421,8.31,51292238.99,0.021,45114.835,0.02,2.83,0.073,0.211,0.01,274164.507,0.011
15,2040,265041370.9,0.094,232779571.7,0.076,16130899.57,8.31,16130899.58,8.31,52373341.24,0.021,46014.9,0.02,3.035,0.072,0.213,0.009,277238.269,0.011
16,2041,285066701.5,0.076,245931091,0.056,18488385.12,0.146,18994735.52,0.178,53280054.82,0.017,46855.32,0.018,3.205,0.056,0.215,0.009,279744.567,0.009
17,2042,306605055.7,0.076,259825641.4,0.056,21190410.55,0.146,22367009.08,0.178,54202465.88,0.017,47711.089,0.018,3.386,0.056,0.217,0.009,282273.523,0.009
18,2043,329770750.9,0.076,274505202.5,0.056,24287329.38,0.146,26337986.9,0.178,55140846.17,0.017,48582.488,0.018,3.576,0.056,0.219,0.009,284825.342,0.009
19,2044,354686741.5,0.076,290014125.5,0.056,27836854.17,0.146,31013961.3,0.178,56095472.19,0.017,49469.803,0.018,3.778,0.056,0.221,0.009,287400.229,0.009
20,2045,381485272,0.076,306399267.7,0.056,31905132.02,0.146,36520095.45,0.178,57066625.16,0.017,50373.323,0.018,3.99,0.056,0.223,0.009,289998.394,0.009
21,2046,410308578.7,0.076,323710133.3,0.056,36567977.23,0.146,43003773.65,0.178,58054591.22,0.017,51293.345,0.018,4.215,0.056,0.225,0.009,292620.047,0.009
22,2047,441309644.3,0.076,341999023.7,0.056,41912284.12,0.146,50638546.39,0.178,59059661.45,0.017,52230.171,0.018,4.452,0.056,0.227,0.009,295265.401,0.009
23,2048,474653010.7,0.076,361321195,0.056,48037646.43,0.146,59628775.88,0.178,60082131.96,0.017,53184.107,0.018,4.702,0.056,0.229,0.009,297934.669,0.009
24,2049,510515651.4,0.076,381735025.2,0.056,55058213.18,0.146,70215106.21,0.178,61122303.99,0.017,54155.466,0.018,4.967,0.056,0.231,0.009,300628.068,0.009
25,2050,549087911.5,0.076,403302190.8,0.056,63104815.99,0.146,82680904.77,0.178,62180484,0.017,55144.565,0.018,5.246,0.056,0.233,0.009,303345.816,0.009
