,,,GPVeh,GPVeh,GPVeh,GPVeh,GPVeh,GPVeh,GPVeh,GPVeh,MLVeh,MLVeh,MLVeh,MLVeh,MLVeh,MLVeh,MLVeh,MLVeh,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,TollLights,TollLights,TollLights,TollLights,TollLights,TollLights,TollLights,TollLights,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights
Period,,,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late
Year,Direction,Segment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2032,NB,1,1600.6771258874517,5563.911474727297,7283.810019100355,4757.606209211351,4456.520536734678,4473.240838987397,4428.314204927867,3989.1967396710365,14.522874112548138,738.6885252727031,1040.4849808996446,881.89379078865,833.4794632653218,858.8591610126024,868.3057950721343,642.7032603289631,10.622482692591545,1080.0294706793488,1532.6854506256013,1359.6616322545942,1348.04566875124,1322.1425647055548,1303.8476966477524,788.6059056608357,0.7438710612653053,1.7999997036038184,1.7999814493350323,1.7999958964203828,1.7999999917439726,1.7999948716098932,1.7999443983402212,1.4665581768676716,0.011941600061552562,0.14708993480610444,0.15657015350419076,0.19577972580243236,0.1975083487053559,0.20172327680334043,0.20532885089803124,0.1745200895408892
2032,NB,10,1195.1535777367692,5035.322800918146,7227.108020724632,5430.798904024137,4599.347880085183,5219.976733228483,5489.1354996828295,2952.3567105405978,0.24642226323063524,610.8771990818543,857.7869792753698,558.6010959758631,543.1521199148169,580.5232667715178,841.524500317172,453.44328945940225,2.874993887376294,5590.831541604592,8239.6610358589,3473.3747017048117,4456.490766515812,2927.709942475607,8276.414507869707,1874.3994092008747,1.7991717665854254,1.7311824360246602,1.7999999916952296,1.0704911555960244,1.3646613884050711,0.897400309129246,1.7999999925925925,0.7470464329773927,0.00027893084940310394,0.13606991535281332,0.13299178846453907,0.11708863089082928,0.13265601746360214,0.1253729802578666,0.16669217061346006,0.16729112314290778
2032,NB,2,1284.9007273275463,4648.2373869940875,6647.66903703397,5196.07471507531,5197.581350858989,5291.775501421491,5315.177364744384,4189.238069297867,35.7992726724535,648.7626130059133,1644.8109629660296,1257.9252849246898,1366.3186491410102,1543.324498578511,1376.9976352556153,669.2619307021328,15.844127754284695,886.8554378759544,4524.800797968142,1790.384458364403,1977.3445799429812,2192.339168707997,1912.5988549496155,469.78127878270453,0.50006096638835,1.7758801676415295,3.5999997484834623,1.799990754110467,1.799998500780618,1.7999987446382621,1.7999984044362292,0.9180367080138638,0.03428142692372168,0.15351063932639736,0.24814778291859818,0.2437820690148804,0.26055488154284207,0.282776449787008,0.2574126924755797,0.1725526706260814
2032,NB,3,1061.0008341353368,3619.682507115079,3979.4187150673806,3381.604047643777,3916.550605586118,4060.4284697389576,3807.4881493765706,2788.336778092918,28.899165864663203,565.4174928849214,571.4912849326195,525.5959523562228,561.5493944138827,647.5715302610427,605.5568506234295,488.66322190708166,10.653838598965617,379.4694456881742,573.0577454417424,382.7946505286238,572.7962042571658,575.8908058059194,570.5349701199946,189.16978781936555,0.5001012146633488,1.1558588445340021,1.7314491486353831,1.1629638622910745,1.6152379497538687,1.493121373938868,1.6002387023405007,0.6514162923157651,0.03425749630912915,0.16970011275560004,0.15739040161249127,0.16848128495063946,0.1572426386798777,0.17216827750778324,0.17178599762309013,0.18770022937282824
2032,NB,4,1350.1901324502323,6035.379004353479,8133.933415835951,5882.358862520357,5590.201670719799,5821.206291854496,6020.03269823806,3228.0666772017494,0.10986754976767439,927.5209956465208,928.9315841640496,1164.9411374796425,1035.6983292802013,1139.293708145504,1063.89730176194,518.6333227982502,0.4270488295887074,3035.890499488655,5973.8110486419455,4053.4586447136667,3788.3699973732655,7809.285850285487,7070.779826599842,866.634305187509,1.7969951048934538,1.7999977078350786,3.5999986196335,1.799999992657497,1.7999944268292047,3.5999988719244014,3.5999984508006584,0.8725469544182106,0.00011452252439959837,0.1671934972342933,0.1284658746630774,0.20694592491338393,0.19600618162330177,0.20493141856265676,0.18804340834151378,0.17455930846402065
2032,NB,5,1261.0804114507082,6725.363019751097,7955.901243044654,6344.664829585205,6177.5622931203225,5990.507800823486,6232.31928063006,3416.452279232988,145.11958854929193,689.7369802489033,1036.1937569553468,995.2351704147951,735.0377068796786,1380.1921991765141,1290.9307193699399,517.6477207670117,212.34029271327796,1928.6007984277705,4198.979423365243,4388.142699277004,3380.1694621988936,11896.493252461032,10818.035058613552,1117.5822729093481,0.5000003472680392,1.243006236941787,1.7999931195400947,1.799999759377352,1.7999988895042212,3.5999994562495723,3.5999993126659775,0.9046749692241214,0.13380689042700006,0.11671534531713884,0.14439835155591835,0.17000531352689327,0.1334773246322654,0.23449969262730952,0.21489705428952044,0.16598856988337327
2032,NB,6,1288.1780856485082,6226.352159363056,7697.568897187374,6283.812678345536,5980.49329479878,5864.605668727803,6135.733818876518,3380.6172802473516,148.3219143514919,1266.2478406369441,1060.4811028126262,806.6873216544628,747.6067052012193,1166.694331272196,1221.301181123483,512.3827197526483,384.512279571778,9214.034825684248,15430.416592622949,12750.762364869212,12336.2139160253,18154.395913041313,18569.80453367925,1935.2405525071626,0.5000002035532047,1.7999999846438726,3.599999962583375,3.599999920973308,3.5999974046369903,3.5999999963330245,3.5999999137198095,0.8811944639644822,0.1329463365002286,0.21201355088694399,0.15171683988886872,0.14273004677014012,0.13953934830716874,0.20785288069966185,0.20794264271184462,0.16568698034743903
2032,NB,7,1265.3149337451798,6080.09283314863,5976.496685828076,5199.011528749154,5337.79947373264,5963.9306024574935,6136.885369864923,3329.850641692862,125.48506625482035,914.6071668513689,1092.3133141719254,815.4884712508458,827.2005262673601,738.4693975425058,1211.539630135077,506.44935830713774,289.12574483994297,5447.397606384759,6628.970420651019,5370.204078185312,5586.458131512485,9349.711014675186,14817.885885563064,1522.8725175299858,0.5465928364563278,1.799999989881199,1.7999999762067584,1.7999999516486336,1.7999999542388496,3.5999982317758543,3.599999978020617,0.8673803147288045,0.11718309177735171,0.16406189546059993,0.19354493053133626,0.1701599058150273,0.1684793685310942,0.1380379486357601,0.20651189219913124,0.16643038406298394
2032,NB,8,1279.1067051072162,5935.817469157648,5809.887935491156,4628.489346954444,4823.805423973648,4977.989490104549,5907.16918088414,3121.0937487522356,86.19329489278394,927.5825308423518,1043.4620645088453,686.0106530455561,703.9945760263516,945.8105098954511,1011.3858191158605,478.2062512477642,321.24883738776765,7157.236460375415,8355.531077099258,5907.850142121745,6273.374030020288,7961.0603285455745,16385.771391711893,1717.4507413365836,0.6736189228283181,1.7999955330540176,1.7999999960204125,1.7999999868723056,1.7999985200877489,1.7999968957826769,3.5999998576234042,0.7863493576599538,0.08113044722415204,0.16955633596304046,0.19072411757971675,0.1619361063870078,0.1598964504561348,0.20003774929402282,0.18333120723270913,0.16718396701392735
2032,NB,9,1181.2151872237403,5333.870508157623,5751.548256777242,4643.63543732679,4272.252488480486,4519.2171649863685,4910.83809172058,2853.4076293957887,0.18481277625969336,752.8294918423775,970.341743222758,607.4645626732085,531.0475115195138,699.882835013632,1078.361908279421,439.792370604211,1.495043069903152,5223.011529303657,6884.4491604906325,4660.4060658743,4129.067293068123,5352.586282634684,7986.179221483135,1296.5779766599258,1.7997195032408144,1.7999977679937709,1.7999992985184128,1.7999988588346307,1.7343993659478556,1.7999995171012602,1.7999999963675213,0.7077637759055782,0.00021782435079652562,0.15533012302594215,0.1810379678641738,0.14526675824183932,0.13885184952862403,0.16806086042332088,0.22577504555664335,0.1676948110597079
2032,SB,1,1719.0809008023587,3139.716871404143,4236.939886161895,4165.985512621556,4645.04176545819,4654.85560424395,4344.217835493477,4844.710666966352,302.3190991976412,493.0831285958569,797.8101138381061,688.2144873784437,1263.7582345418105,1030.4443957560488,807.0821645065238,715.7893330336472,170.4348639929995,524.8475969199542,1259.393596221121,1114.6441167085336,2057.5107368424633,1572.7579365318506,1212.5402741982039,786.1025446668015,0.5858882131066135,1.1464196958982766,1.79995795835732,1.7999996538656209,1.79999862112625,1.799964937151635,1.7999676441753076,1.3332756977398563,0.19043603543729629,0.17153382028456693,0.19890571235958493,0.17790881220120822,0.2681393147563042,0.22686062189906828,0.19599834428949486,0.16174065347908026
