,Year,SegDir,Segment,Direction,Period,Hours/Day,Peak,4Periods,Length,Speed GP,Capacity GP,Alpha GP,Beta GP,Speed ML,Capacity ML,Alpha ML,Beta ML,MinToll,MinCapture,AADT Lights,AADT Medium A,AADT Medium B,AADT Heavy A,AADT Heavy B,GrowthFactor,MaxToll,Soft Cap,MaxCapture,MaxCap_aux,B1,B2,TotalLights,TotalMediumA,TotalMediumB,TotalHeavyA,TotalHeavyB,TotalVeh,Corridor PCE pre-fix,Suppressed ratio ref,Suppressed ratio,Corridor PCE,Suppressed Demand,PCE ratio,HOV3,InScopeLights,InScopeMediumA,InScopeMediumB,InScopeHeavyA,InScopeHeavyB,InScopeVeh,TollLights,TollMediumA,TollMediumB,TollHeavyA,TollHeavyB,CaptureRateLights,CaptureRateMediumA,CaptureRateMediumB,CaptureRateHeavyA,VOT Lights,VOT MediumA,VOT MediumB,VOT HeavyA,Speed GP Real,Speed ML Real,Bonus Seg,Time ML,Time GP,Time Savings,BonusRel,Reliability %,Bonus %,Time Savings %,MLVeh_Lights,GPVeh_Lights,MLVeh_MediumA,GPVeh_MediumA,MLVeh_MediumB,GPVeh_MediumB,MLVeh_HeavyA,GPVeh_HeavyA,MLVeh,GPVeh,GPVehDay,ML PCE,ML V/C,ML Volume,ML PCE Total,GP PCE,GP Volume,GP PCE Total,Highway PCE,Highway Volume,Highway PCE Total,Highway V/C,TollLightsPerSeg,TollMediumAPerSeg,TollMediumBPerSeg,TollHeavyAPerSeg,TollBlend,RevenuePerHour,RevenuePerHourLights,RevenuePerHourMediumA,RevenuePerHourMediumB,RevenuePerHourHeavyA,RevenuePerDay,RevenuePerDayLights,RevenuePerDayMediumA,RevenuePerDayMediumB,RevenuePerDayHeavyA,TransactionsDay_Lights,TransactionsDay_MediumA,TransactionsDay_MediumB,TransactionsDay_HeavyA,TransactionsDay,GPDay_Lights,GPDay_MediumA,GPDay_MediumB,GPDay_HeavyA,GPDay_HeavyB,TransactionsLightsLength,TransactionsMediumALength,TransactionsMediumBLength,TransactionsHeavyALength,TotalVeh_hours,GPDayLength_Lights,GPDayLength_MediumA,GPDayLength_MediumB,GPDayLength_HeavyA,GPDayLength_HeavyB,Difference in Travel Time,Implied Min VOT
0,2025,1NB,1,NB,Night,6,OP,NT,0.7,55,8000.0,1,6,70,3600,1,5,0.2,0.053191489361702135,982.0,34.0,5.0,254.0,33.0,1.0,3.2,1.6,0.1595744680851064,0.1595744680851064,3.286,0.708,954.0360452739872,33.03179790154334,4.857617338462256,246.76696079388262,32.06027443385089,1270.7526957417263,1904.1859966772045,1.0,0.23802324958465057,1904.1859966772045,0.0,1.0,0.0,896.7938825575479,31.04989002745074,4.566160298154521,231.96094314624963,30.136657967819836,1194.5075339972227,0.247393674646485,0.7421810239394551,0.7421810239394551,0.7421810239394551,0.7421810239394551,0.15957446162355954,0.15957446168860817,0.15957446138763157,0.05319149016665215,53.93276833027535,161.79830499082604,161.79830499082604,161.79830499082604,54.99480953478009,69.99996550175409,0.0,0.6000002956993964,0.7637084364014054,-0.163708140702009,5.0450935529196964e-05,0.00030808115180218826,0.0,0.9996919188481979,143.1054009964224,810.9306442775647,4.954769486620935,28.077028414922406,0.7286425701875948,4.128974768274661,12.338348226411096,234.42861256747153,161.127161279642,1109.6255344620843,6657.753206772506,197.17068184608127,0.05476963384613368,1183.0240910764876,828.1168637535412,1707.0153148311233,10242.091888986739,7169.464322290717,1904.1859966772045,11425.115980063227,7997.581186044258,0.23802324958465057,0.1731755722525395,0.5195267167576185,0.5195267167576185,0.5195267167576185,0.30273467941136073,34.14514566011852,24.782359709984583,2.5741351236750054,0.37854928217939376,6.410101544279542,204.87087396071115,148.6941582599075,15.444810742050032,2.271295693076363,38.460609265677256,858.6324059785343,29.72861691972561,4.371855421125569,74.03008935846657,966.762967677852,4865.583865665389,168.46217048953443,24.773848609647967,1406.5716754048292,192.36164660310536,601.042684184974,20.810031843807927,3.060298794787898,51.8210625509266,7624.5161744503575,3405.908705965772,117.9235193426741,17.341694026753576,984.6001727833803,134.65315262217374,-0.21435947659999915,63.46986955319356
1,2025,1NB,1,NB,AM-Early,1,OP,AM,0.7,55,8000.0,1,6,70,3600,1,5,0.2,0.0,4676.0,70.0,46.0,292.0,20.0,1.0,3.2,1.6,0.3301540719002201,0.3301540719002201,3.13,0.715,4252.395953370339,63.6586220564422,41.832808779947726,265.54739486401604,18.188177730412058,4641.622956801158,5420.076963662794,1.0,0.6775096204578492,5420.076963662794,0.0,1.0,0.0,3997.2521961681186,59.83910473305566,39.32284025315086,249.61455117217506,17.096887066587332,4363.125579393088,0.8738176191757693,2.621452857527308,2.621452857527308,2.621452857527308,2.621452857527308,0.15568642469532748,0.15563614484547972,0.15563533386582679,0.04210831309166834,47.18068475249582,141.54205425748745,141.54205425748745,141.54205425748745,52.77416397880146,69.9805275830353,0.44296537608697095,0.6001669528736399,0.795843966696862,-0.1956770138232221,0.022545322142348796,0.034098217089305514,0.6699540357637052,0.29594774714698946,622.3179030269602,3630.078050343379,9.313127571657683,54.34549448478452,6.1200233713517065,35.71278540859602,10.510847672994215,255.03654719102184,648.2619016429638,3993.3610551581933,3993.3610551581933,700.149898874971,0.19448608302082526,700.149898874971,490.10492921247965,4719.927064787822,4719.927064787822,3303.9489453514752,5420.076963662793,5420.076963662793,3794.053874563955,0.6775096204578491,0.6116723334230385,1.8350170002691155,1.8350170002691155,1.8350170002691155,0.9437594838606435,428.26232239075796,380.6546438754329,17.089747419666875,11.230346928474688,19.287584167183457,428.26232239075796,380.6546438754329,17.089747419666875,11.230346928474688,19.287584167183457,622.3179030269602,9.313127571657683,6.1200233713517065,10.510847672994215,648.2619016429638,3630.078050343379,54.34549448478452,35.71278540859602,255.03654719102184,18.188177730412058,435.6225321188721,6.519189300160377,4.284016359946194,7.35759337109595,4641.622956801158,2541.054635240365,38.04184613934916,24.998949786017214,178.52558303371526,12.73172441128844,-0.24587359081878388,187.55570359704083
2,2025,1NB,1,NB,AM-Peak,1,Peak,AM,0.7,55,7097.068636444853,1,6,70,3600,1,5,0.2,0.0,5865.0,168.0,88.0,286.0,13.0,1.0,3.2,1.6,0.3301540719002201,0.3301540719002201,3.13,0.715,6231.075697211157,178.48605577689244,93.49269588313415,303.85126162018594,13.811420982735726,6820.7171314741045,8283.0,1.0,1.035375,8000.0,283.0,0.9658336351563444,0.0,5857.211155378487,167.77689243027888,87.88313413014609,285.62018592297477,12.982735723771581,6411.474103585658,1.599999744187916,4.7999992325637475,4.7999992325637475,4.7999992325637475,4.7999992325637475,0.2449607299539289,0.24489043552057482,0.24488728347796296,0.08003607221297078,37.48103527690252,112.44310583070755,112.44310583070755,112.44310583070755,36.82841048344067,68.43424007154995,0.7335231342451692,0.6137278642400033,1.140423913187474,-0.5266960489474708,0.2637512846857773,0.17306850115865854,0.4813237196560228,0.34560777918531865,1434.7867201158094,4796.288977095347,41.086956257539626,137.39909951935283,21.521461980660927,71.97123390247322,22.859917826013348,280.99134379417256,1520.2550561800233,5300.462075294081,5300.462075294081,1691.1917283084508,0.46977548008568076,1691.1917283084508,1183.8342098159155,6308.8082716915505,6308.8082716915505,4416.165790184085,8000.000000000002,8000.000000000002,5600.000000000001,1.127225959027424,1.1199998209315412,3.3599994627946232,3.3599994627946232,3.3599994627946232,1.779902866736999,1894.1344328663688,1606.9608696046598,138.05215095319932,72.31210069357563,76.80931161493407,1894.1344328663688,1606.9608696046598,138.05215095319932,72.31210069357563,76.80931161493407,1434.7867201158094,41.086956257539626,21.521461980660927,22.859917826013348,1520.2550561800233,4796.288977095347,137.39909951935283,71.97123390247322,280.99134379417256,13.811420982735726,1004.3507040810665,28.760869380277736,15.065023386462649,16.001942478209344,6820.7171314741045,3357.4022839667427,96.17936966354698,50.37986373173125,196.69394065592078,9.667994687915007,-0.46184234025342413,127.58779829501732
3,2025,1NB,1,NB,AM-Shoulder,3,OP,AM,0.7,55,6033.1852346375235,1,6,70,3600,1,5,0.2,0.0,4050.0,156.0,39.0,315.0,7.0,1.0,3.2,1.6,0.3301540719002201,0.3301540719002201,3.13,0.715,4455.0,171.60000000000002,42.900000000000006,346.5,7.700000000000001,5023.7,6161.1,1.0,0.7701375,6161.1,0.0,1.0,0.0,4187.7,161.304,40.326,325.71,7.238,4722.277999999999,1.599994858088306,4.7999845742649185,4.7999845742649185,4.7999845742649185,4.7999845742649185,0.19262085501452025,0.19254898307230836,0.19254193461904903,0.05676421112404307,42.56497397136204,127.69492191408615,127.69492191408615,127.69492191408615,39.23633548910767,69.89626844391945,0.6576382133319234,0.6008904471588246,1.0704363564140578,-0.4695459092552332,0.2147599949443859,0.16003646659998713,0.4900637848777377,0.3498997485222752,806.6383545443065,3648.3616454556936,31.05892116549563,140.5410788345044,7.764446055447771,35.135553944552235,18.488671205212068,328.0113287947879,863.950392970462,4159.749607029537,12479.248821088611,978.5744698227729,0.2718262416174369,2935.723409468319,2055.0063866278233,5182.525530177228,15547.576590531684,10883.303613372178,6161.1,18483.300000000003,12938.310000000001,1.0212018627619945,1.1199964006618142,3.3599892019854427,3.3599892019854427,3.3599892019854427,1.8122731729881367,1095.9998839810487,903.4320537253916,104.35763974138244,26.088454905702974,62.121735608571726,3287.999651943146,2710.296161176175,313.0729192241473,78.26536471710892,186.36520682571518,2419.9150636329196,93.17676349648688,23.293338166343315,55.4660136156362,2591.851178911386,10945.08493636708,421.62323650351317,105.4066618336567,984.0339863843637,23.1,1693.9405445430436,65.22373444754082,16.30533671644032,38.826209530945334,15071.099999999999,7661.559455456956,295.1362655524592,73.78466328355968,688.8237904690545,16.17,-0.43864906721610564,143.1165360300919
4,2025,1NB,1,NB,MD,4,OP,MD,0.7,55,6117.386504938577,1,6,70,3600,1,5,0.2,0.0,3666.0,145.0,41.0,420.0,12.0,1.0,3.2,1.6,0.3301540719002201,0.3301540719002201,3.133,0.708,4032.6000000000004,159.5,45.1,462.00000000000006,13.200000000000001,4712.400000000001,6072.000000000001,1.0,0.7590000000000001,6072.000000000001,0.0,1.0,0.0,3790.6440000000002,149.92999999999998,42.394,434.28000000000003,12.408,4429.656,1.5999910569955467,4.79997317098664,4.79997317098664,4.79997317098664,4.79997317098664,0.18603460134355065,0.1859671602547037,0.18596064584301486,0.05329583721654029,43.170872170486184,129.51261651145853,129.51261651145853,129.51261651145853,40.05982026908371,69.93828963886044,0.6758473041696101,0.6005294126704404,1.048432062797187,-0.4479026501267467,0.19935698941257649,0.15067337554267457,0.5108032327871207,0.3385233916702047,705.1909453753223,3327.409054624678,27.88205633698772,131.61794366301228,7.883615619868771,37.21638438013123,23.145316186399118,438.85468381360096,764.1019335185779,3948.298066481422,15793.192265925689,881.9239098050891,0.24497886383474698,3527.6956392203565,2469.3869474542494,5190.076090194912,20760.304360779646,14532.21305254575,6072.000000000001,24288.000000000004,17001.6,0.9925807360869,1.1199937398968827,3.3599812196906473,3.3599812196906473,3.3599812196906473,1.846704355452834,987.7492580470827,789.8094442523254,93.68318565863534,26.488800426018912,77.76782771010299,3950.9970321883306,3159.2377770093017,374.73274263454135,105.95520170407565,311.07131084041197,2820.763781501289,111.52822534795088,31.534462479475085,92.58126474559647,3056.4077340743115,13309.636218498712,526.4717746520491,148.86553752052492,1755.4187352544038,52.800000000000004,1974.534647050902,78.06975774356562,22.074123735632558,64.80688532191752,18849.600000000002,9316.745352949098,368.53024225643435,104.20587626436745,1228.7931146780827,36.96,-0.4272118967172323,150.0317633190983
5,2025,1NB,1,NB,PM-Shoulder,2,OP,PM,0.7,55,5600.0,1,6,70,3600,1,5,0.2,0.0,3832.0,120.0,32.0,326.0,8.0,1.0,3.2,1.6,0.3301540719002201,0.3301540719002201,3.283,0.592,4215.200000000001,132.0,35.2,358.6,8.8,4749.800000000001,5819.000000000001,1.0,0.7273750000000001,5819.000000000001,0.0,1.0,0.0,3962.2880000000005,124.08,33.088,337.084,8.272,4464.812000000001,1.5999989869432567,4.79999696082977,4.79999696082977,4.79999696082977,4.79999696082977,0.2145201482760179,0.21446112328100053,0.21445663065055168,0.049124308352681736,42.576671163122285,127.73001348936684,127.73001348936684,127.73001348936684,39.12685400342253,69.88396947846283,0.652286902117243,0.6009961986052289,1.0734315617689618,-0.4724353631637329,0.21685663869281868,0.16164285086064129,0.4862083774462693,0.3521487716930894,849.9906092722865,3365.209390727714,26.610336176706546,105.38966382329346,7.095940994965454,28.10405900503455,16.55901835675537,342.04098164324466,900.2559048007139,3849.5440951992873,7699.088190398575,1000.7864958575686,0.2779962488493246,2001.5729917151373,1401.101094200596,4818.213504142432,9636.427008284863,6745.498905799404,5819.0,11638.0,8146.6,1.0391071428571428,1.1199992908602796,3.3599978725808386,3.3599978725808386,3.3599978725808386,1.7786691217238566,1120.880165663021,951.9888796228579,89.41067294239492,23.842346647043083,55.6382664507251,2241.760331326042,1903.9777592457158,178.82134588478985,47.684693294086166,111.2765329014502,1699.981218544573,53.22067235341309,14.191881989930907,33.11803671351074,1800.5118096014278,6730.418781455428,210.77932764658692,56.2081180100691,684.0819632864893,17.6,1189.986852981201,37.25447064738916,9.934317392951634,23.182625699457517,9499.600000000002,4711.2931470188,147.54552935261083,39.34568260704837,478.8573743005425,12.32,-0.4401168923943162,142.24159047197986
6,2025,1NB,1,NB,PM-Peak,2,Peak,PM,0.7,55,5600.0,1,6,70,3600,1,5,0.2,0.0,3686.0,74.0,22.0,295.0,8.0,1.0,3.2,1.6,0.3301540719002201,0.3301540719002201,3.283,0.592,4054.6000000000004,81.4,24.200000000000003,324.5,8.8,4493.5,5371.3,1.0,0.6714125,5371.3,0.0,1.0,0.0,3811.324,76.516,22.748,305.03,8.272,4223.889999999999,1.5999947764521452,4.799984329356436,4.799984329356436,4.799984329356436,4.799984329356436,0.22489248536342557,0.22483225062487358,0.22482953210876586,0.052787347321578755,41.70180917448972,125.10542752346917,125.10542752346917,125.10542752346917,44.536936323519114,69.89949719761907,0.9019647120196792,0.6008626912044599,0.9430374755665578,-0.3421747843620979,0.12558077835113596,0.09168352156838988,0.6585028554064126,0.2498136230251975,857.1381268852726,3197.4618731147275,17.203264488812827,64.19673551118717,5.114422196410206,19.085577803589796,16.101724553501167,308.3982754464988,895.5575381239969,3597.9424618760036,7195.884923752007,972.3963606014454,0.27011010016706816,1944.7927212028908,1361.3549048420234,4398.903639398554,8797.807278797109,6158.465095157976,5371.299999999999,10742.599999999999,7519.82,0.9591607142857141,1.1199963435165015,3.359989030549505,3.359989030549505,3.359989030549505,1.7372743027349433,1089.0803683223721,959.9915680000885,57.80277997205293,17.184402477537198,54.101617872693545,2178.1607366447442,1919.983136000177,115.60555994410586,34.368804955074395,108.20323574538709,1714.2762537705453,34.406528977625655,10.228844392820411,32.203449107002335,1791.1150762479938,6394.923746229455,128.39347102237434,38.17115560717959,616.7965508929976,17.6,1199.9933776393816,24.084570284337957,7.160191074974287,22.542414374901632,8987.0,4476.446622360618,89.87542971566204,26.719808925025713,431.75758562509833,12.32,-0.36284325196782474,196.39021833905096
7,2025,1NB,1,NB,PM-Late,5,OP,PM,0.7,55,10400.0,1,6,70,3600,1,5,0.2,0.0,3364.0,65.0,10.0,289.0,23.0,1.0,3.2,1.6,0.3301540719002201,0.3301540719002201,3.283,0.592,3027.6,58.5,9.0,260.1,20.7,3375.8999999999996,4072.5,1.0,0.5090625,4072.5,0.0,1.0,0.0,2845.944,54.989999999999995,8.459999999999999,244.494,19.458,3173.3459999999995,0.48784503646920196,1.463535109407606,1.463535109407606,1.463535109407606,1.463535109407606,0.1726572432338666,0.1726408837068822,0.17264002973210096,0.035420043446051104,46.60558791670308,139.81676375010926,139.81676375010926,139.81676375010926,54.91711905682016,69.99416270864042,0.2081450082568833,0.6000500380986101,0.764788844013186,-0.1647388059145759,0.0008067362637756877,0.0021588350650988825,0.5569983185672162,0.440842846367685,491.3728454379633,2536.2271545620365,9.49352219504145,49.00647780495855,1.460534651533574,7.539465348466426,8.659988102298819,251.4400118977012,510.98689038683716,2864.9131096131623,14324.565548065812,550.2149802845848,0.1528374945234958,2751.074901422924,1925.7524309960468,3522.2850197154144,17611.42509857707,12327.997569003948,4072.499999999999,20362.499999999993,14253.749999999995,0.39158653846153835,0.34149152552844136,1.024474576585324,1.024474576585324,1.024474576585324,0.5252965431649924,187.89375298598415,167.7996625918611,9.725872131068465,1.496280618718052,8.871937644336526,939.4687649299208,838.9983129593055,48.629360655342325,7.481403093590259,44.35968822168263,2456.8642271898166,47.46761097520725,7.30267325766787,43.29994051149409,2554.9344519341857,12681.135772810183,245.03238902479274,37.69732674233213,1257.200059488506,103.5,1719.8049590328715,33.227327682645075,5.111871280367509,30.30995835804586,16879.5,8876.795040967127,171.5226723173549,26.38812871963249,880.0400416419542,72.44999999999999,-0.21540430042117034,124.3756224767779
8,2025,1SB,1,SB,Night,6,OP,NT,0.7,55,8692.84829784725,1,6,70,3600,1,5,0.2,0.053191489361702135,1306.0,32.0,13.0,256.0,30.0,1.0,3.2,1.6,0.1595744680851064,0.1595744680851064,3.286,0.708,1175.4,28.8,11.700000000000001,230.4,27.0,1473.3000000000002,2069.1000000000004,1.0,0.2586375,2069.1000000000004,0.0,1.0,0.0,1104.876,27.072,10.998000000000001,216.576,25.38,1384.902,0.24738463201679575,0.7421538960503873,0.7421538960503873,0.7421538960503873,0.7421538960503873,0.15957446704963765,0.15957446594021726,0.15957446608459716,0.053191489449690224,53.93280560711544,161.79841682134634,161.79841682134634,161.79841682134634,54.99505387544497,69.999926942783,0.0,0.6000006262053706,0.7637050432775884,-0.16370441707221772,4.8075748857324265e-05,0.00029358789004729514,0.0,0.9997064121099527,176.30999885593545,999.0900011440647,4.3199999419335615,24.480000058066437,1.7549999779983998,9.9450000220016,11.52000001905611,218.8799999809439,193.90499879492353,1279.3950012050766,7676.37000723046,229.09499867289964,0.063637499631361,1374.5699920373977,962.1989944261783,1840.0050013271002,11040.030007962601,7728.021005573821,2069.1,12414.599999999999,8690.22,0.2380232495846505,0.17316924241175702,0.519507727235271,0.519507727235271,0.519507727235271,0.2922801490204147,39.672207360508516,30.53146893150009,2.2442733514904076,0.9117360498678994,5.984729027650118,238.0332441630511,183.18881358900055,13.465640108942445,5.470416299207396,35.90837416590071,1057.8599931356127,25.91999965160137,10.529999867990398,69.12000011433665,1163.429992769541,5994.5400068643885,146.88000034839862,59.670000132009605,1313.2799998856633,162.0,740.5019951949289,18.14399975612096,7.370999907593278,48.38400008003565,8839.800000000001,4196.178004805071,102.81600024387903,41.76900009240672,919.2959999199643,113.39999999999999,-0.21435555325083158,63.46899326559915
9,2025,1SB,1,SB,AM-Early,1,OP,AM,0.7,55,10400.0,1,6,70,3600,1,5,0.2,0.0,2435.0,99.0,42.0,334.0,32.0,1.0,3.2,1.6,0.3301540719002201,0.3301540719002201,3.13,0.715,2191.5,89.10000000000001,37.800000000000004,300.6,28.8,2647.8,3560.4000000000005,1.0,0.44505000000000006,3560.4000000000005,0.0,1.0,0.0,2060.0099999999998,83.754,35.532000000000004,282.564,27.072,2488.9320000000002,0.4661134354295951,1.3983403062887854,1.3983403062887854,1.3983403062887854,1.3983403062887854,0.16600131468794432,0.16598758216302908,0.16598648103805594,0.04604932715810298,45.771177577229345,137.313532731688,137.313532731688,137.313532731688,54.959934198824016,69.99808217222646,0.19898671637452897,0.6000164389741607,0.7641930546725196,-0.16417661569835895,0.000389683725309195,0.0010718759255885328,0.5473389236990501,0.4515892003753614,341.96436827031215,1849.5356317296878,13.902123956482338,75.19787604351767,5.897831644244204,31.9021683557558,13.011882079102213,287.5881179208978,374.77620595014093,2273.023794049859,2273.023794049859,440.39988130979845,0.1223333003638329,440.39988130979845,308.2799169168589,3120.0001186902014,3120.0001186902014,2184.000083083141,3560.3999999999996,3560.3999999999996,2492.2799999999997,0.3423461538461538,0.32627940480071654,0.9788382144021497,0.9788382144021497,0.9788382144021497,0.5477303478209752,143.69341114806724,111.5759305422905,13.60793018996052,5.773022995496491,12.73652742031974,143.69341114806724,111.5759305422905,13.60793018996052,5.773022995496491,12.73652742031974,341.96436827031215,13.902123956482338,5.897831644244204,13.011882079102213,374.77620595014093,1849.5356317296878,75.19787604351767,31.9021683557558,287.5881179208978,28.8,239.3750577892185,9.731486769537636,4.128482150970942,9.108317455371548,2647.8,1294.6749422107814,52.638513230462365,22.33151784902906,201.31168254462844,20.16,-0.21483657132779585,119.2420991550423
