,Year,SegDir,Segment,Direction,Period,Hours/Day,Peak,4Periods,Length,Speed GP,Capacity GP,Alpha GP,Beta GP,Speed ML,Capacity ML,Alpha ML,Beta ML,MinToll,MinCapture,AADT Lights,AADT Medium A,AADT Medium B,AADT Heavy A,AADT Heavy B,GrowthFactor,MaxToll,Soft Cap,Capture factor,MaxCapture,MaxCap_aux,B1,B2,TotalLights,TotalMediumA,TotalMediumB,TotalHeavyA,TotalHeavyB,TotalVeh,Corridor PCE pre-fix,Suppressed ratio ref,Suppressed ratio,Max VC,Corridor PCE,Suppressed Demand,PCE ratio,BonusPeak,BonusOffPeak,HOV3,InScopeLights,InScopeMediumA,InScopeMediumB,InScopeHeavyA,InScopeHeavyB,InScopeVeh,TollLights,TollMediumA,TollMediumB,TollHeavyA,TollHeavyB,CaptureRateLights,CaptureRateMediumA,CaptureRateMediumB,CaptureRateHeavyA,baseToll,devTollShare,tdotTollShare,devTollMediumA,devTollMediumB,devTollHeavyA,tdotTollMediumA,tdotTollMediumB,tdotTollHeavyA,baseTollMediumA,baseTollMediumB,baseTollHeavyA,VOT Lights,VOT MediumA,VOT MediumB,VOT HeavyA,Speed GP Real,Speed ML Real,Bonus Seg,Time ML,Time GP,Time Savings,BonusRel,Reliability %,Bonus %,Time Savings %,MLVeh_Lights,GPVeh_Lights,MLVeh_MediumA,GPVeh_MediumA,MLVeh_MediumB,GPVeh_MediumB,MLVeh_HeavyA,GPVeh_HeavyA,MLVeh,GPVeh,GPVehDay,ML PCE,ML V/C,ML Volume,ML PCE Total,GP PCE,GP Volume,GP PCE Total,Highway PCE,Highway Volume,Highway PCE Total,Highway V/C,TollLightsPerSeg,TollMediumAPerSeg,TollMediumBPerSeg,TollHeavyAPerSeg,TollBlend,RevenuePerHour,DevRevenuePerDay,TDOTRevenuePerDay,BaseRevenuePerDay,RevenuePerHourLights,RevenuePerHourMediumA,RevenuePerHourMediumB,RevenuePerHourHeavyA,RevenuePerDay,RevenuePerDayLights,RevenuePerDayMediumA,RevenuePerDayMediumB,RevenuePerDayHeavyA,TransactionsDay_Lights,TransactionsDay_MediumA,TransactionsDay_MediumB,TransactionsDay_HeavyA,TransactionsDay,GPDay_Lights,GPDay_MediumA,GPDay_MediumB,GPDay_HeavyA,GPDay_HeavyB,TransactionsLightsLength,TransactionsMediumALength,TransactionsMediumBLength,TransactionsHeavyALength,TotalVeh_hours,GPDayLength_Lights,GPDayLength_MediumA,GPDayLength_MediumB,GPDayLength_HeavyA,GPDayLength_HeavyB,Difference in Travel Time,Implied Min VOT
0,2025,1NB,1,NB,Night,6,OP,NT,0.7,55,8234.489712329321,1,6,72,3600,2,8,0.2,0.053191489361702135,982.0,34.0,5.0,254.0,33.0,1.0,3.2,1.6,0.95,0.1595744680851064,0.1595744680851064,3.286,0.708,982.0,34.0,5.0,254.0,33.0,1308.0,1960.0,1.1,0.245,1.1,1960.0,0.0,1.0,2.5,1.6,0.0,923.0799999999999,31.959999999999997,4.699999999999999,238.76,31.02,1229.52,0.27256935736995086,0.8177080721098526,0.8177080721098526,0.8177080721098526,0.8177080721098526,0.15957446787263802,0.15957446780248194,0.1595744678197393,0.05319148939697549,0.27256935736995086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8177080721098526,0.8177080721098526,0.8177080721098526,53.93208361419414,161.79625084258242,161.79625084258242,161.79625084258242,54.994809534884546,71.99999998530888,0.0,0.5833333334523586,0.7637084363999548,-0.18037510294759618,5.045093451376964e-05,0.000279621890736909,0.0,0.9997203781092631,147.2999998038747,834.7000001961253,5.099999990967322,28.900000009032677,0.7499999987527746,4.250000001247225,12.700000008421867,241.29999999157815,165.84999980201667,1142.1500001979834,6852.900001187901,202.94999979830055,0.056374999943972375,1217.6999987898034,852.3899991528624,1757.0500002016993,10542.300001210195,7379.610000847136,1959.9999999999998,11759.999999999998,8231.999999999998,0.2380232495846506,0.1907985501589656,0.5723956504768968,0.5723956504768968,0.5723956504768968,0.3335420626426905,38.72256571627811,0.0,0.0,232.33539429766867,28.10462640099521,2.919217812261908,0.42929673714376615,7.269424765877229,232.33539429766867,168.62775840597124,17.515306873571447,2.575780422862597,43.616548595263374,883.7999988232482,30.59999994580393,4.499999992516647,76.2000000505312,995.0999988121,5008.200001176752,173.40000005419606,25.50000000748335,1447.7999999494689,198.0,618.6599991762737,21.41999996206275,3.149999994761653,53.34000003537184,7848.0,3505.7400008237264,121.38000003793724,17.850000005238343,1013.4599999646282,138.6,-0.2361832007485296,63.46725696873955
1,2025,1NB,1,NB,AM-Early,1,OP,AM,0.7,55,8796.923054719633,1,6,72,3600,2,8,0.2,0.0,4676.0,70.0,46.0,292.0,20.0,1.0,3.2,1.6,0.95,0.3475306020002317,0.3475306020002317,3.13,0.715,4676.0,70.0,46.0,292.0,20.0,5104.0,5960.0,1.1,0.745,1.1,5960.0,0.0,1.0,2.5,1.6,0.0,4395.44,65.8,43.239999999999995,274.47999999999996,18.799999999999997,4797.759999999999,0.900148810718532,2.700446432155596,2.700446432155596,2.700446432155596,2.700446432155596,0.15020029714017055,0.15027629523836902,0.15027753334847657,0.040072295251160184,0.900148810718532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.700446432155596,2.700446432155596,2.700446432155596,47.95159917855106,143.85479753565318,143.85479753565318,143.85479753565318,52.70533928292832,71.99952921889495,0.4333425791065668,0.5833371475570409,0.7968832109122601,-0.2135460633552192,0.02327279309312757,0.034727144622783326,0.6466241656351746,0.3186486897420421,660.1963940617912,4015.803605938209,9.888180226684682,60.11181977331532,6.498000541988127,39.50199945801187,10.999043600538446,281.00095639946153,687.5816184310025,4416.418381568998,4416.418381568998,742.352067169425,0.2062089075470625,742.352067169425,519.6464470185975,5217.647932830575,5217.647932830575,3652.353552981402,5960.0,5960.0,4172.0,0.677509620457849,0.6301041675029724,1.8903125025089171,1.8903125025089171,1.8903125025089171,0.9718516500220505,467.7591312779012,0.0,0.0,467.7591312779012,415.9924992687693,18.69175070956351,12.283251665829875,20.79162963373852,467.7591312779012,415.9924992687693,18.69175070956351,12.283251665829875,20.79162963373852,660.1963940617912,9.888180226684682,6.498000541988127,10.999043600538446,687.5816184310025,4015.803605938209,60.11181977331532,39.50199945801187,281.00095639946153,20.0,462.1374758432538,6.921726158679277,4.548600379391688,7.699330520376912,5104.0,2811.062524156746,42.07827384132072,27.65139962060831,196.70066947962306,14.0,-0.267976612420727,177.04025752650023
2,2025,1NB,1,NB,AM-Peak,1,Peak,AM,0.7,55,7097.068636444853,1,6,72,3600,2,8,0.2,0.0,5865.0,168.0,88.0,286.0,13.0,1.0,3.2,1.6,0.95,0.3475306020002317,0.3475306020002317,3.13,0.715,6774.075000000002,194.04000000000002,101.64000000000001,330.33000000000004,15.015,7415.100000000002,8283.0,1.1,1.035375,1.1,8283.0,0.0,1.0,2.5,1.6,0.0,6367.630500000001,182.3976,95.5416,310.5102,14.1141,6970.194000000001,1.5999997871772031,4.79999936153161,4.79999936153161,4.79999936153161,4.79999936153161,0.2499893700314207,0.2502459308372713,0.2502574141097963,0.08251503879631208,1.5999997871772031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.79999936153161,4.79999936153161,4.79999936153161,37.02719820077833,111.081594602335,111.081594602335,111.081594602335,35.69974627186402,71.22086542802671,0.6668956598174203,0.5897148223008286,1.1764789497426031,-0.5867641274417745,0.28898981027436776,0.18733341047533666,0.43230534068376536,0.380361248840898,1591.8399372878607,5182.235062712141,45.64425719448428,148.39574280551574,23.909993755912513,77.7300062440875,25.621761199650624,304.7082388003494,1687.015949437908,5728.084050562094,5728.084050562094,1877.367973738003,0.521491103816112,1877.367973738003,1314.157581616602,6819.782026262,6819.782026262,4773.8474183834,8697.150000000003,8697.150000000003,6088.005000000002,1.2254566561944202,1.119999851024042,3.3599995530721265,3.3599995530721265,3.3599995530721265,1.7805334676503357,2102.651850903871,0.0,0.0,2102.651850903871,1782.8604926165244,153.3646837737764,80.33756833382338,86.08910617974685,2102.651850903871,1782.8604926165244,153.3646837737764,80.33756833382338,86.08910617974685,1591.8399372878607,45.64425719448428,23.909993755912513,25.621761199650624,1687.015949437908,5182.235062712141,148.39574280551574,77.7300062440875,304.7082388003494,15.015,1114.2879561015025,31.950980036138997,16.736995629138757,17.935232839755436,7415.100000000002,3627.564543898499,103.87701996386102,54.41100437086125,213.2957671602446,10.5105,-0.49874596359769136,114.52641345752836
3,2025,1NB,1,NB,AM-Shoulder,3,OP,AM,0.7,55,6033.1852346375235,1,6,72,3600,2,8,0.2,0.0,4050.0,156.0,39.0,315.0,7.0,1.0,3.2,1.6,0.95,0.3475306020002317,0.3475306020002317,3.13,0.715,4455.0,171.60000000000002,42.900000000000006,346.5,7.700000000000001,5023.7,6161.1,1.1,0.7701375,1.1,6161.1,0.0,1.0,2.5,1.6,0.0,4187.7,161.304,40.326,325.71,7.238,4722.277999999999,1.599998978326083,4.79999693497825,4.79999693497825,4.79999693497825,4.79999693497825,0.19441670529072438,0.19455190005407724,0.19456514436681127,0.057520919513516185,1.599998978326083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.79999693497825,4.79999693497825,4.79999693497825,42.34047213618649,127.02141640855947,127.02141640855947,127.02141640855947,39.35950337931696,71.99536403537621,0.6529320516739837,0.5833708956504831,1.0670866345857044,-0.48371573893522135,0.21241518966453865,0.15745387188775772,0.4839893031098479,0.3585568250023944,814.1588367459665,3640.8411632540337,31.381999686322875,140.21800031367715,7.846034011736031,35.053965988263975,18.735138694747356,327.7648613052526,872.1220091387727,4151.577990861228,12454.733972583683,988.0483539243853,0.274457876090107,2964.145061773156,2074.9015432412093,5173.051646075615,15519.154938226846,10863.40845675879,6161.1,18483.300000000003,12938.31,1.0212018627619945,1.119999284828258,3.3599978544847744,3.3599978544847744,3.3599978544847744,1.8126779742399948,1106.613449771049,0.0,0.0,3319.8403493131473,911.857314892089,105.44345161548672,26.36265744564763,62.95002581782579,3319.8403493131473,2735.571944676267,316.3303548464602,79.0879723369429,188.85007745347735,2442.4765102378997,94.14599905896863,23.538102035208095,56.20541608424207,2616.3660274163185,10922.523489762101,420.6540009410314,105.16189796479193,983.2945839157578,23.1,1709.7335571665296,65.90219934127803,16.476671424645666,39.343791258969446,15071.099999999999,7645.76644283347,294.45780065872196,73.61332857535434,688.3062087410304,16.17,-0.45330503002975353,138.92447915302344
4,2025,1NB,1,NB,MD,4,OP,MD,0.7,55,5561.260459035068,1,6,72,3600,2,8,0.2,0.0,3666.0,145.0,41.0,420.0,12.0,1.0,3.2,1.6,0.95,0.3475306020002317,0.3475306020002317,3.133,0.708,3666.0,145.0,41.0,420.0,12.0,4284.0,5520.0,1.1,0.69,1.1,5520.0,0.0,1.0,2.5,1.6,0.0,3446.04,136.29999999999998,38.54,394.79999999999995,11.28,4026.9599999999996,1.5999895510158177,4.799968653047453,4.799968653047453,4.799968653047453,4.799968653047453,0.19091185535506408,0.1910190481965179,0.19102938998081556,0.055247343196135175,1.5999895510158177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.799968653047453,4.799968653047453,4.799968653047453,42.60018914673125,127.80056744019375,127.80056744019375,127.80056744019375,40.35985426047746,71.9989202419795,0.6896332130686456,0.5833420815040444,1.0406380491103175,-0.4572959676062731,0.19390117983176766,0.14461276052736036,0.5143329338157588,0.34105430565688083,657.889890027765,3008.110109972235,26.035896269185386,118.96410373081461,7.362272689860632,33.63772731013937,21.811651093834165,398.18834890616586,713.0997100806452,3570.9002899193547,14283.601159677419,823.5193501864055,0.2287553750517793,3294.077400745622,2305.854180521935,4696.480649813594,18785.922599254376,13150.145819478063,5520.0,22080.0,15455.999999999998,0.9925807360869001,1.1199926857110722,3.359978057133217,3.359978057133217,3.359978057133217,1.8477392947033642,922.3356487503094,0.0,0.0,3689.3425950012374,736.8318648343585,87.48004016225948,24.73707468856287,73.28666906512854,3689.3425950012374,2947.327459337434,349.92016064903794,98.94829875425148,293.14667626051414,2631.55956011106,104.14358507674154,29.449090759442527,87.24660437533666,2852.398840322581,12032.44043988894,475.85641492325846,134.55090924055747,1592.7533956246634,48.0,1842.0916920777418,72.90050955371908,20.61436353160977,61.07262306273566,17136.0,8422.708307922258,333.0994904462809,94.18563646839023,1114.9273769372644,33.599999999999994,-0.439438062059362,146.94982222218596
5,2025,1NB,1,NB,PM-Shoulder,2,OP,PM,0.7,55,5261.122825893179,1,6,72,3600,2,8,0.2,0.0,3832.0,120.0,32.0,326.0,8.0,1.0,3.2,1.6,0.95,0.3475306020002317,0.3475306020002317,3.283,0.592,4215.200000000001,132.0,35.2,358.6,8.8,4749.800000000001,5819.000000000001,1.1,0.7273750000000001,1.1,5819.000000000001,0.0,1.0,2.5,1.6,0.0,3962.2880000000005,124.08,33.088,337.084,8.272,4464.812000000001,1.5999994342685186,4.799998302805556,4.799998302805556,4.799998302805556,4.799998302805556,0.24826342432717632,0.24841282388794975,0.24842418620623952,0.06145524514331215,1.5999994342685186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.799998302805556,4.799998302805556,4.799998302805556,39.8543205919441,119.56296177583233,119.56296177583233,119.56296177583233,37.151487412370585,71.98292433228113,0.6293752823229238,0.5834717106813189,1.1305065537164731,-0.5470348430351543,0.2568091330560766,0.17918342329577247,0.43913398360228734,0.38168259310194014,983.6911870504789,3231.5088129495216,30.823063188016803,101.1769368119832,8.219859473192054,26.98014052680795,20.715579853888233,337.8844201461118,1043.449689565576,3706.3503104344245,7412.700620868849,1162.96669459577,0.3230463040543805,2325.93338919154,1628.1533724340777,4656.03330540423,9312.06661080846,6518.446627565922,5819.0,11638.0,8146.6,1.1060376639300586,1.119999603987963,3.359998811963889,3.359998811963889,3.359998811963889,1.7832637951150803,1302.5222373984527,0.0,0.0,2605.0444747969054,1101.7337399429855,103.56545569282434,27.61871806443542,69.60432369820754,2605.0444747969054,2203.467479885971,207.1309113856487,55.23743612887084,139.20864739641507,1967.3823741009578,61.64612637603361,16.439718946384108,41.431159707776466,2086.899379131152,6463.017625899043,202.3538736239664,53.9602810536159,675.7688402922236,17.6,1377.1676618706704,43.15228846322352,11.507803262468874,29.001811795443523,9499.600000000002,4524.11233812933,141.64771153677646,37.772196737531125,473.03818820455643,12.32,-0.4838847163130631,122.84405115116091
6,2025,1NB,1,NB,PM-Peak,2,Peak,PM,0.7,55,4588.898238978693,1,6,72,3600,2,8,0.2,0.0,3686.0,74.0,22.0,295.0,8.0,1.0,3.2,1.6,0.95,0.3475306020002317,0.3475306020002317,3.283,0.592,4257.330000000001,85.47000000000001,25.410000000000004,340.725,9.240000000000002,4718.175000000001,5371.3,1.1,0.6714125,1.1,5371.3,0.0,1.0,2.5,1.6,0.0,4001.8902000000007,80.3418,23.8854,320.2815,8.6856,4435.084500000001,1.5999981795336031,4.799994538600809,4.799994538600809,4.799994538600809,4.799994538600809,0.3029715883505937,0.3031393202138052,0.30314686914963607,0.08402128790933024,1.5999981795336031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.799994538600809,4.799994538600809,4.799994538600809,36.16508871479868,108.49526614439603,108.49526614439603,108.49526614439603,38.52128577766855,71.92976123079477,0.844349674633141,0.5839029531217024,1.090306285268082,-0.5064033321463797,0.22866894514220293,0.14478014875250753,0.5345941112226527,0.32062574002483984,1212.4590302986753,3044.8709697013255,24.354758636753495,61.11524136324652,7.240784228386717,18.16921577161329,26.91046412353215,313.81453587646786,1270.9650372873477,3447.209962712653,6894.419925425306,1387.9770512646924,0.38554918090685897,2775.9541025293847,1943.1678717705693,4251.887948735309,8503.775897470618,5952.643128229432,5639.865000000002,11279.730000000003,7895.811000000001,1.2290237669892659,1.1199987256735222,3.3599961770205664,3.3599961770205664,3.3599961770205664,1.747302789695735,1554.5325286805485,0.0,0.0,3109.065057361097,1357.9525688658707,81.83189591175037,24.32900732601018,90.41905657691713,3109.065057361097,2715.9051377317414,163.66379182350073,48.65801465202036,180.83811315383426,2424.9180605973506,48.70951727350699,14.481568456773434,53.8209282470643,2541.9300745746955,6089.741939402651,122.23048272649304,36.33843154322658,627.6290717529357,18.480000000000004,1697.4426424181454,34.09666209145489,10.137097919741404,37.67464977294501,9436.350000000002,4262.819357581856,85.56133790854513,25.4369020802586,439.34035022705496,12.936000000000002,-0.4644597018184357,132.70039763677283
7,2025,1NB,1,NB,PM-Late,5,OP,PM,0.7,55,10400.0,1,6,72,3600,2,8,0.2,0.0,3364.0,65.0,10.0,289.0,23.0,1.0,3.2,1.6,0.95,0.3475306020002317,0.3475306020002317,3.283,0.592,3364.0,65.0,10.0,289.0,23.0,3751.0,4525.0,1.1,0.565625,1.1,4525.0,0.0,1.0,2.5,1.6,0.0,3162.16,61.099999999999994,9.399999999999999,271.65999999999997,21.619999999999997,3525.9399999999996,0.5433807762298021,1.6301423286894061,1.6301423286894061,1.6301423286894061,1.6301423286894061,0.17224683324596218,0.17228325410407583,0.17228514819563537,0.03528914843398215,0.5433807762298021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6301423286894061,1.6301423286894061,1.6301423286894061,46.643888334888786,139.93166500466637,139.93166500466637,139.93166500466637,54.84389908877393,71.99990231231395,0.23189206884491925,0.5833341247855672,0.7658098840130977,-0.18247575922753045,0.0015214642637138556,0.003658339591210382,0.5575812436581818,0.43876041675060773,544.6720462170517,2819.3279537829485,10.526506825759032,54.47349317424097,1.6194803930389723,8.380519606961027,9.58665006357559,279.4133499364244,566.4046834994253,3184.595316500575,15922.976582502873,609.8699580641725,0.16940832168449235,3049.349790320862,2134.5448532246032,3915.1300419358276,19575.650209679137,13702.955146775395,4525.0,22625.0,15837.499999999998,0.43509615384615385,0.38036654336086145,1.1410996300825842,1.1410996300825842,1.1410996300825842,0.5850792213876231,231.97412784850283,0.0,0.0,1159.8706392425142,207.17502348486735,12.011793044935429,1.8479884774227693,10.939322841277288,1159.8706392425142,1035.8751174243368,60.058965224677145,9.239942387113846,54.69661420638644,2723.3602310852584,52.63253412879516,8.097401965194862,47.93325031787795,2832.0234174971265,14096.639768914742,272.36746587120484,41.90259803480514,1397.066749682122,115.0,1906.3521617596807,36.84277389015661,5.6681813756364035,33.553275222514564,18755.0,9867.647838240318,190.65722610984338,29.331818624363596,977.9467247774853,80.5,-0.23827814583862117,125.06862663985284
8,2025,1SB,1,SB,Night,6,OP,NT,0.7,55,9658.720330941385,1,6,72,3600,2,8,0.2,0.053191489361702135,1306.0,32.0,13.0,256.0,30.0,1.0,3.2,1.6,0.95,0.1595744680851064,0.1595744680851064,3.286,0.708,1306.0,32.0,13.0,256.0,30.0,1637.0,2299.0,1.1,0.287375,1.1,2299.0,0.0,1.0,2.5,1.6,0.0,1227.6399999999999,30.08,12.219999999999999,240.64,28.2,1538.78,0.27256022379257927,0.8176806713777378,0.8176806713777378,0.8176806713777378,0.8176806713777378,0.15957446743724896,0.1595744674385119,0.15957446743743564,0.053191489443423015,0.27256022379257927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8176806713777378,0.8176806713777378,0.8176806713777378,53.932000813221535,161.79600243966462,161.79600243966462,161.79600243966462,54.99505387545449,71.99999991002387,0.0,0.5833333340623066,0.7637050432774561,-0.18037170921514956,4.807574876470669e-05,0.0002664660573357978,0.0,0.9997335339426643,195.89999920466428,1110.1000007953357,4.799999980550437,27.20000001944956,1.9499999920854634,11.050000007914537,12.800000019665314,243.1999999803347,215.44999919696548,1421.5500008030347,8529.300004818208,254.54999918156793,0.07070833310599109,1527.2999950894075,1069.1099965625851,2044.4500008184323,12266.700004910594,8586.690003437416,2299.0,13794.000000000002,9655.800000000001,0.23802324958465057,0.19079215665480548,0.5723764699644164,0.5723764699644164,0.5723764699644164,0.32202462289127837,48.56614332033031,0.0,0.0,291.3968599219819,37.37618333693258,2.7474070446967263,1.1161341119005175,7.326418826800492,291.3968599219819,224.25710002159548,16.48444226818036,6.696804671403105,43.958512960802956,1175.3999952279858,28.799999883302622,11.69999995251278,76.80000011799189,1292.6999951817932,6660.6000047720145,163.20000011669737,66.30000004748723,1459.1999998820081,180.0,822.77999665959,20.159999918311833,8.189999966758945,53.76000008259432,9822.0,4662.4200033404095,114.24000008168815,46.41000003324106,1021.4399999174057,125.99999999999999,-0.23617980633083238,63.46632434265828
9,2025,1SB,1,SB,AM-Early,1,OP,AM,0.7,55,10400.0,1,6,72,3600,2,8,0.2,0.0,2435.0,99.0,42.0,334.0,32.0,1.0,3.2,1.6,0.95,0.3475306020002317,0.3475306020002317,3.13,0.715,2435.0,99.0,42.0,334.0,32.0,2942.0,3956.0,1.1,0.4945,1.1,3956.0,0.0,1.0,2.5,1.6,0.0,2288.9,93.05999999999999,39.48,313.96,30.08,2765.48,0.49216194720866574,1.4764858416259972,1.4764858416259972,1.4764858416259972,1.4764858416259972,0.17407607081220228,0.17409633424728838,0.1740979538003423,0.0492036543063193,0.49216194720866574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4764858416259972,1.4764858416259972,1.4764858416259972,44.73401296414003,134.2020388924201,134.2020388924201,134.2020388924201,54.92781463972193,71.99997512736128,0.2107611914570559,0.583333534847837,0.764639923788758,-0.181306388940921,0.0007024921066760676,0.0017885581307057082,0.5366019618375051,0.4616094800317892,398.4427184820498,2036.5572815179503,16.201404865052655,82.79859513494735,6.873387216037513,35.126612783962486,15.447979306012007,318.55202069398797,436.965489869152,2505.0345101308485,2505.0345101308485,514.0110326433563,0.1427808424009323,514.0110326433563,359.8077228503494,3441.988967356644,3441.988967356644,2409.3922771496505,3956.0000000000005,3956.0000000000005,2769.2,0.38038461538461543,0.344513363046066,1.033540089138198,1.033540089138198,1.033540089138198,0.5789397025111627,177.08366949874392,0.0,0.0,177.08366949874392,137.2688409254679,16.744801428390556,7.103921235944762,15.966105908940689,177.08366949874392,137.2688409254679,16.744801428390556,7.103921235944762,15.966105908940689,398.4427184820498,16.201404865052655,6.873387216037513,15.447979306012007,436.965489869152,2036.5572815179503,82.79859513494735,35.126612783962486,318.55202069398797,32.0,278.9099029374349,11.340983405536859,4.811371051226259,10.813585514208404,2942.0,1425.590097062565,57.95901659446314,24.58862894877374,222.98641448579156,22.4,-0.23711342201771995,114.01033302527236
