,Year,SegDir,Segment,Direction,Period,Hours/Day,Peak,4Periods,Length,Speed GP,Capacity GP,Alpha GP,Beta GP,Speed ML,Capacity ML,Alpha ML,Beta ML,MinToll,MinCapture,AADT Lights,AADT Medium A,AADT Medium B,AADT Heavy A,AADT Heavy B,GrowthFactor,MaxToll,Soft Cap,Capture factor,MaxCapture,MaxCap_aux,B1,B2,TotalLights,TotalMediumA,TotalMediumB,TotalHeavyA,TotalHeavyB,TotalVeh,Corridor PCE pre-fix,Suppressed ratio ref,Suppressed ratio,Corridor PCE,Max VC,Suppressed Demand,PCE ratio,BonusPeak,BonusOffPeak,HOV3,InScopeLights,InScopeMediumA,InScopeMediumB,InScopeHeavyA,InScopeHeavyB,InScopeVeh,TollLights,TollMediumA,TollMediumB,TollHeavyA,TollHeavyB,CaptureRateLights,CaptureRateMediumA,CaptureRateMediumB,CaptureRateHeavyA,baseToll,devTollShare,tdotTollShare,devTollMediumA,devTollMediumB,devTollHeavyA,tdotTollMediumA,tdotTollMediumB,tdotTollHeavyA,baseTollMediumA,baseTollMediumB,baseTollHeavyA,VOT Lights,VOT MediumA,VOT MediumB,VOT HeavyA,Speed GP Real,Speed ML Real,Bonus Seg,Time ML,Time GP,Time Savings,BonusRel,Reliability %,Bonus %,Time Savings %,MLVeh_Lights,GPVeh_Lights,MLVeh_MediumA,GPVeh_MediumA,MLVeh_MediumB,GPVeh_MediumB,MLVeh_HeavyA,GPVeh_HeavyA,MLVeh,GPVeh,GPVehDay,ML PCE,ML V/C,ML Volume,ML PCE Total,GP PCE,GP Volume,GP PCE Total,Highway PCE,Highway Volume,Highway PCE Total,Highway V/C,TollLightsPerSeg,TollMediumAPerSeg,TollMediumBPerSeg,TollHeavyAPerSeg,TollBlend,RevenuePerHour,DevRevenuePerDay,TDOTRevenuePerDay,BaseRevenuePerDay,RevenuePerHourLights,RevenuePerHourMediumA,RevenuePerHourMediumB,RevenuePerHourHeavyA,RevenuePerDay,RevenuePerDayLights,RevenuePerDayMediumA,RevenuePerDayMediumB,RevenuePerDayHeavyA,TransactionsDay_Lights,TransactionsDay_MediumA,TransactionsDay_MediumB,TransactionsDay_HeavyA,TransactionsDay,GPDay_Lights,GPDay_MediumA,GPDay_MediumB,GPDay_HeavyA,GPDay_HeavyB,TransactionsLightsLength,TransactionsMediumALength,TransactionsMediumBLength,TransactionsHeavyALength,TotalVeh_hours,GPDayLength_Lights,GPDayLength_MediumA,GPDayLength_MediumB,GPDayLength_HeavyA,GPDayLength_HeavyB,Difference in Travel Time,Implied Min VOT
0,2025,1NB,1,NB,Night,7,OP,NT,1.3,55,9467.142407021885,1,6,60,3600,1.6,6.3,0.2,0.053191489361702135,1397.0,37.0,10.0,248.0,30.0,1.0,0.48,0.48,0.9,0.10638297872340427,0.10638297872340427,3.286,0.708,1327.1499999999999,35.15,9.5,235.6,28.5,1635.8999999999999,2253.3999999999996,0.9,0.23802324958465054,2253.3999999999996,1.2,0.0,1.0,2.5,1.6,0.0,1247.5209999999997,33.041,8.93,221.46399999999997,26.79,1537.7459999999999,0.2000000069286971,0.4000000138573942,0.7000000242504398,0.6000000207860913,0.6000000207860913,0.053191496163265045,0.07362880945597416,0.05319149464452294,0.05319149357503006,0.2000000069286971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4000000138573942,0.7000000242504398,0.6000000207860913,111.89294173125487,223.78588346250973,391.62529605939204,335.6788251937646,54.99260226922768,59.9999999718948,0.0,1.300000000608946,1.4183725952471722,-0.11837259463822614,0.00013354394574787015,0.001126894752825317,0.0,0.9988731052471747,66.35750848509255,1260.7924915149074,2.4327694932348423,32.717230506765155,0.47500004717558986,9.02499995282441,11.780000933100455,223.81999906689953,81.04527895860343,1554.8547210413965,10883.983047289776,110.42081990562522,0.030672449973784783,772.9457393393766,1004.8294611411897,2142.979180094375,15000.854260660624,19501.11053885881,2253.4,15773.800000000001,20505.940000000002,0.2380232495846506,0.26000000900730624,0.5200000180146125,0.9100000315255719,0.7800000270219187,0.2670742961858845,28.138644088175003,0.0,0.0,196.970508617225,17.252952803826464,1.2650401803075177,0.4322500579044349,9.188401046136583,196.97050861722502,120.77066962678525,8.855281262152625,3.0257504053310442,64.31880732295608,464.50255939564784,17.029386452643895,3.325000330229129,82.46000653170319,567.3169527102241,8825.547440604352,229.02061354735608,63.17499966977088,1566.7399934682967,199.5,603.8533272143422,22.138202388437065,4.322500429297868,107.19800849121414,11451.3,11473.21167278566,297.7267976115629,82.12749957070214,2036.7619915087857,259.35,-0.083456628416878,131.78726535576553
1,2025,1NB,1,NB,AM-Early,1,OP,AM,1.3,55,10400.0,1,6,60,3600,1.6,6.3,0.2,0.05,5278.0,151.0,79.0,257.0,12.0,1.0,3.2,1.6,0.9,0.36683785766691124,0.36683785766691124,3.13,0.715,5014.099999999999,143.45,75.05,244.14999999999998,11.399999999999999,5488.149999999999,6436.249999999999,1.0,0.6188701923076922,6436.249999999999,1.2,0.0,1.0,2.5,1.6,0.0,4713.253999999999,134.843,70.547,229.50099999999998,10.715999999999998,5158.860999999998,0.39964687445500824,0.7992937489100165,1.398764060592529,1.1989406233650248,1.1989406233650248,0.18437068834309245,0.3668378559053145,0.132680870625229,0.050000000545558504,0.39964687445500824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7992937489100165,1.398764060592529,1.1989406233650248,43.47541100936184,86.95082201872368,152.16393853276648,130.42623302808553,53.99225464567678,59.95130330163516,0.44733687945546974,1.3010559521542973,1.4446516544247618,-0.1435957022704646,0.018528885370060675,0.030402062099755732,0.7339871404618442,0.23561079743840002,868.9858843158337,4145.114115684166,49.46551700384032,93.98448299615967,9.360237379998031,65.68976262000197,11.475050125206222,232.67494987479375,939.2866888248782,4548.8633111751205,4548.8633111751205,1079.8882978429674,0.2999689716230465,1079.8882978429674,1403.8547871958576,5356.361702157032,5356.361702157032,6963.270212804141,6436.249999999999,6436.249999999999,8367.124999999998,0.6188701923076922,0.5195409367915107,1.0390818735830214,1.8183932787702877,1.5586228103745323,0.4404146715351332,537.7783300969712,0.0,0.0,537.7783300969711,451.47374039604756,51.3987220861032,17.020592739482826,17.88527487533755,537.7783300969712,451.47374039604756,51.3987220861032,17.020592739482826,17.88527487533755,868.9858843158337,49.46551700384032,9.360237379998031,11.475050125206222,939.2866888248782,4145.114115684166,93.98448299615967,65.68976262000197,232.67494987479375,11.399999999999999,1129.681649610584,64.30517210499242,12.168308593997441,14.917565162768089,5488.149999999999,5388.648350389416,122.17982789500758,85.39669140600256,302.4774348372319,14.819999999999999,-0.09939815029502194,217.08488286631913
2,2025,1NB,1,NB,AM-Peak,3,Peak,AM,1.3,55,7592.330916271331,1,6,60,3600,1.6,6.3,0.2,0.05,5478.0,214.0,53.0,432.0,10.0,1.0,3.2,1.6,0.9,0.36683785766691124,0.36683785766691124,3.13,0.715,5751.900000000001,224.70000000000002,55.650000000000006,453.6,10.5,6496.35,7985.250000000001,1.2,1.0517521019647067,7985.250000000001,1.2,0.0,1.0,2.5,1.6,0.0,5406.786,211.21800000000002,52.311,426.384,9.87,6106.569,1.5999998013932253,3.1999996027864506,5.599999304876288,4.799999404179676,4.799999404179676,0.21370954142158474,0.3668378403871892,0.14375901674209715,0.05000003682451543,1.5999998013932253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1999996027864506,5.599999304876288,4.799999404179676,42.0047602979331,84.0095205958662,147.01666104276586,126.01428089379932,39.350348818919535,59.65530950386422,1.4559377521778338,1.3075114461512851,1.9821933563775125,-0.6746819102262274,0.39480807673698615,0.15633315125906905,0.5765113487955231,0.26715549994540777,1155.4817566246445,4596.418243375356,77.48275497090134,147.21724502909868,7.520177924795844,48.12982207520416,21.319215701384188,432.28078429861586,1261.803905221726,5234.546094778275,15703.638284334826,1474.4482024158885,0.4095689451155246,4423.344607247665,5750.347989421965,6510.801797584112,19532.405392752335,25392.127010578035,7985.250000000001,23955.75,31142.475,1.0517521019647067,2.079999741811193,4.159999483622386,7.279999096339175,6.239999225433579,1.7761560023579221,2913.508754075706,0.0,0.0,8740.526262227118,2403.401755446804,322.32822066858944,54.74688849682355,133.03188946348874,8740.526262227118,7210.205266340412,966.9846620057683,164.24066549047066,399.09566839046624,3466.4452698739333,232.44826491270402,22.56053377438753,63.957647104152564,3785.411715665178,13789.254730126067,441.65173508729606,144.38946622561247,1296.8423528958476,31.5,4506.378850836113,302.18274438651525,29.32869390670379,83.14494123539833,19489.050000000003,17926.03114916389,574.1472556134848,187.7063060932962,1685.895058764602,40.95,-0.3403713911438077,184.97603480553514
3,2025,1NB,1,NB,AM-Shoulder,1,OP,AM,1.3,55,7711.430327663038,1,6,60,3600,1.6,6.3,0.2,0.05,5124.0,227.0,63.0,599.0,18.0,1.0,3.2,1.6,0.9,0.36683785766691124,0.36683785766691124,3.13,0.715,5380.2,238.35000000000002,66.15,628.95,18.900000000000002,6332.549999999999,8237.25,1.12,1.0681870483158877,8237.25,1.2,0.0,1.0,2.5,1.6,0.0,5057.388,224.049,62.181000000000004,591.213,17.766000000000002,5952.596999999999,1.5999999881278,3.1999999762556,5.5999999584473,4.7999999643833995,4.7999999643833995,0.191020945046006,0.3668378571723306,0.13536074436115836,0.050000000321252125,1.5999999881278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1999999762556,5.5999999584473,4.7999999643833995,43.109947803993414,86.21989560798683,150.88481731397695,129.32984341198025,36.23228681682034,59.82238687471017,1.0975526020502924,1.3038597099671125,2.1527760694306926,-0.84891635946358,0.5142159758742122,0.2089727002677682,0.4460354047663246,0.3449918949659072,966.0670352243302,4414.132964775669,82.1896550616035,156.16034493839652,8.416866445121189,57.73313355487882,29.56065018992843,599.3893498100716,1086.2342069209835,5246.315793079016,5246.315793079016,1326.5685503142897,0.3684912639761916,1326.5685503142897,1724.5391154085767,6910.6814496857105,6910.6814496857105,8983.885884591424,8237.25,8237.25,10708.425000000001,1.0681870483158877,2.07999998456614,4.15999996913228,7.27999994598149,6.23999995369842,1.839142698700004,2597.0616239579913,0.0,0.0,2597.061623957991,2009.4194183564634,341.90896251926335,61.27478726581567,184.4584558164486,2597.0616239579913,2009.4194183564634,341.90896251926335,61.27478726581567,184.4584558164486,966.0670352243302,82.1896550616035,8.416866445121189,29.56065018992843,1086.2342069209835,4414.132964775669,156.16034493839652,57.73313355487882,599.3893498100716,18.900000000000002,1255.8871457916293,106.84655158008455,10.941926378657545,38.42884524690696,6332.549999999999,5738.37285420837,203.00844841991548,75.05307362134246,779.2061547530932,24.570000000000004,-0.3943356540971204,147.01094834929089
4,2025,1NB,1,NB,MD,5,OP,MD,1.3,55,5441.8710361140875,1,6,60,3600,1.6,6.3,0.2,0.05,3734.0,132.0,36.0,380.0,11.0,1.0,3.2,1.6,0.9,0.36683785766691124,0.36683785766691124,3.133,0.708,3734.0,132.0,36.0,380.0,11.0,4293.0,5411.0,1.05,0.9943271283150195,5411.0,1.2,0.0,1.0,2.5,1.6,0.0,3509.9599999999996,124.08,33.839999999999996,357.2,10.34,4035.4199999999996,1.4532953214925433,2.9065906429850865,5.086533625223901,4.3598859644776295,4.3598859644776295,0.18289879367354314,0.3668378573996981,0.13110474023515717,0.05000000017129126,1.4532953214925433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9065906429850865,5.086533625223901,4.3598859644776295,43.49401941061272,86.98803882122544,152.22906793714452,130.48205823183815,40.779023683268804,59.9895765604891,1.2566084843915282,1.300225880430253,1.9127480982827592,-0.6125222178525063,0.3461963960706587,0.1562732638146426,0.5672338343838665,0.27649290180149094,641.9674498423894,3092.032550157611,45.51724134615454,86.48275865384545,4.436584409557718,31.563415590442283,17.86000006118524,362.13999993881475,709.7812756592868,3583.2187243407134,17916.093621703567,845.4089272930819,0.2348358131369672,4227.044636465409,5495.158027405032,4565.591072706918,22827.955363534587,29676.341972594964,5411.0,27054.999999999996,35171.5,0.9943271283150195,1.8892839179403063,3.7785678358806125,6.612493712791072,5.667851753820918,1.6423407020530194,1515.413482141469,0.0,0.0,7577.0674107073455,1212.8587788283767,171.9899841285947,29.336886514467302,101.22783267003047,7577.0674107073455,6064.293894141883,859.9499206429734,146.6844325723365,506.13916335015233,3209.837249211947,227.58620673077272,22.18292204778859,89.3000003059262,3548.906378296434,15460.162750788055,432.41379326922726,157.8170779522114,1810.6999996940738,55.0,4172.788423975531,295.86206875000454,28.83779866212517,116.09000039770407,21465.0,20098.21157602447,562.1379312499954,205.16220133787485,2353.909999602296,71.5,-0.32023151318379084,185.06599723655157
5,2025,1NB,1,NB,PM-Shoulder,1,OP,PM,1.3,55,6222.354095429336,1,6,60,3600,1.6,6.3,0.2,0.05,4721.0,116.0,39.0,424.0,11.0,1.0,3.2,1.6,0.9,0.36683785766691124,0.36683785766691124,3.283,0.592,4957.05,121.80000000000001,40.95,445.20000000000005,11.55,5576.55,6815.55,1.12,1.0953330356121005,6815.55,1.2,0.0,1.0,2.5,1.6,0.0,4659.6269999999995,114.492,38.493,418.488,10.857,5241.956999999999,1.5999999998088317,3.1999999996176633,5.599999999330911,4.799999999426495,4.799999999426495,0.23693419701142499,0.36683785738548114,0.12774519698674125,0.05000000081591516,1.5999999998088317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1999999996176633,5.599999999330911,4.799999999426495,44.9438383044882,89.8876766089764,157.3034340657087,134.83151491346462,37.13456580986824,59.837790142534885,1.0857332946074338,1.3035240742380751,2.100468883879398,-0.7969448096413227,0.477600945988306,0.2023493560815771,0.46000208937090914,0.3376485545475137,1104.024981617755,3853.0250183822454,41.99999996777851,79.8000000322215,4.9172958676106315,36.03270413238937,20.924400341450703,424.27559965854937,1171.8666777945948,4404.683322205406,4404.683322205406,1307.5500701482745,0.36320835281896513,1307.5500701482745,1699.8150911927569,5507.999929851725,5507.999929851725,7160.399908807242,6815.549999999999,6815.549999999999,8860.215,1.0953330356121003,2.079999999751481,4.159999999502962,7.279999999130184,6.239999999254444,1.7312668643830917,2637.458133362623,0.0,0.0,2637.458133362623,2296.3719614905594,174.719999845083,35.797913911928255,130.56825811505206,2637.458133362623,2296.3719614905594,174.719999845083,35.797913911928255,130.56825811505206,1104.024981617755,41.99999996777851,4.9172958676106315,20.924400341450703,1171.8666777945948,3853.0250183822454,79.8000000322215,36.03270413238937,424.27559965854937,11.55,1435.2324761030816,54.59999995811206,6.392484627893821,27.201720443885915,5576.55,5008.9325238969195,103.74000004188795,46.842515372106185,551.5582795561141,15.015,-0.37941281385203357,156.5980460318915
6,2025,1NB,1,NB,PM-Peak,3,Peak,PM,1.3,55,6903.664776832447,1,6,60,3600,1.6,6.3,0.2,0.05,5642.0,105.0,23.0,411.0,14.0,1.0,3.2,1.6,0.9,0.36683785766691124,0.36683785766691124,3.283,0.592,5924.1,110.25,24.150000000000002,431.55,14.700000000000001,6504.75,7666.050000000001,1.2,1.1104319586498452,7666.050000000001,1.2,0.0,1.0,2.5,1.6,0.0,5568.654,103.63499999999999,22.701,405.657,13.818,6114.464999999999,1.5999999909566136,3.199999981913227,5.599999968348148,4.799999972869841,4.799999972869841,0.269077185400368,0.36683785648230705,0.13646249220047962,0.05000000665204535,1.5999999909566136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.199999981913227,5.599999968348148,4.799999972869841,43.823219567733176,87.64643913546635,153.38126848706614,131.46965870319954,38.62704679110164,59.21385373192962,1.297793332854507,1.3172593081530921,2.019310469729427,-0.7020511615763347,0.42079005608332604,0.1738346071256175,0.5361376555493857,0.2900277373249968,1498.397744788501,4425.7022552114995,38.01724125654389,72.23275874345612,3.097835035443088,21.052164964556916,20.28285269844876,411.26714730155123,1559.7956737789368,4944.954326221065,14834.862978663194,1682.5915317598085,0.46738653659994683,5047.774595279426,6562.106973863254,5983.458468240194,17950.37540472058,23335.488026136754,7666.050000000002,22998.150000000005,29897.59500000001,1.1104319586498455,2.0799999882435976,4.159999976487195,7.279999958852592,6.239999964730794,1.6885526496980947,3423.936253331164,0.0,0.0,10271.80875999349,3116.6672915443155,158.15172273333062,22.5522389305578,126.56500012296016,10271.808759993492,9350.001874632946,474.4551681999918,67.6567167916734,379.69500036888047,4495.1932343655035,114.05172376963168,9.293505106329263,60.84855809534628,4679.387021336811,13277.106765634499,216.69827623036835,63.15649489367075,1233.8014419046538,44.1,5843.751204675154,148.2672409005212,12.081556638228042,79.10312552395017,19514.25,17260.238795324847,281.7077590994789,82.10344336177198,1603.9418744760499,57.330000000000005,-0.34766875728149155,177.7648213192882
7,2025,1NB,1,NB,PM-Late,3,OP,PM,1.3,55,6705.849787444774,1,6,60,3600,1.6,6.3,0.2,0.05,2727.0,51.0,5.0,265.0,29.0,1.0,3.2,1.6,0.9,0.36683785766691124,0.36683785766691124,3.283,0.592,2727.0,51.0,5.0,265.0,29.0,3077.0,3777.0,0.95,0.5632395773420992,3777.0,1.2,0.0,1.0,2.5,1.6,0.0,2563.3799999999997,47.94,4.699999999999999,249.1,27.259999999999998,2892.3799999999997,0.6527146861836306,1.3054293723672612,2.284501401642707,1.9581440585508918,1.9581440585508918,0.15476813968269648,0.366837833573771,0.10091330390712416,0.0500000005601024,0.6527146861836306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3054293723672612,2.284501401642707,1.9581440585508918,48.64048713475557,97.28097426951113,170.2417049716445,145.92146140426672,54.2452496658046,59.99967178739201,0.7379712970798882,1.3000071113120735,1.437913927588945,-0.1379068162768715,0.013812476584988782,0.015525033917570309,0.8294695992324771,0.15500536684995264,396.7295538998305,2330.2704461001695,17.58620574152658,33.413794258473416,0.4742925283634835,4.525707471636516,12.455000139521507,252.5449998604785,427.24505230924206,2649.754947690758,7949.264843072274,488.2760491280652,0.135632235868907,1464.8281473841957,1904.2765915994546,3288.723950871935,9866.171852615804,12826.023408400546,3777.0,11331.0,14730.300000000001,0.5632395773420992,0.8485290920387198,1.6970581840774397,2.9698518221355195,2.5455872761161595,0.7194488516692944,399.5952509448534,0.0,0.0,1198.78575283456,336.6365681555495,29.844814380527342,1.408578529585554,31.70528987919094,1198.78575283456,1009.9097044666486,89.53444314158203,4.225735588756661,95.11586963757281,1190.1886616994914,52.75861722457974,1.4228775850904505,37.36500041856452,1281.735156927726,6990.811338300508,100.24138277542025,13.57712241490955,757.6349995814355,87.0,1547.2452602093388,68.58620239195366,1.8497408606175856,48.574500544133876,9231.0,9088.054739790661,130.31379760804631,17.650259139382413,984.9254994558662,113.10000000000001,-0.09590755999429668,369.1749755146921
8,2025,1SB,1,SB,Night,7,OP,NT,1.3,55,9403.28309904872,1,6,60,3600,1.6,6.3,0.2,0.053191489361702135,1357.0,39.0,16.0,250.0,28.0,1.0,0.48,0.48,0.9,0.10638297872340427,0.10638297872340427,3.286,0.708,1289.1499999999999,37.05,15.2,237.5,26.599999999999998,1605.4999999999998,2238.2,0.9,0.23802324958465054,2238.2,1.2,0.0,1.0,2.5,1.6,0.0,1211.8009999999997,34.827,14.287999999999998,223.25,25.003999999999998,1509.1699999999996,0.20000000314807675,0.4000000062961535,0.7000000110182687,0.6000000094442303,0.6000000094442303,0.053191490447215335,0.07362802933917417,0.05319149021868051,0.05319148996688885,0.20000000314807675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4000000062961535,0.7000000110182687,0.6000000094442303,111.89326681841031,223.78653363682062,391.6264338644362,335.679800455231,54.99261017299367,59.999999972475926,0.0,1.300000000596355,1.4183723913927808,-0.11837239079642581,0.00013340124767382555,0.0011256939038404373,0.0,0.9988743060961596,64.45750131542597,1224.6924986845738,2.5642433777954188,34.485756622204576,0.7600000122445071,14.439999987755492,11.875000135107936,225.62499986489206,79.65674484057384,1525.8432551594258,10680.902786115981,110.05523189086956,0.030570897747463768,770.386623236087,1001.5026102069131,2128.1447681091304,14897.013376763913,19366.117389793086,2238.2,15667.4,20367.62,0.23802324958465054,0.2600000040924998,0.5200000081849996,0.9100000143237493,0.7800000122774994,0.2708395640143762,28.046457456453062,0.0,0.0,196.3252021951714,16.758950605803065,1.3334065774419488,0.6916000220285511,9.262500251179496,196.32520219517144,117.31265424062146,9.333846042093642,4.841200154199858,64.83750175825648,451.2025092079818,17.949703644567933,5.320000085711549,83.12500094575554,557.5972138840168,8572.847490792017,241.40029635543203,101.07999991428844,1579.3749990542444,186.2,586.5632619703764,23.334614737938313,6.9160001114250145,108.06250122948221,11238.499999999998,11144.701738029622,313.8203852620617,131.40399988857496,2053.187498770518,242.06,-0.08345649669632191,131.78748980730245
9,2025,1SB,1,SB,AM-Early,1,OP,AM,1.3,55,10400.0,1,6,60,3600,1.6,6.3,0.2,0.05,3040.0,119.0,53.0,268.0,14.0,1.0,3.2,1.6,0.9,0.36683785766691124,0.36683785766691124,3.13,0.715,2888.0,113.05,50.349999999999994,254.6,13.299999999999999,3319.3,4181.9,1.0,0.4021057692307692,4181.9,1.2,0.0,1.0,2.5,1.6,0.0,2714.72,106.267,47.32899999999999,239.32399999999998,12.501999999999999,3120.142,0.28515843972337707,0.5703168794467541,0.9980545390318197,0.8554753191701312,0.8554753191701312,0.18452616625926813,0.366837856678666,0.13271697173940883,0.0500000000531994,0.28515843972337707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5703168794467541,0.9980545390318197,0.8554753191701312,43.47087654092669,86.94175308185338,152.14806789324342,130.41262962278006,54.91893667850207,59.99753095464732,0.31322501775193956,1.300053498184132,1.4202751312651138,-0.12022163308098177,0.001465319158306963,0.0033692316133228455,0.7202032580484207,0.2764275103382565,500.93687406736035,2387.0631259326397,38.9827585156718,74.0672414843282,6.281361555454479,44.06863844454551,11.966200012731893,242.6337999872681,558.1671941512185,2761.132805848782,2761.132805848782,672.6278343189348,0.186841065088593,672.6278343189348,874.4161846146153,3509.272165681066,3509.272165681066,4562.053815385386,4181.900000000001,4181.900000000001,5436.470000000001,0.4021057692307693,0.3707059716403902,0.7414119432807804,1.2974709007413656,1.1121179149211706,0.3253233702866286,236.06028262011702,0.0,0.0,236.060282620117,185.7002906316406,28.90228274554962,8.14988383523771,13.307825407689078,236.06028262011702,185.7002906316406,28.90228274554962,8.14988383523771,13.307825407689078,500.93687406736035,38.9827585156718,6.281361555454479,11.966200012731893,558.1671941512185,2387.0631259326397,74.0672414843282,44.06863844454551,242.6337999872681,13.299999999999999,651.2179362875685,50.67758607037334,8.165770022090824,15.556060016551461,3319.3,3103.1820637124315,96.28741392962667,57.289229977909166,315.4239399834485,17.29,-0.08464672121231472,185.01128065230048
