,Year,SegDir,Segment,Direction,Period,Hours/Day,Peak,4Periods,Length,Speed GP,Capacity GP,Alpha GP,Beta GP,Speed ML,Capacity ML,Alpha ML,Beta ML,MinToll,MinCapture,AADT Lights,AADT Medium A,AADT Medium B,AADT Heavy A,AADT Heavy B,GrowthFactor,MaxToll,Soft Cap,MaxCapture,MaxCap_aux,B1,B2,TotalLights,TotalMediumA,TotalMediumB,TotalHeavyA,TotalHeavyB,TotalVeh,Corridor PCE pre-fix,Suppressed ratio ref,Suppressed ratio,Corridor PCE,Suppressed Demand,PCE ratio,HOV3,InScopeLights,InScopeMediumA,InScopeMediumB,InScopeHeavyA,InScopeHeavyB,InScopeVeh,TollLights,TollMediumA,TollMediumB,TollHeavyA,TollHeavyB,CaptureRateLights,CaptureRateMediumA,CaptureRateMediumB,CaptureRateHeavyA,VOT Lights,VOT MediumA,VOT MediumB,VOT HeavyA,Speed GP Real,Speed ML Real,Bounus Seg,Time ML,Time GP,Time Savings,BonusRel,MLVeh_Lights,GPVeh_Lights,MLVeh_MediumA,GPVeh_MediumA,MLVeh_MediumB,GPVeh_MediumB,MLVeh_HeavyA,GPVeh_HeavyA,MLVeh,GPVeh,GPVehDay,ML PCE,Traffic per Lane,GP PCE,TollLightsPerSeg,TollMediumAPerSeg,TollMediumBPerSeg,TollHeavyAPerSeg,TollBlend,RevenuePerHour,RevenuePerHourLights,RevenuePerHourMediumA,RevenuePerHourMediumB,RevenuePerHourHeavyA,RevenuePerDay,RevenuePerDayLights,RevenuePerDayMediumA,RevenuePerDayMediumB,RevenuePerDayHeavyA,TransactionsDay_Lights,TransactionsDay_MediumA,TransactionsDay_MediumB,TransactionsDay_HeavyA,TransactionsDay,TotalVeh_hours
0,2032,1NB,1,NB,Night,6,OP,NT,0.7,55,8234.489712329321,1,6,70,3600,1,5,0.5,0,1187.7,41.1,6.0,307.2,39.9,1.2094222272955006,3.6,1.8,0.3802445318205687,0.3802445318205687,3.402,0.708,1187.7,41.1,6.0,307.2,39.9,1581.9,2370.2999999999997,1.2,0.2962875,2370.2999999999997,0.0,1.0,0.0,950.1600000000001,32.88,4.800000000000001,245.76,31.92,1265.5200000000002,0.5000086907262838,1.5000260721788514,1.5000260721788514,1.5000260721788514,1.5000260721788514,0.03464081016751244,0.03462593714399988,0.034624465792649335,0.034637091906947644,108.66732720708328,326.0019816212498,326.0019816212498,326.0019816212498,54.97335149915681,69.99999989077739,0.0,0.6000000009361938,0.764006538707108,-0.16400653777091423,0.0002591225495210146,32.914312188763624,1154.7856878112364,1.138500813294716,39.96149918670528,0.16619743580471683,5.833802564195283,8.512411707051452,298.68758829294853,42.73142214491452,1539.1685778550857,9235.011467130515,62.36564205721628,31.18282102860814,2307.934357942783,0.3500060835083987,1.0500182505251958,1.0500182505251958,1.0500182505251958,0.729752520886879,21.82835412193294,11.520209500561906,1.1954466321972304,0.1745103407854423,8.93818764838836,130.97012473159765,69.12125700337144,7.172679793183383,1.047062044712654,53.629125890330165,197.48587313258173,6.8310048797682965,0.997184614828301,51.07447024230871,256.38853286948705,9491.400000000001
1,2032,1NB,1,NB,AM-Early,1,OP,AM,0.7,55,10400.0,1,6,70,3600,1,5,0.5,0,5655.3,84.7,55.6,353.2,24.2,1.2094222272955006,3.6,1.8,0.3214285714285714,0.3214285714285714,3.246,0.715,5655.3,84.7,55.6,353.2,24.2,6173.0,7208.4000000000015,1.2,0.9010500000000001,7208.4000000000015,0.0,1.0,0.0,4524.240000000001,67.76,44.480000000000004,282.56,19.36,4938.400000000001,1.0821722727022236,3.246516818106671,3.246516818106671,3.246516818106671,3.246516818106671,0.13632438677845427,0.1362513735120531,0.13625019309192482,0.1362622655615504,56.29428560328134,168.88285680984404,168.88285680984404,168.88285680984404,52.08981782849034,69.96698618403694,0.45039758249324113,0.6002831090869876,0.8062996138379322,-0.20601650475094468,0.029864275141098035,616.764243638554,5038.535756361446,9.23239306917672,75.46760693082328,6.060408588728817,49.53959141127118,38.50226575707168,314.6977342429283,670.5593110535312,5502.440688946469,5502.440688946469,778.1494458834858,389.0747229417429,6430.250554116515,0.7575205908915564,2.2725617726746696,2.2725617726746696,2.2725617726746696,1.2558050279410449,589.4642280475953,467.21161428186133,20.98118355931758,13.772652885534352,87.49877732088206,589.4642280475953,467.21161428186133,20.98118355931758,13.772652885534352,87.49877732088206,616.764243638554,9.23239306917672,6.060408588728817,38.50226575707168,670.5593110535312,6173.0
2,2032,1NB,1,NB,AM-Peak,1,Peak,AM,0.7,55,10400.0,1,6,70,3600,1,5,0.5,0,7093.3,203.2,106.4,345.9,15.7,1.2094222272955006,3.6,1.8,0.3214285714285714,0.3214285714285714,3.246,0.715,5674.64,162.56,85.12,276.71999999999997,12.56,6211.600000000001,7285.52,1.2,0.91069,7285.52,0.0,1.0,0.0,4539.712,130.048,68.096,221.37599999999998,10.048000000000002,4969.280000000002,1.5760391195398424,4.728117358619527,4.728117358619527,4.728117358619527,4.728117358619527,0.12963830952293717,0.1295377872865106,0.12953328417253138,0.12954442409353278,57.567940469446725,172.7038214083402,172.7038214083402,172.7038214083402,51.81357097061199,69.97225289723748,0.7341259270626218,0.6002379266204557,0.8105984438675704,-0.2103605172471147,0.03287345616184476,588.5205894009922,5086.119410599008,16.846130161036132,145.71386983896386,8.820698519012698,76.29930148098731,28.67802642812991,248.04197357187007,642.865444509171,5568.734555490829,5568.734555490829,751.5551547255284,375.7775773627642,6533.964845274471,1.1032273836778896,3.3096821510336687,3.3096821510336687,3.3096821510336687,1.8425011555001294,829.1362270374763,649.2720300854262,55.755336307971234,29.193708448025443,94.9151521960534,829.1362270374763,649.2720300854262,55.755336307971234,29.193708448025443,94.9151521960534,588.5205894009922,16.846130161036132,8.820698519012698,28.67802642812991,642.865444509171,6211.600000000001
3,2032,1NB,1,NB,AM-Shoulder,3,OP,AM,0.7,55,8434.70470484964,1,6,70,3600,1,5,0.5,0,4898.2,188.7,47.2,381.0,8.5,1.2094222272955006,3.6,1.8,0.3739186054300634,0.3739186054300634,3.246,0.715,4898.2,188.7,47.2,381.0,8.5,5523.599999999999,6774.4,1.2,0.8468,6774.4,0.0,1.0,0.0,3918.56,150.96,37.760000000000005,304.8,6.800000000000001,4418.88,1.3512655197497556,4.053796559249267,4.053796559249267,4.053796559249267,4.053796559249267,0.14518923961786268,0.1451146268492835,0.14510731750567837,0.14512456613199753,54.719931004101,164.159793012303,164.159793012303,164.159793012303,48.74360963475976,69.96577235357313,0.5516149110116624,0.600293523349565,0.8616514106097142,-0.2613578872601492,0.06861053288134536,568.932746796972,4329.267253203028,21.906504069167838,166.79349593083214,5.4792523090144165,41.72074769098559,44.23396775703285,336.7660322429671,640.552470932187,4883.047529067813,14649.14258720344,783.7919192026172,391.8959596013086,5990.608080797383,0.9458858638248289,2.8376575914744864,2.8376575914744864,2.8376575914744864,1.65343362665618,741.3776965538881,538.1454426622864,62.16315757454084,15.548241910278866,125.52085440678192,2224.133089661664,1614.4363279868594,186.48947272362253,46.6447257308366,376.56256322034574,1706.798240390916,65.71951220750351,16.43775692704325,132.70190327109856,1921.6574127965614,16570.8
4,2032,1NB,1,NB,MD,4,OP,MD,0.7,55,8312.724508261028,1,6,70,3600,1,5,0.5,0,4433.7,175.4,49.6,508.0,14.5,1.2094222272955006,3.6,1.8,0.37774734040726105,0.37774734040726105,3.249,0.708,4433.7,175.4,49.6,508.0,14.5,5181.2,6676.2,1.2,0.834525,6676.2,0.0,1.0,0.0,3546.96,140.32000000000002,39.68000000000001,406.40000000000003,11.600000000000001,4144.96,1.3332931209399574,3.9998793628198723,3.9998793628198723,3.9998793628198723,3.9998793628198723,0.14730793472680662,0.14724188114359898,0.1472355054994145,0.1472587574362958,54.122463073090536,162.36738921927162,162.36738921927162,162.36738921927162,48.79595811887139,69.96626033352817,0.5510592696584359,0.6002893366000498,0.8607270277936583,-0.2604376911936085,0.06796346491010624,522.495352158594,3911.204647841406,20.660980762069812,154.7390192379302,5.842304858216768,43.75769514178323,59.84595902211062,448.1540409778894,608.8445968009911,4572.355403199009,18289.421612796035,781.5430860857855,390.77154304289274,5894.656913914214,0.9333051846579702,2.7999155539739107,2.7999155539739107,2.7999155539739107,1.7114811002206574,729.4182142774539,487.6476211293077,57.84900139607501,16.35796024357847,167.56363150849282,2917.6728571098156,1950.5904845172308,231.39600558430004,65.43184097431389,670.2545260339713,2089.981408634376,82.64392304827925,23.369219432867073,239.38383608844248,2435.3783872039644,20724.8
5,2032,1NB,1,NB,PM-Shoulder,2,OP,PM,0.7,55,6495.095798753605,1,6,70,3600,1,5,0.5,0,4634.5,145.1,38.7,394.3,9.7,1.2094222272955006,3.6,1.8,0.4457610001636234,0.4457610001636234,3.399,0.592,4634.5,145.1,38.7,394.3,9.7,5222.3,6397.9000000000015,1.2,0.7997375000000002,6397.9000000000015,0.0,1.0,0.0,3707.6000000000004,116.08,30.960000000000004,315.44000000000005,7.76,4177.84,1.799999925626018,5.399999776878054,5.399999776878054,5.399999776878054,5.399999776878054,0.1854823747965405,0.18540675138738028,0.18540099956227793,0.18542022070561517,50.84735494368196,152.54206483104588,152.54206483104588,152.54206483104588,40.735659012278695,69.91288700947592,0.6463114849657001,0.6007476131590355,1.0310376956793605,-0.4302900825203251,0.18718093243009787,687.6944527956537,3946.805547204346,21.522015701047103,123.57798429895288,5.740014946448126,32.959985053551875,58.48895441937926,335.81104558062077,773.4454378625281,4448.8545621374715,8897.709124274943,944.9474079962771,472.47370399813855,5452.952592003723,1.2599999479382125,3.7799998438146374,3.7799998438146374,3.7799998438146374,2.1991276706141947,1190.633684879658,866.4949747199212,81.35321598853422,21.6972556010676,221.08823857013505,2381.267369759316,1732.9899494398423,162.70643197706843,43.3945112021352,442.1764771402701,1375.3889055913073,43.044031402094205,11.480029892896251,116.97790883875852,1546.8908757250563,10444.6
6,2032,1NB,1,NB,PM-Peak,2,Peak,PM,0.7,55,5600.0,1,6,70,3600,1,5,0.5,0,4457.9,89.5,26.6,356.8,9.7,1.2094222272955006,3.6,1.8,0.4891304347826087,0.4891304347826087,3.399,0.592,5795.2699999999995,116.35000000000001,34.580000000000005,463.84000000000003,12.61,6422.65,7677.41,1.2,0.95967625,7677.41,0.0,1.0,0.0,4636.215999999999,93.08000000000001,27.664000000000005,371.07200000000006,10.088000000000001,5138.12,1.799999970915636,5.3999999127469085,5.3999999127469085,5.3999999127469085,5.3999999127469085,0.3698199872844974,0.3697715838174178,0.36976938817667027,0.3697808996216334,36.44558212011526,109.33674636034578,109.33674636034578,109.33674636034578,30.22811900568626,63.77905974635111,0.59420630875859,0.6585233486826824,1.3894347839539507,-0.7309114352712683,0.43805889422231103,1714.5653421681832,4080.7046578318163,34.41833902172525,81.93166097827475,10.229300354519408,24.350699645480596,137.2153379843988,326.62466201560125,1896.4283195288265,4526.221680471173,9052.443360942347,2260.1542742501133,1130.0771371250567,5417.255725749886,1.2599999796409451,3.7799999389228356,3.7799999389228356,3.7799999389228356,2.14523142584468,2847.794339540538,2160.352296224981,130.1013193999469,38.6667547153067,518.6739692003036,5695.588679081076,4320.704592449962,260.2026387998938,77.3335094306134,1037.3479384006073,3429.1306843363664,68.8366780434505,20.458600709038816,274.4306759687976,3792.856639057653,12845.3
7,2032,1NB,1,NB,PM-Late,5,OP,PM,0.7,55,5810.027421407455,1,6,70,3600,1,5,0.5,0,4068.5,78.6,12.1,349.5,27.8,1.2094222272955006,3.6,1.8,0.4782132717023406,0.4782132717023406,3.399,0.592,4068.5,78.6,12.1,349.5,27.8,4536.500000000001,5472.5,1.2,0.6840625,5472.5,0.0,1.0,0.0,3254.8,62.879999999999995,9.68,279.6,22.240000000000002,3629.2000000000007,1.7872672498344002,5.361801749503201,5.361801749503201,5.361801749503201,5.361801749503201,0.17286402520048255,0.1727873711004598,0.17278338470870136,0.1728036353163084,52.320579962688974,156.96173988806692,156.96173988806692,156.96173988806692,42.63095457076376,69.97340633403576,0.6794435758678699,0.6002280323399203,0.9851996142916192,-0.3849715819516989,0.15509427545867893,562.6378292225306,3505.862170777469,10.864869894796911,67.73513010520308,1.672543163980229,10.42745683601977,48.315896434439836,301.1841035655602,623.4911387157476,3913.0088612842524,19565.044306421263,745.1977577021817,372.59887885109083,4727.302242297817,1.25108707488408,3.75326122465224,3.75326122465224,3.75326122465224,2.1361451098318556,932.3072828937977,703.9089159811444,40.77869488703271,6.277491403924167,181.34218062169646,4661.536414468988,3519.5445799057225,203.89347443516354,31.387457019620836,906.7109031084823,2813.1891461126534,54.324349473984554,8.362715819901146,241.57948217219916,3117.455693578738,22682.500000000004
8,2032,1SB,1,SB,Night,6,OP,NT,0.7,55,9658.720330941385,1,6,70,3600,1,5,0.5,0,1579.5,38.7,15.7,309.6,36.3,1.2094222272955006,3.6,1.8,0.33939926989021074,0.33939926989021074,3.402,0.708,1579.5,38.7,15.7,309.6,36.3,1979.8,2780.4,1.2,0.34755,2780.4,0.0,1.0,0.0,1263.6000000000001,30.960000000000004,12.56,247.68000000000004,29.04,1583.8400000000001,0.5000014668280542,1.5000044004841628,1.5000044004841628,1.5000044004841628,1.5000044004841628,0.03464715576073869,0.034626708173432386,0.03462574405984573,0.03463806375297964,108.6664507432435,325.9993522297305,325.9993522297305,325.9993522297305,54.973395817652076,69.9999997424439,0.0,0.6000000022076237,0.7640059227797187,-0.16400592057209495,0.0002586914003485048,43.78014601926942,1535.7198539807305,1.0720428850494668,37.62795711495053,0.4348993453916624,15.265100654608338,8.579155630337999,301.02084436966203,53.86624388004855,1925.9337561199513,11555.602536719707,74.0384396016068,37.0192198008034,2706.361560398393,0.35000102677963796,1.050003080338914,1.050003080338914,1.050003080338914,0.6872454014967107,25.913529881724592,15.323096059306776,1.1256483315573564,0.4566456522986228,9.008139838561837,155.48117929034754,91.93857635584065,6.753889989344138,2.7398739137917367,54.04883903137102,262.6808761156165,6.432257310296801,2.6093960723499743,51.47493378202799,323.19746328029123,11878.8
9,2032,1SB,1,SB,AM-Early,1,OP,AM,0.7,55,5839.031477260212,1,6,70,3600,1,5,0.5,0,2944.9,119.7,50.8,403.9,38.7,1.2094222272955006,3.6,1.8,0.47674382809730564,0.47674382809730564,3.246,0.715,2944.9,119.7,50.8,403.9,38.7,3558.0,4784.200000000001,1.2,0.5980250000000001,4784.200000000001,0.0,1.0,0.0,2355.92,95.76,40.64,323.12,30.960000000000004,2846.4,1.3066606386560569,3.9199819159681706,3.9199819159681706,3.9199819159681706,3.9199819159681706,0.17210414962621443,0.17205850024342903,0.17205485047562916,0.17207355423400741,50.52418045588862,151.57254136766585,151.57254136766585,151.57254136766585,48.78798623819442,69.98731035780729,0.5944556317467204,0.6001087880828211,0.860867669244353,-0.2607588811615319,0.06806191392559252,405.4636081873911,2539.436391812609,16.476321983310765,103.22367801668923,6.992309123329569,43.80769087667043,55.600406844092475,348.2995931559075,484.53264613812394,3073.467353861876,3073.467353861876,642.6707220395896,321.3353610197948,4141.529277960411,0.9146624470592397,2.743987341177719,2.743987341177719,2.743987341177719,1.7331185892197118,587.8267752740594,370.86233605814795,45.21081895137291,19.186807720017814,152.56681254452076,587.8267752740594,370.86233605814795,45.21081895137291,19.186807720017814,152.56681254452076,405.4636081873911,16.476321983310765,6.992309123329569,55.600406844092475,484.53264613812394,3558.0
