,Year,SegDir,Segment,Direction,Period,Hours/Day,Peak,4Periods,Length,Speed GP,Capacity GP,Alpha GP,Beta GP,Speed ML,Capacity ML,Alpha ML,Beta ML,MinToll,MinCapture,AADT Lights,AADT Medium A,AADT Medium B,AADT Heavy A,AADT Heavy B,GrowthFactor,MaxToll,Soft Cap,Capture factor,MaxCapture,MaxCap_aux,B1,B2,TotalLights,TotalMediumA,TotalMediumB,TotalHeavyA,TotalHeavyB,TotalVeh,Corridor PCE pre-fix,Suppressed ratio ref,Suppressed ratio,Corridor PCE,Max VC,Suppressed Demand,PCE ratio,BonusPeak,BonusOffPeak,HOV3,InScopeLights,InScopeMediumA,InScopeMediumB,InScopeHeavyA,InScopeHeavyB,InScopeVeh,TollLights,TollMediumA,TollMediumB,TollHeavyA,TollHeavyB,CaptureRateLights,CaptureRateMediumA,CaptureRateMediumB,CaptureRateHeavyA,baseToll,devTollShare,tdotTollShare,devTollShare2x,devTollShare3x,devTollShare4x,tdotTollShare2x,tdotTollShare3x,tdotTollShare4x,devTollMediumA,devTollMediumB,devTollHeavyA,tdotTollMediumA,tdotTollMediumB,tdotTollHeavyA,devTollMediumA2x,devTollMediumB2x,devTollHeavyA2x,tdotTollMediumA2x,tdotTollMediumB2x,tdotTollHeavyA2x,devTollMediumA3x,devTollMediumB3x,devTollHeavyA3x,tdotTollMediumA3x,tdotTollMediumB3x,tdotTollHeavyA3x,devTollMediumA4x,devTollMediumB4x,devTollHeavyA4x,tdotTollMediumA4x,tdotTollMediumB4x,tdotTollHeavyA4x,baseTollMediumA,baseTollMediumB,baseTollHeavyA,VOT Lights,VOT MediumA,VOT MediumB,VOT HeavyA,Speed GP Real,Speed ML Real,Bonus Seg,Time ML,Time GP,Time Savings,BonusRel,Reliability %,Bonus %,Time Savings %,MLVeh_Lights,GPVeh_Lights,MLVeh_MediumA,GPVeh_MediumA,MLVeh_MediumB,GPVeh_MediumB,MLVeh_HeavyA,GPVeh_HeavyA,MLVeh,GPVeh,GPVehDay,ML PCE,ML V/C,ML Volume,ML PCE Total,GP PCE,GP Volume,GP PCE Total,Highway PCE,Highway Volume,Highway PCE Total,Highway V/C,TollLightsPerSeg,TollMediumAPerSeg,TollMediumBPerSeg,TollHeavyAPerSeg,TollBlend,RevenuePerHour,DevRevenuePerDay,TDOTRevenuePerDay,DevRevenuePerDay2x,TDOTRevenuePerDay2x,DevRevenuePerDay3x,TDOTRevenuePerDay3x,DevRevenuePerDay4x,TDOTRevenuePerDay4x,BaseRevenuePerDay,RevenuePerHourLights,RevenuePerHourMediumA,RevenuePerHourMediumB,RevenuePerHourHeavyA,RevenuePerDay,RevenuePerDayLights,RevenuePerDayMediumA,RevenuePerDayMediumB,RevenuePerDayHeavyA,TransactionsDay_Lights,TransactionsDay_MediumA,TransactionsDay_MediumB,TransactionsDay_HeavyA,TransactionsDay,GPDay_Lights,GPDay_MediumA,GPDay_MediumB,GPDay_HeavyA,GPDay_HeavyB,TransactionsLightsLength,TransactionsMediumALength,TransactionsMediumBLength,TransactionsHeavyALength,TotalVeh_hours,GPDayLength_Lights,GPDayLength_MediumA,GPDayLength_MediumB,GPDayLength_HeavyA,GPDayLength_HeavyB,Difference in Travel Time,Implied Min VOT
0,2025,1NB,1,NB,Night,7,OP,NT,1.3,55,8000.0,1,6,60,3600,1.6,6.3,0.2,0.01,1397.0,37.0,10.0,248.0,30.0,1.0,3.2,1.6,0.9,0.36683785766691124,0.36683785766691124,3.286,0.708,1397.0,37.0,10.0,248.0,30.0,1722.0,2372.0,0.9,0.2965,2372.0,1.2,0.0,1.0,2.5,1.6,0.0,1313.1799999999998,34.78,9.399999999999999,233.11999999999998,28.2,1618.6799999999998,0.2,0.6000000000000001,0.6000000000000001,1.0,0.6000000000000001,0.022496899050409327,0.022492468571410396,0.022501150399157552,0.010375251266196043,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.6000000000000001,1.0,110.81230057342678,332.4369017202804,332.4369017202804,554.0615028671339,54.96625779646814,59.99999999995477,0.0,1.3000000000009801,1.4190523991795543,-0.11905239917857413,0.000609406698415288,0.005092741948435486,0.0,0.9949072580515644,29.542477895016518,1367.4575221049836,0.7822880569136537,36.21771194308634,0.21151081375208095,9.788489186247919,2.4186785751756212,245.58132142482438,32.95495534085787,1689.0450446591424,11823.315312613997,39.77991023254059,0.011049975064594608,278.4593716277841,361.99718311611934,2332.2200897674597,16325.540628372219,21223.202816883884,2372.0000000000005,16604.000000000004,21585.200000000004,0.29650000000000004,0.26,0.7800000000000001,0.7800000000000001,1.3,0.27077728931147976,11.600489519551875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.20342663686314,7.681044252704295,0.61018468439265,0.16497843472662316,3.144282147728308,81.20342663686313,53.76730976893006,4.27129279074855,1.154849043086362,22.009975034098154,206.7973452651156,5.476016398395576,1.4805756962645666,16.930750026229347,230.68468738600512,9572.202654734885,253.5239836016044,68.51942430373543,1719.0692499737706,210.0,268.8365488446503,7.118821317914248,1.9247484051439367,22.00997503409815,12054.0,12443.863451155352,329.58117868208575,89.07525159485607,2234.790024965902,273.0,-0.0838957033915069,131.0347385490366
1,2025,1NB,1,NB,AM-Early,1,OP,AM,1.3,55,10400.0,1,6,60,3600,1.6,6.3,0.2,0.05,5278.0,151.0,79.0,257.0,12.0,1.0,3.2,1.6,0.9,0.36683785766691124,0.36683785766691124,3.13,0.715,5278.0,151.0,79.0,257.0,12.0,5777.0,6775.0,1.0,0.6514423076923077,6775.0,1.2,0.0,1.0,2.5,1.6,0.0,4961.32,141.94,74.25999999999999,241.57999999999998,11.28,5430.38,0.503680029621106,1.511040088863318,1.511040088863318,2.5184001481055303,1.511040088863318,0.17517355053054995,0.17535040003314195,0.1753582986866924,0.05000318700913755,0.503680029621106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.511040088863318,1.511040088863318,2.5184001481055303,44.57682221584815,133.73046664754443,133.73046664754443,222.88411107924074,53.463431559382954,59.96619401370445,0.5623935944262947,1.3007328759629828,1.4589411439735918,-0.15820826801060894,0.028531528054241678,0.03808604504404202,0.7507255737961157,0.2111883811598423,869.092039718228,4408.907960281772,24.88923578070417,126.11076421929583,13.022107260473776,65.97789273952623,12.079769917667448,244.92023008233255,919.0831526770735,4857.9168473229265,4857.9168473229265,1019.0653785947642,0.2830737162763234,1019.0653785947642,1324.7849921731936,5755.934621405236,5755.934621405236,7482.715007826807,6775.0,6775.0,8807.5,0.6514423076923077,0.6547840385074378,1.9643521155223134,1.9643521155223134,3.2739201925371892,0.5717127512193333,683.0870251612527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,683.0870251612527,569.0675956013679,48.89122295955989,25.58000394567014,39.54820265465476,683.0870251612527,569.0675956013679,48.89122295955989,25.58000394567014,39.54820265465476,869.092039718228,24.88923578070417,13.022107260473776,12.079769917667448,919.0831526770735,4408.907960281772,126.11076421929583,65.97789273952623,244.92023008233255,12.0,1129.8196516336964,32.35600651491542,16.92873943861591,15.703700892967683,5777.0,5731.580348366304,163.94399348508458,85.7712605613841,318.39629910703235,15.600000000000001,-0.10844047319120137,248.32483665020467
2,2025,1NB,1,NB,AM-Peak,3,Peak,AM,1.3,55,7592.330916271331,1,6,60,3600,1.6,6.3,0.2,0.05,5478.0,214.0,53.0,432.0,10.0,1.0,3.2,1.6,0.9,0.36683785766691124,0.36683785766691124,3.13,0.715,6060.747418343368,236.76523321020093,58.63811850533014,477.95598479816266,11.063795944401914,6845.170550801464,8414.016815717654,1.2,1.108225775260315,8414.016815717654,1.2,0.0,1.0,2.5,1.6,0.0,5697.102573242765,222.55931921758886,55.11983139501033,449.2786257102729,10.399968187737798,6434.460317753375,2.6319321619029634,7.895796485708891,7.895796485708891,13.159660809514817,7.895796485708891,0.17310047581869123,0.17387578434722065,0.17395321326204638,0.05000060842013396,2.6319321619029634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.895796485708891,7.895796485708891,13.159660809514817,44.74901435495011,134.24704306485032,134.24704306485032,223.74507177475056,31.666426765954547,59.9062164149617,2.0068247638948793,1.302035158750559,2.4631765552992535,-1.1611413965486945,0.7314963159822045,0.18758901269199782,0.5146413835309737,0.29776960377702855,986.1711662162129,5074.576252127155,38.697676192741724,198.0675570174592,9.588271785624272,49.04984671970587,22.464204635675284,455.4917801624874,1056.9213188302542,5788.249231971209,17364.747695913626,1198.4216240583366,0.33289489557176016,3595.26487217501,4673.844333827514,7215.5951916593185,21646.785574977956,28140.821247471344,8414.016815717656,25242.050447152964,32814.66558129886,1.1082257752603153,3.4215118104738527,10.264535431421558,10.264535431421558,17.10755905236926,3.0961745996809515,4254.136823590583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12762.410470771752,3374.196292357545,397.21366839407597,98.41915546963999,384.3077073693222,12762.410470771749,10122.588877072636,1191.641005182228,295.25746640892,1152.9231221079667,2958.5134986486387,116.09302857822517,28.764815356872816,67.39261390702585,3170.7639564907627,15223.728756381466,594.2026710523776,147.1495401591176,1366.475340487462,33.19138783320574,3846.0675482432302,150.92093715169273,37.394259963934665,87.6103980791336,20535.51165240439,19790.847383295906,772.4634723680908,191.2944022068529,1776.4179426337007,43.148804183167464,-0.4713999871631721,176.80078346928693
3,2025,1NB,1,NB,AM-Shoulder,1,OP,AM,1.3,55,7711.430327663038,1,6,60,3600,1.6,6.3,0.2,0.05,5124.0,227.0,63.0,599.0,18.0,1.0,3.2,1.6,0.9,0.36683785766691124,0.36683785766691124,3.13,0.715,5288.596233128448,234.291831561311,65.02372417780879,618.2414409921819,18.578206907945365,6224.7314367676945,8545.496386527102,1.05,1.1081597088249684,8097.00184404619,1.2,448.49454248091206,0.9475168530656671,2.5,1.6,0.0,4971.280459140741,220.23432166763232,61.12230072714026,581.146954532651,17.463514493468644,5851.247550561632,1.5999999973063628,4.799999991919089,4.799999991919089,7.999999986531813,4.799999991919089,0.1918200486241149,0.19213717134203645,0.19217227977644982,0.056433202119586516,1.5999999973063628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.799999991919089,4.799999991919089,7.999999986531813,42.60437497493444,127.81312492480332,127.81312492480332,213.02187487467216,36.53059862604675,59.89819416506296,1.1549881917376965,1.3022095421617126,2.135196326741415,-0.8329867845797023,0.5019101559917176,0.20157964296378875,0.46387207857519186,0.3345482784610193,953.5912593964891,4335.004973731959,42.31519959765104,191.97663196365997,11.7460118759163,53.277712301892485,32.79598354632325,585.4454574458587,1040.4484544163797,5184.282982351315,5184.282982351315,1214.162844456161,0.3372674567933781,1214.162844456161,1578.4116977930096,6882.838999590029,6882.838999590029,8947.690699467037,8097.00184404619,8097.00184404619,10526.102397260047,1.05,2.079999996498272,6.239999989494816,6.239999989494816,10.399999982491357,1.9680049370436752,2661.8900035401657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2661.8900035401657,1983.4698162054801,264.0468450448135,73.2951139823237,341.0782283075486,2661.8900035401657,1983.4698162054801,264.0468450448135,73.2951139823237,341.0782283075486,953.5912593964891,42.31519959765104,11.7460118759163,32.79598354632325,1040.4484544163797,4335.004973731959,191.97663196365997,53.277712301892485,585.4454574458587,18.578206907945365,1239.6686372154359,55.00975947694635,15.269815438691191,42.63477861022022,6224.7314367676945,5635.506465851547,249.56962155275798,69.26102599246023,761.0790946796163,24.151668980328974,-0.39012187036259455,149.82230462739727
4,2025,1NB,1,NB,MD,5,OP,MD,1.3,55,5441.8710361140875,1,6,60,3600,1.6,6.3,0.2,0.05,3734.0,132.0,36.0,380.0,11.0,1.0,3.2,1.6,0.9,0.36683785766691124,0.36683785766691124,3.133,0.708,3734.0,132.0,36.0,380.0,11.0,4293.0,5411.0,1.02,0.9943271283150195,5411.0,1.2,0.0,1.0,2.5,1.6,0.0,3509.9599999999996,124.08,33.839999999999996,357.2,10.34,4035.4199999999996,1.594720227996205,4.784160683988615,4.784160683988615,7.9736011399810245,4.784160683988615,0.17741422051953873,0.17764931886697924,0.17766960024155595,0.05000022265278938,1.594720227996205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.784160683988615,4.784160683988615,7.9736011399810245,44.14021941047584,132.42065823142752,132.42065823142752,220.7010970523792,39.582018879188716,59.99465046495328,1.3381572254536265,1.3001159169277068,1.9705917537473194,-0.6704758368196126,0.38668695489585103,0.16143436038782707,0.5586548836322622,0.27991075597991066,622.7168174547601,3111.28318254524,22.042727485014783,109.95727251498522,6.012339272174253,29.987660727825748,17.860079531576368,362.1399204684236,668.6319637435255,3624.368036256474,18121.840181282372,760.4622563210562,0.21123951564473784,3802.311281605281,4943.004666086865,4650.537743678944,23252.68871839472,30228.495333913135,5411.0,27055.0,35171.5,0.9943271283150195,2.0731362963950666,6.2194088891852,6.2194088891852,10.365681481975333,1.8989343492933926,1650.5946638844975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8252.973319422486,1290.976836641084,137.09273526218786,37.39319631415782,185.13189566706782,8252.973319422488,6454.88418320542,685.4636763109393,186.9659815707891,925.6594783353391,3113.5840872738004,110.21363742507391,30.061696360871263,89.30039765788183,3343.159818717628,15556.4159127262,549.7863625749261,149.93830363912875,1810.699602342118,55.0,4047.6593134559407,143.2777286525961,39.08020526913264,116.09051695524639,21465.0,20223.34068654406,714.722271347404,194.91979473086738,2353.9094830447534,71.5,-0.3402408619363303,185.52223801790765
5,2025,1NB,1,NB,PM-Shoulder,1,OP,PM,1.3,55,6222.354095429336,1,6,60,3600,1.6,6.3,0.2,0.05,4721.0,116.0,39.0,424.0,11.0,1.0,3.2,1.6,0.9,0.36683785766691124,0.36683785766691124,3.283,0.592,4751.890366468648,116.75900921634464,39.25518413308139,426.7743095493977,11.071975011894752,5345.750844379367,7464.65,1.05,1.1996504675751576,6533.471800200803,1.2,931.1781997991966,0.8752549416517591,2.5,1.6,0.0,4466.776944480529,109.75346866336395,36.89987308509651,401.1678509764338,10.407656511181067,5025.005793716605,1.4939541111320929,4.481862333396279,4.481862333396279,7.469770555660464,4.481862333396279,0.21523520846980965,0.21565049805071135,0.21567243103863068,0.050000002571240584,1.4939541111320929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.481862333396279,4.481862333396279,7.469770555660464,42.47084389250631,127.41253167751894,127.41253167751894,212.35421946253155,38.31843640851317,59.93994494496347,1.1657228820477437,1.3013024965508255,2.0355736640305815,-0.734271167479756,0.4321742920941345,0.18531007576992892,0.499845084612193,0.314844839617878,961.407666833406,3790.4826996352417,23.668390180047577,93.09061903629706,7.958285333279701,31.296898799801692,20.05839358032075,406.71591596907695,1013.092735927054,4332.658108452312,4332.658108452312,1116.4628741143501,0.31012857614287503,1116.4628741143501,1451.4017363486553,5417.008926086453,5417.008926086453,7042.11160391239,6533.471800200803,6533.471800200803,8493.513340261045,1.05,1.9421403444717207,5.826421033415163,5.826421033415163,9.710701722358603,1.7055466676823057,2246.2400217575982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2246.2400217575982,1867.1886172415843,137.9020063721061,46.368321055740246,194.78107708816745,2246.2400217575982,1867.1886172415843,137.9020063721061,46.368321055740246,194.78107708816745,961.407666833406,23.668390180047577,7.958285333279701,20.05839358032075,1013.092735927054,3790.4826996352417,93.09061903629706,31.296898799801692,406.71591596907695,11.071975011894752,1249.829966883428,30.768907234061853,10.345770933263612,26.075911654416977,5345.750844379367,4927.627509525814,121.01780474718618,40.685968439742204,528.7306907598,14.393567515463179,-0.3607195261240738,158.69943670573986
6,2025,1NB,1,NB,PM-Peak,3,Peak,PM,1.3,55,6903.664776832447,1,6,60,3600,1.6,6.3,0.2,0.05,5642.0,105.0,23.0,411.0,14.0,1.0,3.2,1.6,0.9,0.36683785766691124,0.36683785766691124,3.283,0.592,6401.9411046522955,119.14282452826852,26.097952039525488,466.3590560106511,15.885709937102469,7029.426647167844,8396.149999999998,1.2,1.2161873832831633,8284.397732198937,1.2,111.75226780106095,0.9866900582051225,2.5,1.6,0.0,6017.8246383731575,111.9942550565724,24.532074917153956,438.377512650012,14.93256734087632,6607.661048337773,1.5999994692945128,4.799998407883538,4.799998407883538,7.999997346472564,4.799998407883538,0.2826019386800072,0.2831018125498824,0.2831248838185218,0.0753221802696413,1.5999994692945128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.799998407883538,4.799998407883538,7.999997346472564,37.4329019018351,112.29870570550531,112.29870570550531,187.16450950917553,34.026869100795146,58.24890112908563,1.2687575937566853,1.339081055402983,2.2923061116480237,-0.9532250562450406,0.6118870054263439,0.2159192481751301,0.44771205031483113,0.33636870151003867,1700.6489094405676,4701.292195211728,31.705776601689482,87.43704792657904,6.945640860746487,19.152311178779,33.01955003398116,433.33950597666995,1772.3198769369847,5257.106770230858,15771.320310692576,1915.661811929819,0.5321282810916164,5746.9854357894565,7471.081066526293,6368.735920269119,19106.207760807356,24838.070089049565,8284.397732198937,24853.19319659681,32309.15115557586,1.2,2.079999310082867,6.2399979302486,6.2399979302486,10.399996550414334,1.7890226526019142,4121.9365297459735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12365.809589237917,3537.3485583295605,197.84398037146684,43.34078459530818,343.4032064496376,12365.80958923792,10612.045674988682,593.5319411144005,130.02235378592454,1030.2096193489128,5101.946728321703,95.11732980506845,20.83692258223946,99.05865010194348,5316.959630810954,14103.876585635182,262.3111437797371,57.456933536337004,1300.01851793001,47.657129811307406,6632.530746818214,123.65252874658898,27.087999356911297,128.77624513252653,21088.279941503533,18335.03956132574,341.00448691365824,74.69401359723811,1690.024073309013,61.95426875469963,-0.41583672067241134,130.92391748134065
7,2025,1NB,1,NB,PM-Late,3,OP,PM,1.3,55,6705.849787444774,1,6,60,3600,1.6,6.3,0.2,0.05,2727.0,51.0,5.0,265.0,29.0,1.0,3.2,1.6,0.9,0.36683785766691124,0.36683785766691124,3.283,0.592,2727.0,51.0,5.0,265.0,29.0,3077.0,3777.0,0.95,0.5632395773420992,3777.0,1.2,0.0,1.0,2.5,1.6,0.0,2563.3799999999997,47.94,4.699999999999999,249.1,27.259999999999998,2892.3799999999997,0.4843103062874447,1.452930918862334,1.452930918862334,2.4215515314372236,1.452930918862334,0.21696166833996203,0.21702320890084428,0.21702650591439582,0.05000084020745136,0.4843103062874447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.452930918862334,1.452930918862334,2.4215515314372236,42.35582814797466,127.06748444392397,127.06748444392397,211.77914073987333,54.416268764399575,59.99840118413841,0.6140864010168394,1.3000346419334357,1.433394860969032,-0.13336021903559625,0.010649129951049595,0.014047209671074711,0.8100380473231993,0.17591474300572604,556.1552013892917,2170.8447986107085,10.404092634706474,40.59590736529353,1.0200245777976602,3.97997542220234,12.455209295676134,252.54479070432387,580.034527897472,2496.965472102528,7490.896416307584,627.7931809138325,0.1743869946982868,1883.3795427414975,2448.393405563947,3149.206819086168,9447.620457258503,12281.906594436054,3777.0000000000005,11331.0,14730.300000000001,0.5632395773420993,0.6296033981736782,1.8888101945210343,1.8888101945210343,3.1480169908683906,0.5449866602547323,410.9444042486558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1232.8332127459673,350.1572047066644,19.651356233174795,1.9266328212062345,39.20921048761039,1232.8332127459676,1050.4716141199933,58.954068699524385,5.779898463618704,117.62763146283118,1668.4656041678752,31.212277904119425,3.0600737333929806,37.3656278870284,1740.1035836924161,6512.5343958321255,121.78772209588058,11.939926266607019,757.6343721129716,87.0,2169.0052854182377,40.575961275355255,3.978095853410875,48.575316253136926,9231.0,8466.294714581763,158.32403872464477,15.521904146589126,984.9246837468631,113.10000000000001,-0.09303801950666925,283.26441095854483
8,2025,1SB,1,SB,Night,7,OP,NT,1.3,55,8000.0,1,6,60,3600,1.6,6.3,0.2,0.01,1357.0,39.0,16.0,250.0,28.0,1.0,3.2,1.6,0.9,0.36683785766691124,0.36683785766691124,3.286,0.708,1357.0,39.0,16.0,250.0,28.0,1690.0,2356.0,0.9,0.2945,2356.0,1.2,0.0,1.0,2.5,1.6,0.0,1275.58,36.66,15.04,235.0,26.32,1588.6,0.2,0.6000000000000001,0.6000000000000001,1.0,0.6000000000000001,0.022448629908199895,0.022453810625830288,0.022433757261945998,0.010318311758550351,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.6000000000000001,1.0,110.86645791991332,332.59937375973993,332.59937375973993,554.3322895995666,54.967589697937925,59.99999999995749,0.0,1.300000000000921,1.4190180145906257,-0.11901801458970462,0.0005853374861652057,0.004893988972766412,0.0,0.9951060110272335,28.63502333830162,1328.3649766616984,0.8231566975429383,38.17684330245706,0.3374037092196678,15.662596290780332,2.4248032632593324,247.57519673674068,32.22038700832356,1657.7796129916765,11604.457290941735,39.39111434836744,0.010941976207879844,275.7378004385721,358.45914057014375,2316.6088856516326,16216.262199561428,21081.140859429855,2356.0,16492.0,21439.6,0.2945,0.26,0.7800000000000001,0.7800000000000001,1.3,0.2746132184163853,11.502587427470388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.51811199229272,7.445106067958422,0.642062224083492,0.2631748931913409,3.152244242237132,80.51811199229272,52.115742475708956,4.494435568584444,1.8422242523393864,22.065709695659926,200.44516336811137,5.762096882800568,2.3618259645376742,16.973622842815328,225.54270905826493,9298.554836631889,267.2379031171994,109.63817403546233,1733.0263771571847,196.0,260.57871237854476,7.490725947640739,3.0703737538989766,22.065709695659926,11830.0,12088.121287621456,347.4092740523592,142.52962624610103,2252.9342903043403,254.8,-0.08387350503371889,131.07259479817807
9,2025,1SB,1,SB,AM-Early,1,OP,AM,1.3,55,10400.0,1,6,60,3600,1.6,6.3,0.2,0.05,3040.0,119.0,53.0,268.0,14.0,1.0,3.2,1.6,0.9,0.36683785766691124,0.36683785766691124,3.13,0.715,3040.0,119.0,53.0,268.0,14.0,3494.0,4402.0,1.0,0.4232692307692308,4402.0,1.2,0.0,1.0,2.5,1.6,0.0,2857.6,111.86,49.82,251.92,13.16,3284.3599999999997,0.3474270826704624,1.0422812480113872,1.0422812480113872,1.737135413352312,1.0422812480113872,0.17584070728188328,0.17589711571567349,0.17590127537989633,0.050002257624362584,0.3474270826704624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0422812480113872,1.0422812480113872,1.737135413352312,44.51055175052721,133.53165525158164,133.53165525158164,222.55275875263604,54.87421085203028,59.9984362068093,0.3938301010636334,1.3000338830689002,1.421432742064009,-0.12139885899510872,0.0022756467175336394,0.0043973458163193355,0.7610175753157912,0.23458507886788932,502.4824051287096,2537.5175948712904,19.675851363955235,99.32414863604477,8.763401539426436,44.23659846057356,12.596568740729422,255.40343125927058,543.5182267728206,2950.4817732271795,2950.4817732271795,625.5898700610428,0.17377496390584524,625.5898700610428,813.2668310793557,3776.410129938957,3776.410129938957,4909.333168920644,4402.0,4402.0,5722.6,0.4232692307692308,0.45165520747160115,1.3549656224148035,1.3549656224148035,2.2582760373580055,0.4159927498742483,293.92953429060117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.9295342906012,226.94879493923648,26.660102189902766,11.874107821339788,28.44652934012216,293.92953429060117,226.94879493923648,26.660102189902766,11.874107821339788,28.44652934012216,502.4824051287096,19.675851363955235,8.763401539426436,12.596568740729422,543.5182267728206,2537.5175948712904,99.32414863604477,44.23659846057356,255.40343125927058,14.0,653.2271266673225,25.578606773141807,11.392422001254367,16.37553936294825,3494.0,3298.7728733326776,129.1213932268582,57.50757799874563,332.02446063705173,18.2,-0.08540598186786524,223.22542956839428
