,Year,SegDir,Segment,Direction,Period,Hours/Day,Peak,4Periods,Length,Speed GP,Capacity GP,Alpha GP,Beta GP,Speed ML,Capacity ML,Alpha ML,Beta ML,MinToll,MinCapture,AADT Lights,AADT Medium A,AADT Medium B,AADT Heavy A,AADT Heavy B,GrowthFactor,MaxToll,Soft Cap,MaxCapture,MaxCap_aux,B1,B2,TotalLights,TotalHeavies,TotalVeh,Corridor PCE pre-fix,Suppressed ratio ref,Suppressed ratio,Corridor PCE,Suppressed Demand,PCE ratio,HOV3,InScopeLights,InScopeHeavies,InScopeVeh,TollLights,TollHeavies,CaptureRateLights,CaptureRateHeavies,VOT Lights,VOT Heavies,Speed GP real,Speed ML real,Bounus Seg,Time ML,Time GP,Time Savings,BonusRel,MLVeh_Lights,GPVeh_Lights,MLVeh_Heavies,GPVeh_Heavies,MLVeh,GPVeh,GPVehDay,ML PCE,GP PCE,TollLightsPerSeg,TollHeaviesPerSeg,TollBlend,RevenuePerHour,RevenuePerHourLights,RevenuePerHourHeavies,RevenuePerDay,RevenuePerDayLights,RevenuePerDayHeavies,TransactionsDay_Lights,TransactionsDay_Heavies,TransactionsDay,TotalVeh_hours
0,2032,1NB,1,NB,Night,6,OP,NT,0.7,55,8000.0,1,6,70,3600,1,5,0.5,0,1128.5,39.1,5.7,291.9,37.9,1.1491656331982272,3.6,1.8,0.3879310344827586,0.3879310344827586,3.402,0.708,1128.5,374.59999999999997,1503.1,2252.3,1.2,0.2815375,2252.3,0.0,1.0,0.0,902.8000000000001,299.68,1202.48,0.5000317166956565,1.5000951500869695,0.03454281873035609,0.0790297041378594,108.76508797775739,326.2952639332721,54.97928107052385,69.99999870697367,0.0,0.600000011083083,0.7639241398250576,-0.1639241287419746,0.00020144333208577667,31.185256749765482,1097.3147432502344,23.683621736033704,350.91637826396624,54.868878485799186,1448.2311215142006,8689.386729085203,102.2361219578666,2150.063878042133,0.3500222016869595,1.0500666050608785,0.9316994438683383,35.78491249962897,10.915532227726029,24.86938027190294,214.70947499777384,65.49319336635617,149.21628163141764,187.1115404985929,142.10173041620223,329.2132709147951,9018.599999999999
1,2032,1NB,1,NB,AM-Early,1,OP,AM,0.7,55,8000.0,1,6,70,3600,1,5,0.5,0,5373.5,80.4,52.9,335.6,23.0,1.1491656331982272,3.6,1.8,0.3879310344827586,0.3879310344827586,3.246,0.715,5373.5,491.90000000000003,5865.4,6849.2,1.2,0.85615,6849.2,0.0,1.0,0.0,4298.8,393.52000000000004,4692.32,1.6812546482355,5.0437639447065,0.1216626876659866,0.222185733405756,59.18179099249598,177.54537297748794,46.23180772727641,69.9654403902705,0.604627218473083,0.6002963715474674,0.9084654497561496,-0.3081690782086822,0.10138036028385018,523.0035617385432,4850.496438261457,87.43452980983311,404.4654701901669,610.4380915483763,5254.961908451624,5254.961908451624,785.3071511680425,6063.892848831958,1.17687825376485,3.5306347612945497,2.1628750179152574,924.2109087356949,615.5115184516536,308.6993902840413,924.2109087356949,615.5115184516536,308.6993902840413,523.0035617385432,87.43452980983311,610.4380915483763,5865.4
2,2032,1NB,1,NB,AM-Peak,1,Peak,AM,0.7,55,8000.0,1,6,70,3600,1,5,0.5,0,6739.9,193.1,101.1,328.7,14.9,1.1491656331982272,3.6,1.8,0.3879310344827586,0.3879310344827586,3.246,0.715,7076.8949999999995,669.6899999999999,7746.584999999999,8653.3,1.2,1.0816625,8653.3,0.0,1.0,0.0,5661.516,535.752,6197.268,3.59999315733625,10.799979472008749,0.12725219195041942,0.23019129334370228,58.07272576695322,174.21817730085962,32.09218172268503,69.82199093782462,1.124317077771633,0.6015296819221373,1.3087299692782004,-0.7072002873560631,0.3815655239492858,720.4403207623707,6356.454679237629,123.32544579147518,546.3645542085247,843.7657665538459,6902.819233446154,6902.819233446154,1090.4166581367963,7995.548341863203,2.5199952101353746,7.559985630406124,4.652348629846216,2747.8447555565485,1815.506157509567,932.3385980469817,2747.8447555565485,1815.506157509567,932.3385980469817,720.4403207623707,123.32544579147518,843.7657665538459,7746.584999999999
3,2032,1NB,1,NB,AM-Shoulder,3,OP,AM,0.7,55,8000.0,1,6,70,3600,1,5,0.5,0,4654.1,179.3,44.8,362.0,8.0,1.1491656331982272,3.6,1.8,0.3879310344827586,0.3879310344827586,3.246,0.715,4654.1,594.1,5248.200000000001,6436.400000000001,1.2,0.8045500000000001,6436.400000000001,0.0,1.0,0.0,3723.2800000000007,475.28000000000003,4198.56,1.4860683397540089,4.458205019262026,0.11941315106813026,0.21890159599938283,59.65273475245511,178.95820425736534,48.75644437345723,69.9712853047925,0.5597279300089161,0.6002462269636674,0.8614245878615504,-0.26117836089788304,0.06845175695763073,444.6085971089481,4209.4914028910525,104.03955054658668,490.06044945341336,548.6481476555348,4699.551852344466,14098.655557033399,756.7272487487082,5679.6727512512925,1.0402478378278062,3.120743513483418,2.0496713804648663,787.1838843362281,462.5031318222375,324.68075251399057,2361.5516530086843,1387.5093954667125,974.0422575419717,1333.8257913268444,312.11865163976006,1645.9444429666046,15744.600000000002
4,2032,1NB,1,NB,MD,4,OP,MD,0.7,55,8000.0,1,6,70,3600,1,5,0.5,0,4212.8,166.6,47.1,482.6,13.8,1.1491656331982272,3.6,1.8,0.3879310344827586,0.3879310344827586,3.249,0.708,4212.8,710.0999999999999,4922.9,6343.1,1.2,0.7928875000000001,6343.1,0.0,1.0,0.0,3370.2400000000002,568.0799999999999,3938.3199999999997,1.4552985132708955,4.365895539812687,0.1153029839948659,0.21396474891670547,60.2221027922107,180.6663083766321,49.26656203269732,69.97193948648454,0.5482363543734431,0.6002406151413385,0.8525051935250803,-0.2522645783837417,0.06220818092210161,388.59872877885687,3824.2012712211435,121.54909456460203,588.5509054353979,510.14782334345887,4412.752176656541,17651.008706626166,753.246012472663,5589.853987527337,1.0187089592896268,3.0561268778688806,2.148784630490676,767.3384614550878,395.86900657558124,371.46945487950654,3069.353845820351,1583.476026302325,1485.8778195180262,1554.3949151154275,486.1963782584081,2040.5912933738355,19691.6
5,2032,1NB,1,NB,PM-Shoulder,2,OP,PM,0.7,55,8000.0,1,6,70,3600,1,5,0.5,0,4403.6,137.9,36.8,374.6,9.2,1.1491656331982272,3.6,1.8,0.3879310344827586,0.3879310344827586,3.399,0.592,4403.6,558.5,4962.1,6079.1,1.2,0.7598875,6079.1,0.0,1.0,0.0,3522.8800000000006,446.8,3969.6800000000003,1.257996407872512,3.7739892236175363,0.12744486829799206,0.2569332989131203,58.74466767937303,176.23400303811908,50.77576389793826,69.96363121618927,0.493177614637703,0.6003118944787044,0.8271662851675069,-0.22685439068880253,0.04447094507180024,448.97297762963035,3954.62702237037,114.79779795438215,443.70220204561787,563.7707755840125,4398.3292244159875,8796.658448831975,793.3663714927768,5285.733628507223,0.8805974855107584,2.6417924565322752,1.7703153279466743,698.6364318253335,395.3644751629305,303.271956662403,1397.272863650667,790.728950325861,606.543913324806,897.9459552592607,229.5955959087643,1127.541551168025,9924.2
6,2032,1NB,1,NB,PM-Peak,2,Peak,PM,0.7,55,8000.0,1,6,70,3600,1,5,0.5,0,4235.8,85.0,25.3,339.0,9.2,1.1491656331982272,3.6,1.8,0.3879310344827586,0.3879310344827586,3.399,0.592,4447.59,481.425,4929.015,5611.3,1.2,0.7014125,5611.3,0.0,1.0,0.0,3558.072,385.14000000000004,3943.2120000000004,1.576925227455321,4.730775682365962,0.1229976134553623,0.2500020037317496,59.50278299455082,178.50834898365244,52.29003209983188,69.9765796472993,0.7153961424660434,0.6002008130676184,0.8032123583289029,-0.2030115452612845,0.02770319628477747,437.63436450234786,4009.955635497652,96.28577171724605,385.13922828275395,533.9201362195939,4395.094863780406,8790.189727560812,726.491679654086,5165.373320345914,1.1038476592187245,3.3115429776561736,2.14568243350863,801.9361400280422,483.08166884959076,318.85447117845155,1603.8722800560845,966.1633376991815,637.7089423569031,875.2687290046957,192.5715434344921,1067.8402724391879,9858.03
7,2032,1NB,1,NB,PM-Late,5,OP,PM,0.7,55,8000.0,1,6,70,3600,1,5,0.5,0,3865.8,74.7,11.5,332.1,26.4,1.1491656331982272,3.6,1.8,0.3879310344827586,0.3879310344827586,3.399,0.592,3865.8,444.7,4310.5,5199.9,1.2,0.6499874999999999,5199.9,0.0,1.0,0.0,3092.6400000000003,355.76,3448.4,0.9792903364866384,2.9378710094599154,0.13671065442048538,0.2711227095130279,57.25334305607276,171.76002916821827,53.337883032856034,69.97879960493502,0.4067224026882333,0.6001817727241793,0.7874328265733397,-0.1872510538491604,0.016657524055883204,422.79683828696994,3443.0031617130303,96.4546151363548,348.2453848636452,519.2514534233247,3791.2485465766754,18956.242732883376,712.1606836960343,4487.739316303966,0.6855032355406468,2.0565097066219407,1.3431104929439113,488.1884528984707,289.8286006220735,198.35985227639722,2440.9422644923534,1449.1430031103675,991.7992613819861,2113.98419143485,482.273075681774,2596.257267116624,21552.5
8,2032,1SB,1,SB,Night,6,OP,NT,0.7,55,8000.0,1,6,70,3600,1,5,0.5,0,1500.8,36.8,14.9,294.2,34.5,1.1491656331982272,3.6,1.8,0.3879310344827586,0.3879310344827586,3.402,0.708,1500.8,380.4,1881.1999999999998,2642.0,1.2,0.33025,2642.0,0.0,1.0,0.0,1200.64,304.32,1504.96,0.9658551972984611,2.8975655918953835,0.08031429294318446,0.15944996638447131,81.0759364470499,243.2278093411497,54.95993420736081,69.99990391364564,0.2607111138224369,0.6000008235984536,0.7641930545538194,-0.16419223095536573,0.0003896836422189853,96.428552679305,1404.3714473206949,48.52381377012231,331.87618622987765,144.9523664494273,1736.2476335505726,10417.485801303435,241.99999398967194,2400.0000060103275,0.6760986381089228,2.0282959143267685,1.6125086996952886,163.6158663587847,65.19521314129263,98.42065321749207,981.6951981527081,391.17127884775573,590.5239193049524,578.57131607583,291.1428826207339,869.7141986965639,11287.199999999999
9,2032,1SB,1,SB,AM-Early,1,OP,AM,0.7,55,8000.0,1,6,70,3600,1,5,0.5,0,2798.2,113.8,48.3,383.8,36.8,1.1491656331982272,3.6,1.8,0.3879310344827586,0.3879310344827586,3.246,0.715,2798.2,582.6999999999999,3380.8999999999996,4546.299999999999,1.2,0.5682875,4546.299999999999,0.0,1.0,0.0,2238.56,466.15999999999997,2704.72,0.9063579104116369,2.7190737312349107,0.1239749011510019,0.22569876082175155,58.68536581281644,176.0560974384493,54.21077906745391,69.99150049255606,0.36890072683515157,0.6000728617679358,0.7747536693346508,-0.174680807566715,0.007782113988801034,277.5252547205868,2520.674745279413,105.2117343446677,477.4882656553322,382.73698906525453,2998.163010934745,2998.163010934745,593.16045775459,3953.1395422454098,0.6344505372881458,1.9033516118644374,1.4046608725805692,376.3309711204821,176.07604696850584,200.25492415197627,376.3309711204821,176.07604696850584,200.25492415197627,277.5252547205868,105.2117343446677,382.73698906525453,3380.8999999999996
